weight logl C sigma mu1 mu2 mu3 a1 a2 a3 W lam0
0.000000000000000000e+00 -4.919918314176005879e+03 1.594098356835384038e+02 3.865520921278745581e-01 1.212762770334871220e+03 1.212963497245076724e+03 1.210175983053769869e+03 1.979483848707747313e+02 4.975368157426069615e+01 3.954929196240031501e+02 4.034851320880313175e+00 1.211187712734272054e+03
0.000000000000000000e+00 -4.712483492989193110e+03 1.252854984684912552e+02 4.679019397258047386e-01 1.219169739076116912e+03 1.216808875494979020e+03 1.212901144984187567e+03 2.285888390401047587e+01 1.572034974651139727e+01 3.599806835877352569e+02 3.181213485282122999e+00 1.213414804150799455e+03
0.000000000000000000e+00 -4.680204895182539985e+03 2.730118871807638925e+02 6.225063558948141784e-01 1.213978531033229274e+03 1.214602779269589064e+03 1.211761457898224535e+03 3.976026147429693651e+02 3.380307894467776464e+02 3.024313713227799667e+02 3.802269513727121630e+00 1.213535882987332570e+03
0.000000000000000000e+00 -4.655702357124412629e+03 1.015988823291830982e+02 2.339987805036660151e-01 1.217260702408548696e+03 1.210537385135439990e+03 1.215155256085717156e+03 7.203830228276326864e+01 9.241818129359367617e+01 2.174668362715418652e+02 3.759129146819322642e+00 1.214434947998380494e+03
0.000000000000000000e+00 -4.590275044125036402e+03 1.355315939081902457e+02 9.375901146129147490e-01 1.215158158039528416e+03 1.215008501761410571e+03 1.212746914123706119e+03 9.360783550411686349e+01 2.209521483353325380e+02 2.762573641763800651e+02 4.359259202810320311e+00 1.213974728394001886e+03
0.000000000000000000e+00 -4.566026958006673340e+03 2.291038609799750247e+02 4.456601056552184081e-01 1.218298541807519086e+03 1.215454582972770595e+03 1.213737027412808175e+03 2.339088425687062340e+02 3.794341487920809186e+02 3.368556167940855062e+02 4.147457856408301780e+00 1.215545783781818272e+03
0.000000000000000000e+00 -4.543930137590424238e+03 2.440302068548140539e+02 4.506592254276565734e-01 1.218668332247252692e+03 1.210314098104053528e+03 1.211496247650160967e+03 3.900237285870405231e+02 3.509998560849272167e+02 2.901628386126425312e+02 4.225650736337388302e+00 1.213806546546607251e+03
0.000000000000000000e+00 -4.466523323991394136e+03 1.596925105232166402e+02 2.650259574829267328e-01 1.216651201950673340e+03 1.211402438596456250e+03 1.210465653683454548e+03 3.412873127269109546e+02 7.621683472481043964e+01 3.569325790848752149e+02 4.849549449747089902e+00 1.213283763739403184e+03
0.000000000000000000e+00 -4.391125298879067486e+03 1.791350874575983880e+02 5.564535308910630862e-01 1.213251650210422440e+03 1.212341783605565752e+03 1.218070711970785851e+03 5.888379111535439847e+01 3.225536616624693238e+02 6.715928545615849998e+01 2.504237135229947508e+00 1.213318890867349410e+03
0.000000000000000000e+00 -4.348940136462158989e+03 2.611605678497651297e+02 4.354036984735529803e-01 1.213675623666156753e+03 1.212591471257184367e+03 1.215154855382540518e+03 1.354726582525429990e+02 3.041073859530023356e+02 2.763803332177316747e+02 2.741456657557657550e+00 1.213786149055701117e+03
0.000000000000000000e+00 -4.324141930036455960e+03 2.131607242982499884e+02 5.116641481464545560e-01 1.215184505786189675e+03 1.212446063209559497e+03 1.215905364798719575e+03 3.604142790427358136e+02 2.919834104063281188e+02 3.626345219989223665e+02 4.761816299834742416e+00 1.214654304445562957e+03
0.000000000000000000e+00 -4.165594302399636035e+03 1.410839575586611261e+02 1.263604427267113750e-01 1.218416354892914796e+03 1.212756042251987310e+03 1.215194988822157256e+03 4.231099902287058967e+01 1.307949215297525711e+02 3.264239805367075746e+02 3.540656994127995283e+00 1.214829239728479251e+03
0.000000000000000000e+00 -3.963695589147010196e+03 1.015886325311597744e+02 1.211843652870767951e-01 1.219377727319275664e+03 1.218657737140341624e+03 1.214891386139187034e+03 3.200406934780382358e+02 2.167846876022231584e+02 6.121943480041568364e+01 5.886926528883453358e+00 1.218657490129777671e+03
0.000000000000000000e+00 -3.896590241860375954e+03 1.911031596895202824e+02 2.257086760960004823e-01 1.218720598643557196e+03 1.216408867140189159e+03 1.216111347146140133e+03 2.015126594975862417e+02 3.099007475019049593e+02 1.572195459422962571e+01 2.758381192912468194e+00 1.217283719409739660e+03
0.000000000000000000e+00 -3.796016608474641998e+03 2.151365304163273322e+02 4.952632938401534402e-01 1.214197371735097931e+03 1.213405861869279533e+03 1.212088887082669316e+03 2.630011005951776610e+02 9.607508121524207922e+01 3.378178535469614872e+02 3.239310562500788304e+00 1.213066169437237932e+03
0.000000000000000000e+00 -3.795303838920500766e+03 1.546332771988534773e+02 5.548278425541456338e-01 1.211706696205936169e+03 1.217485793859601017e+03 1.213695016628083295e+03 3.920895855069975937e+02 2.904076175173802312e+02 6.463305167737718904e+00 4.455447887236679172e+00 1.214161329065950667e+03
0.000000000000000000e+00 -3.720236850154037256e+03 1.143671106215143283e+02 1.274178326230591685e+00 1.215975258009237905e+03 1.217123684625016040e+03 1.213604354900862745e+03 2.259768914060612701e+02 3.467001651219740097e+02 1.138874428260576224e+02 6.003163808397717460e+00 1.216161902680262983e+03
0.000000000000000000e+00 -3.622729091654915464e+03 2.691017820846806217e+02 2.728024715580100734e-01 1.214136063427214822e+03 1.214095352736544783e+03 1.212922616778801739e+03 1.887074175043709943e+02 2.487347782464496504e+02 1.861281140073077438e+02 2.317228466223623773e+00 1.213757625427456333e+03
0.000000000000000000e+00 -3.587381009766991156e+03 1.643719000377626571e+02 5.499660405523499884e-01 1.214097553327011610e+03 1.218017711926904894e+03 1.214921298373762056e+03 3.478995900568338016e+02 2.847233873949628560e+02 1.120346314315404896e+02 4.530321841581560705e+00 1.215720378091006978e+03
0.000000000000000000e+00 -3.533872651516143378e+03 2.094227348150852208e+02 4.352872599084286476e-01 1.219700615518625455e+03 1.212529709813499039e+03 1.214530839628906506e+03 3.184781334302741129e+02 2.210606174432273292e+02 3.081704300729058446e+02 4.047837412184079220e+00 1.215951243713345320e+03
0.000000000000000000e+00 -3.362746102932259873e+03 2.232514049343018314e+02 2.941353527841562010e-01 1.214613135939692256e+03 1.217518983391995562e+03 1.214569711824646674e+03 9.223055052706415324e+01 1.437131890488684576e+02 3.159110484094743470e+02 2.471898388042871542e+00 1.215345014062964538e+03
0.000000000000000000e+00 -3.345280869476202042e+03 1.338798713888876080e+02 4.916577019452915698e-01 1.214455105766706083e+03 1.211654441404166846e+03 1.214243840308562312e+03 9.275220076545510040e+01 2.149416495170965504e+02 1.626767746573008822e+02 3.513378225271394761e+00 1.213102241945253127e+03
0.000000000000000000e+00 -3.318741788805003125e+03 2.280608268902262523e+02 2.374335626218617157e-01 1.217270240698576345e+03 1.212603705629059959e+03 1.218592808220282222e+03 8.007148126631258833e+01 3.460137055473798569e+02 1.673990720740067104e+02 2.602306880056012517e+00 1.214922598794488522e+03
0.000000000000000000e+00 -3.136304354569719180e+03 1.353844286520707101e+02 2.240722796983576348e-01 1.219298207410625082e+03 1.210704418853675861e+03 1.219022582205621575e+03 2.536729147166026337e+02 1.871966933256070718e+02 5.892364018002771786e+01 3.691659766180895641e+00 1.216046923710445753e+03
0.000000000000000000e+00 -3.005397325279674533e+03 2.086152494431507307e+02 4.606871730931766384e-01 1.215090365867988112e+03 1.219135723323957563e+03 1.211641207746233022e+03 1.423312095273647628e+02 6.024489771174958719e+01 2.971299255605860594e+02 2.395347579496455825e+00 1.213527174914608850e+03
0.000000000000000000e+00 -2.997146128607741957e+03 2.366064781597939941e+02 1.693139119712240015e-01 1.212122488079776076e+03 1.216630102836098104e+03 1.210291718521270923e+03 3.824116123024894023e+02 3.781280036299848462e+02 1.611406598121838840e+02 3.895414372898929223e+00 1.213651699446679459e+03
0.000000000000000000e+00 -2.904706802228694869e+03 1.478556989468881966e+02 1.836490141756112748e-01 1.217560770468775900e+03 1.218097373679859402e+03 1.215014387240080623e+03 2.349431223462881135e+01 8.680500766827989878e+01 1.090433097833776230e+02 1.483491209662991972e+00 1.216507230581379872e+03
0.000000000000000000e+00 -2.866193577217017264e+03 1.639804146376162066e+02 2.863883463588795530e-01 1.214577178940058957e+03 1.212548360422184487e+03 1.216444961573621413e+03 3.816611251480197211e+02 3.042621241521172237e+02 7.313473012893645375e-01 4.187418345775492767e+00 1.213680182637947837e+03
0.000000000000000000e+00 -2.851847522782185479e+03 2.457288620835250299e+02 1.747349810606029230e-01 1.219921355649673160e+03 1.216699104181815528e+03 1.214950322359529309e+03 3.529642765316485225e+02 1.263271114668239363e+02 1.806283709958046302e+02 2.685560635404585117e+00 1.217943891953620778e+03
0.000000000000000000e+00 -2.851401274517202182e+03 2.012188013296672580e+02 2.592239429174646448e-01 1.212401984542060518e+03 1.214485963866587099e+03 1.216067629270633233e+03 1.129727084026421267e+02 1.786705223183262348e+01 2.935072511948579859e+02 2.108883509022116076e+00 1.215025139282288592e+03
0.000000000000000000e+00 -2.802089836784870386e+03 2.621961798491608988e+02 3.028343295596609419e-01 1.214460109768117263e+03 1.213570186179070106e+03 1.219103924965433407e+03 4.745841717593179965e+01 1.054392664097722161e+02 3.259594428781995816e+02 1.826331439075068674e+00 1.217425216572815998e+03
0.000000000000000000e+00 -2.784212170960155618e+03 1.656994471735235379e+02 3.517712341852564650e-01 1.211369293309807517e+03 1.213855739096627303e+03 1.214306713504691743e+03 3.379187736614658775e+02 2.340028669960899492e+02 1.552381960419411122e+01 3.545246953338149432e+00 1.212437367652698413e+03
0.000000000000000000e+00 -2.709044029308007794e+03 1.035404528085493325e+02 6.982804229893453396e-01 1.214738115102223446e+03 1.217011901490771606e+03 1.213407270906401664e+03 3.345127722944134803e+02 6.552098854460220423e+01 1.892995125844441588e+02 5.691816651730913001e+00 1.214563430538631792e+03
0.000000000000000000e+00 -2.694446428511046179e+03 1.030759404573926332e+02 4.213915756459440942e-01 1.216345772599818702e+03 1.215395240228297780e+03 1.212127543829796195e+03 1.421443573223163526e+02 1.141042653330233634e+02 1.642142151087550133e+02 4.079155968874199623e+00 1.214440365385220730e+03
0.000000000000000000e+00 -2.661445684590497876e+03 1.676387465915250345e+02 3.782898935558941522e-01 1.216274116226305068e+03 1.216659193727423599e+03 1.213789757926500442e+03 3.024966819091423531e+02 2.730370183501731276e+02 1.671140332921408174e+02 4.430048235573009308e+00 1.215856649493589885e+03
0.000000000000000000e+00 -2.625758010518291940e+03 2.469614897050607567e+02 1.314658758488825574e-01 1.217471992841091833e+03 1.212517946390139741e+03 1.219848418605379038e+03 4.104461779218114970e+01 9.702649682685671451e+01 3.847573509303123842e+02 2.117044508331034969e+00 1.218301468545021862e+03
0.000000000000000000e+00 -2.559838964943946394e+03 1.542080319066986647e+02 3.071271656989880694e-01 1.214958848587168177e+03 1.217009541429404408e+03 1.213734697237046021e+03 2.527812792032899267e+02 3.992676359899076033e+02 1.061414570585280046e+02 4.916672386497077163e+00 1.215867383040399545e+03
0.000000000000000000e+00 -2.552346709109979201e+03 1.606474703183446877e+02 1.333845211904023942e-01 1.219733338274955031e+03 1.215561788562991751e+03 1.210861977517901551e+03 7.533324437560114006e+01 3.315387053848635333e+02 3.479572155554053552e+02 4.698668231874886914e+00 1.213811621966743587e+03
0.000000000000000000e+00 -2.522106974905398147e+03 2.390528669904310561e+02 2.766610737934692144e-01 1.219354703198386460e+03 1.216795582649559265e+03 1.217133892715070942e+03 3.751999712699155793e+02 1.270484394179809442e+02 3.941479314857235750e+02 3.749782855394499403e+00 1.218015496338929097e+03
0.000000000000000000e+00 -2.492797124940736467e+03 2.059569884992113771e+02 2.312215418392963850e-01 1.215620742757597100e+03 1.214099786211362471e+03 1.214395757095755926e+03 1.491172829270654177e+02 3.458049893168363838e+02 1.498155177952465920e+02 3.130448715225884193e+00 1.214520332273825943e+03
0.000000000000000000e+00 -2.465176114696068453e+03 1.590598672499806412e+02 3.434338753028429725e-01 1.216109974625337827e+03 1.215929342165445178e+03 1.216404298939383807e+03 2.861705334726662997e+01 2.615709260543729329e+02 3.856868429388582626e+02 4.249185127749941948e+00 1.216208023573877654e+03
0.000000000000000000e+00 -2.357337411059386341e+03 2.877956582212227659e+02 1.618348249591744503e-01 1.217856876309561585e+03 1.217490613633008934e+03 1.212318456907886684e+03 1.630193408314519274e+02 1.738941594177097443e+02 3.878215232242148147e+01 1.305425018895849387e+00 1.217115630667722826e+03
0.000000000000000000e+00 -2.352399335361810699e+03 2.840400619980903230e+02 2.023007031422021373e-01 1.218901448181655041e+03 1.211623836998879142e+03 1.215704484842329066e+03 3.651292798450172228e+01 2.985753108548620389e+02 7.856151864197788370e+01 1.456307798877056747e+00 1.213041240911334853e+03
0.000000000000000000e+00 -2.270836675752814244e+03 1.912911907424542051e+02 1.737457188581960077e-01 1.215008006512975726e+03 1.216985685171708610e+03 1.214483905576498273e+03 9.439336289913748601e+01 7.034946696174273484e+01 1.931838280910685341e+02 1.871108944236982596e+00 1.215113840525075830e+03
0.000000000000000000e+00 -1.993917952871193847e+03 2.212510412682765093e+02 1.955129713149287018e-01 1.213411983862617717e+03 1.214389515634317831e+03 1.211780423272564576e+03 4.143544721734642167e+01 1.693137861325086817e+02 1.456546621888869595e+02 1.610857483407668322e+00 1.213209587642608767e+03
0.000000000000000000e+00 -1.957876009212994632e+03 2.362066581494578372e+02 5.735583430951246564e-01 1.213858400389088274e+03 1.215094747261912971e+03 1.217758462634393709e+03 2.993654281802495234e+02 2.169205316545972835e+02 3.453316269463799131e+02 3.647727771653435536e+00 1.215732786295438245e+03
0.000000000000000000e+00 -1.954615483081949606e+03 1.470058079773866098e+02 2.178921157521908347e-01 1.215096742520244561e+03 1.214883365436957320e+03 1.211877823304259437e+03 2.637129947712958824e+02 3.460572706421900762e+02 8.388343695085139018e+01 4.718546239146141019e+00 1.214601027299534280e+03
0.000000000000000000e+00 -1.949955027805951431e+03 1.541401819118907497e+02 1.072775901122469955e-01 1.210047985121139845e+03 1.210083155540891084e+03 1.219765168832787595e+03 1.425813165693336657e+02 1.325178221207409024e+02 2.324568578709274504e+02 3.292820796404211325e+00 1.214507565375789909e+03
0.000000000000000000e+00 -1.909397957668848903e+03 1.061246633629389748e+02 2.369089658402951493e+00 1.219599695790230953e+03 1.219560332989587096e+03 1.216005706808255354e+03 1.466222691457236067e+02 2.807703910670146001e+02 3.438195056413924249e+02 7.267039926587457010e+00 1.217983103781969476e+03
0.000000000000000000e+00 -1.775909239334098856e+03 2.088197894933281873e+02 1.101788314316958783e-01 1.210007061914606311e+03 1.216879287966738275e+03 1.217477205408491500e+03 1.216631268664100389e+02 2.045557899648513711e+01 1.932497206027335892e+02 1.606018410799824325e+00 1.214730757948374276e+03
0.000000000000000000e+00 -1.751796955498994294e+03 2.515402136545711187e+02 2.777301971600896202e-01 1.212704688359252714e+03 1.218826577996327160e+03 1.212159312192758762e+03 1.990541926295644082e+00 2.174390382993512674e+02 5.603831106478006774e+01 1.095124661334329064e+00 1.217426022050458414e+03
0.000000000000000000e+00 -1.724858626471522030e+03 2.037195494707215744e+02 2.014152950644609308e-01 1.212549959654133545e+03 1.218471363684055405e+03 1.210144346565166188e+03 1.333228478962899999e+02 2.076180133243517503e+02 6.940784738375667473e+01 2.014282427339519899e+00 1.215139030101687922e+03
0.000000000000000000e+00 -1.697270299454818769e+03 2.165742427388828162e+02 4.962109003135822816e-01 1.211715165375154129e+03 1.216690499275578304e+03 1.215237104368315840e+03 9.265162652499560636e+01 2.096993864890149553e+02 2.851057694166892134e+02 2.712496070638368284e+00 1.215200442342268616e+03
0.000000000000000000e+00 -1.425229199317738903e+03 2.861314795798427895e+02 3.214036313083454832e-01 1.214480739957760989e+03 1.216261167918620458e+03 1.217651740080072386e+03 8.356934656463023714e+01 1.900262017367579404e+02 3.674621113554260319e+02 2.240430380460574078e+00 1.216826161372311844e+03
