weight logl B
1.827179914451768704e-217 -7.836734194626042154e+02 3.392124260862494367e+01
4.883042545706853351e-214 -7.757801694334448257e+02 3.410483390692902361e+01
1.762533698926676421e-209 -7.652837600910625042e+02 3.435238014919893601e+01
2.251135847575712079e-209 -7.650365775565605873e+02 3.435825748305077099e+01
2.286272216385392964e-207 -7.604134196424874972e+02 3.446859573222987905e+01
3.907797015750286096e-204 -7.529671132094390487e+02 3.464797907511189123e+01
5.382995842739901131e-202 -7.480391717482998502e+02 3.476784634435851018e+01
6.821793798562584141e-187 -7.132610179630846687e+02 3.564130233637828837e+01
2.198846650725407833e-184 -7.074829521684641804e+02 3.579133897725819935e+01
1.347278024758471419e-179 -6.964573733976521908e+02 3.608176991319048454e+01
2.416875257831346317e-179 -6.958704841866619972e+02 9.992370445084442565e+01
4.510659881930738122e-178 -6.929414311256314249e+02 9.976938830293329374e+01
1.203790233236864390e-177 -6.919573143839115801e+02 9.971744987983626629e+01
6.896569655697894497e-177 -6.902092653540985339e+02 3.624883248287217441e+01
7.624601189786484315e-177 -6.901064094725861651e+02 9.961964094365335143e+01
2.173706932838435657e-176 -6.890562704236290301e+02 9.956407503641435142e+01
7.076119806921181653e-175 -6.855708935971433675e+02 9.937927428999240931e+01
4.256274697451452818e-173 -6.814715548252261215e+02 3.648556781479954481e+01
1.208142502324546220e-172 -6.804257799677070579e+02 9.910539268445765515e+01
1.904165080972096723e-169 -6.730605651119785762e+02 9.871104721666507942e+01
7.689213445189540674e-169 -6.716622902513045119e+02 9.863587196547319991e+01
1.322337092931044362e-165 -6.642098676787900331e+02 3.696434423377353795e+01
8.352459160231375879e-164 -6.600616272760998982e+02 9.800827656829933687e+01
1.038148795850770454e-162 -6.575390739727481559e+02 9.787086326655226287e+01
1.566176804619313326e-162 -6.571253756025707844e+02 9.784829470867339296e+01
7.302912604411603920e-162 -6.555832398403363186e+02 9.776408437982925648e+01
1.560840084500846575e-161 -6.548212038108085835e+02 9.772242453613525015e+01
4.430517091373525511e-161 -6.537754117006679735e+02 9.766520020862010654e+01
5.105975024449334467e-161 -6.536310165754330228e+02 9.765729438287888797e+01
3.320247602848455379e-160 -6.517563035505154403e+02 9.755454694036950514e+01
1.282014477112944763e-159 -6.504028251658055524e+02 3.735848316283196624e+01
3.681371725109615499e-159 -6.493454723827253474e+02 9.742212973728173608e+01
1.965677847590074856e-157 -6.453652504844103532e+02 3.750488583256691300e+01
3.572508761230392538e-155 -6.401601493616362859e+02 9.691460485176864381e+01
4.537520582182531212e-155 -6.399185367092650267e+02 9.690118931449175932e+01
1.245626519263666145e-154 -6.389061937202059198e+02 3.769470602307183071e+01
1.165504005379335558e-153 -6.366675936427691340e+02 9.672034832925456271e+01
2.307560729185083227e-152 -6.336794711606598867e+02 3.785008451484664960e+01
4.033523643642328690e-151 -6.308159367256921541e+02 9.639325599981049209e+01
2.096851521857903396e-150 -6.291650550355079758e+02 3.798559574198291244e+01
1.968136601318450329e-149 -6.269233196794393734e+02 3.805334539202498689e+01
3.007845044272468723e-149 -6.264966829966760997e+02 9.615049143578224289e+01
1.635970275224579920e-148 -6.248005857250682311e+02 9.605484770643704451e+01
8.178263180946668418e-148 -6.231888419909028016e+02 9.596379464060498776e+01
4.055687849186094014e-147 -6.215851163978441036e+02 9.587303272892219752e+01
4.740224419558184524e-147 -6.214266522204270586e+02 9.586405573422686643e+01
2.755082682275420246e-145 -6.173616190610537160e+02 9.563322533526036295e+01
6.990334663928872849e-145 -6.164280380822947336e+02 9.558006285777778999e+01
2.120320974410249612e-144 -6.153159139416820835e+02 3.840914644660931998e+01
8.823212608661051776e-144 -6.138875953768856562e+02 3.845352161632202836e+01
5.926647188008784632e-143 -6.119804376741358283e+02 3.851298071780225030e+01
2.337647079698086554e-142 -6.106056663339441002e+02 9.524722710402814130e+01
2.518995190738143294e-142 -6.105284511477675551e+02 3.855840916764673665e+01
3.410524374183338768e-141 -6.079203600880537124e+02 9.509296572198836373e+01
1.034947787217113369e-140 -6.068077900716416480e+02 9.502891057407720155e+01
1.195627273678182827e-140 -6.066609700870776578e+02 3.868009459561323382e+01
2.934431388825741377e-140 -6.057606273500841780e+02 3.870856669821711904e+01
3.962389087268330978e-140 -6.054577939017362951e+02 3.871815570718364086e+01
8.743172616058118269e-140 -6.046638679266052350e+02 9.490523961789075713e+01
1.694872588760842683e-137 -5.993942782018366415e+02 9.459992368697724885e+01
7.531307752157024859e-137 -5.979003170719734044e+02 9.451301249172404084e+01
1.236500516181336067e-136 -5.974020154525442194e+02 9.448398877770016213e+01
1.029863151102109828e-135 -5.952797896545762342e+02 9.436018168473455603e+01
1.140941324846164840e-135 -5.951748619397494622e+02 3.904750598391627392e+01
2.038394543315858028e-135 -5.945920530755356594e+02 3.906639472351790232e+01
3.513914416054395357e-134 -5.917423998576559825e+02 9.415309821429622161e+01
1.686201856493732621e-133 -5.901715668214965262e+02 9.406084831808574620e+01
2.586181655698530284e-133 -5.897413628752892691e+02 9.403555231035576867e+01
1.333819329096069086e-132 -5.880984138031399198e+02 9.393882131491695020e+01
3.419672824407763910e-132 -5.871544154248804261e+02 3.930960292337706363e+01
3.907605381134518779e-132 -5.870185355541107128e+02 3.931408384457771632e+01
5.858268513741843345e-132 -5.866111062215441052e+02 9.385108132816803561e+01
1.034073742774750046e-131 -5.860403691214996797e+02 9.381736830221068146e+01
4.640260201345948635e-131 -5.845366047704646917e+02 3.939617272325725139e+01
1.747860142386833502e-130 -5.832078978560566611e+02 9.364969368694261220e+01
2.240816224936969213e-129 -5.806543648413917253e+02 3.952550699457007255e+01
3.038581406070987326e-129 -5.803473142632519739e+02 9.347973574904216321e+01
3.220967804830013358e-129 -5.802865231521154783e+02 9.347611710398099660e+01
6.391867419441814925e-129 -5.795986785604090983e+02 9.343515264826255873e+01
1.097500528249851629e-128 -5.790555845867365861e+02 3.957910394415485911e+01
1.378807257022458525e-128 -5.788249011150892329e+02 9.338902667081127618e+01
2.112611580699694968e-128 -5.783956950359042821e+02 3.960128337408943366e+01
1.289479774211295067e-126 -5.742817108868057403e+02 3.974032420853087189e+01
6.289924961334188933e-126 -5.726945006072310207e+02 3.979432445719698563e+01
1.531939513641581086e-125 -5.718018300664607523e+02 3.982478337801270385e+01
3.500147490717292788e-125 -5.709730595472301502e+02 9.291830092492247672e+01
8.453275125176907235e-125 -5.700888106999882439e+02 9.286498009735494463e+01
2.041249587632806510e-124 -5.692047173987630231e+02 9.281160499646794904e+01
3.470605177298698581e-123 -5.663688654876223154e+02 9.263996389075201421e+01
1.448392606713084426e-122 -5.649376549816151964e+02 9.255308624493270031e+01
6.853781903348773136e-121 -5.610782236804661807e+02 9.231795162557632750e+01
8.067661408032122401e-121 -5.609126606311292562e+02 4.020158090169374532e+01
2.094884696098944570e-120 -5.599559406758744444e+02 9.224933902819606146e+01
9.892501887966258492e-120 -5.584011621049467067e+02 9.215410588737820774e+01
1.236310891569417374e-119 -5.581757222392752738e+02 4.029785309700090323e+01
2.401132944489513683e-119 -5.575094134109058359e+02 9.209939002049975443e+01
2.886240653325359389e-119 -5.573228992537424347e+02 4.032798327949771533e+01
1.024570111469943221e-118 -5.560534958829121024e+02 4.037294844724041809e+01
1.471309838575829696e-118 -5.556891159533897735e+02 9.198748461943152677e+01
4.449793799948502759e-118 -5.545799112460699689e+02 9.191915167714414281e+01
1.080328569417544780e-117 -5.536904186852807470e+02 4.045703072920151300e+01
1.098616332720137990e-117 -5.536711324024254282e+02 9.186308475560439035e+01
1.372377823276257575e-117 -5.534461390383003163e+02 9.184919248244727896e+01
1.891310668218578159e-117 -5.531229138471135229e+02 9.182922695080303299e+01
4.546111067311811443e-117 -5.522434117540815350e+02 4.050876195734748109e+01
6.594363279761136480e-117 -5.518689686754860304e+02 9.175168252627615573e+01
9.978927030379104867e-117 -5.514522083385327278e+02 4.053712703054570454e+01
3.236393315015061742e-115 -5.479705541897146759e+02 9.150969411231959327e+01
1.266394435373485650e-114 -5.466037547965843260e+02 4.071218564596520650e+01
1.630955639572378261e-114 -5.463482625071392249e+02 4.072147022968091079e+01
2.149483046614052798e-114 -5.460697012623149931e+02 9.139119572443068762e+01
6.515081576516286377e-114 -5.449583089002717315e+02 4.077208725376563336e+01
1.238988743016384753e-113 -5.443130480220479512e+02 9.128138760142714148e+01
2.626436537504815761e-113 -5.435592155403755896e+02 9.123417679229903854e+01
2.799173829472500235e-113 -5.434930192263745994e+02 4.082564309650019396e+01
3.491076124969766892e-112 -5.409670484121706977e+02 9.107142393392807378e+01
5.266819913244036970e-112 -5.405533316977271170e+02 9.104538873060403148e+01
6.119777910826490958e-112 -5.404007326393348194e+02 4.093933096478096445e+01
7.079034523613863252e-112 -5.402526209144343738e+02 9.102645466121272477e+01
1.248427197321380451e-111 -5.396827888362058729e+02 9.099055161671716974e+01
1.425514753433010954e-111 -5.395476403741540707e+02 9.098203180105927856e+01
1.136048881324753798e-110 -5.374695319114234735e+02 4.104794319814143222e+01
2.334489044055924847e-110 -5.367467952177721600e+02 9.080506525697509801e+01
5.421880521221222757e-110 -5.359016455452219816e+02 9.075151487447547538e+01
1.424864061807834065e-109 -5.349329267531902588e+02 9.069004795527997942e+01
3.624214106319491609e-109 -5.339968657005920250e+02 9.063056450477002102e+01
5.293620519298347521e-108 -5.313129156541890552e+02 4.127881930062281413e+01
7.469611921775621341e-108 -5.309660750279181229e+02 9.043736389034808099e+01
1.037111198397975175e-107 -5.306353938267948251e+02 9.041622793621090182e+01
1.198982429739840296e-107 -5.304878597593069571e+02 9.040679448502156390e+01
1.735511272102553121e-107 -5.301155309298337670e+02 9.038297756532425353e+01
3.675052510593024557e-107 -5.293627655599902937e+02 9.033478164578659175e+01
4.683338435695350326e-107 -5.291178217845663312e+02 9.031908650913503322e+01
4.895972242625643453e-107 -5.290709201053541619e+02 9.031608050851616554e+01
5.983754804744856564e-107 -5.288677847164599370e+02 9.030305862801866112e+01
8.596034375880995114e-107 -5.285030320033220050e+02 4.138546009277411741e+01
1.926635250103427480e-106 -5.276934728004471253e+02 9.022769628093719518e+01
3.866382023495778928e-103 -5.200866734170522250e+02 8.973599996789779709e+01
3.398098826483139051e-102 -5.179106914096319088e+02 4.179490947846959159e+01
1.529005251700883513e-101 -5.164042050615153130e+02 4.185413036969176659e+01
5.167624029209987939e-101 -5.151839094091174047e+02 8.941575777048059592e+01
1.527469233928444031e-100 -5.140976250597850594e+02 4.194529496587894357e+01
2.134237879943028105e-100 -5.137606277121358289e+02 4.195866459896541301e+01
3.233447124926014067e-100 -5.133426885406934161e+02 8.929479567406636420e+01
1.563453509668085889e-99 -5.117642550745058543e+02 8.919078971135273548e+01
6.690098512702396389e-99 -5.103080236377991241e+02 8.909458084141303402e+01
7.552589699951753095e-99 -5.101842617261336272e+02 4.210134953635796506e+01
9.101621460635139065e-99 -5.099951996570598567e+02 8.907388131579988055e+01
2.271881574237550731e-97 -5.067753736757240404e+02 8.886015692086223794e+01
4.324108879053430991e-97 -5.061292759715797729e+02 4.226493177863110873e+01
1.801819056147591762e-96 -5.046996002168634732e+02 8.872171725405704024e+01
5.280679798590759285e-96 -5.036218421190515073e+02 8.864963284913605435e+01
1.621273464811166852e-95 -5.024975999353937368e+02 8.857428829768375067e+01
2.607801367774799806e-95 -5.020198043867203523e+02 4.243271902417446739e+01
3.549029946789675618e-95 -5.017091375535001134e+02 8.852135435828334664e+01
1.539230210383019848e-94 -5.002394443441626208e+02 4.250605194408971954e+01
1.807492778995240038e-94 -5.000762860922077380e+02 4.251279211092060706e+01
7.009817621470648388e-94 -4.987184150884277187e+02 8.831986740383128165e+01
2.086182213138272016e-92 -4.953227208829775918e+02 8.808972550673910007e+01
2.134766138446063665e-92 -4.952971994825857109e+02 4.271170929421374041e+01
3.146722661441123423e-92 -4.949066950999585970e+02 8.806142756731343013e+01
4.138983360654893992e-92 -4.946301063936170976e+02 4.273970765701048435e+01
1.058273973830169105e-90 -4.913862471458669461e+02 8.782106093617487375e+01
1.062809966462889549e-90 -4.913794700878388539e+02 8.782059663757799228e+01
2.300065170061597792e-90 -4.906049489429078676e+02 4.290988219773819168e+01
3.155509483727241298e-90 -4.902862364327538671e+02 4.292344835374503020e+01
1.016432519718799097e-89 -4.891140023403040686e+02 8.766504364039788300e+01
2.625803830583900149e-89 -4.881624142369146284e+02 8.759949825988361738e+01
3.939363273892543253e-88 -4.854516971096236375e+02 4.313092144043179132e+01
1.416329375434384734e-87 -4.841695625432766974e+02 8.732311249662852504e+01
2.367421846706996054e-87 -4.836533295866302069e+02 8.728721641583213398e+01
2.580794427324711578e-87 -4.835645338521644589e+02 8.728103824370569441e+01
2.895423548668198415e-87 -4.834469997174328455e+02 8.727285881521267186e+01
5.587291697236101385e-87 -4.827871364421607723e+02 4.324665170427253003e+01
1.243901263577718321e-86 -4.819842934072221396e+02 8.717090212172820429e+01
7.534185916492056942e-86 -4.801805952423128474e+02 8.704475487558440250e+01
8.322694817531610046e-86 -4.800785599295468273e+02 8.703760466802407336e+01
4.377811976484053055e-85 -4.784159118844563636e+02 8.692087926875562687e+01
1.612131844640856336e-84 -4.771098184120673977e+02 4.349662199353093683e+01
9.844184586618715451e-84 -4.752979949587534065e+02 8.670088626473435056e+01
1.479453140900678632e-83 -4.748881182291897858e+02 4.359573269717963484e+01
2.334907755674537194e-83 -4.744293183640165807e+02 8.663933475690880925e+01
