A lam0 gamma C W
3.712220522819022790e+02 1.215718173701153319e+03 7.204832891247509030e-01 2.106834715392432997e+02 1.761989441173395399e+00
3.652420848604587036e+02 1.215657764206189540e+03 7.673541902520957247e-01 1.990240013437307312e+02 1.835166022160592325e+00
3.892386451407762706e+02 1.215757400306793215e+03 7.125105902753512410e-01 2.165430905805399959e+02 1.797511267144331848e+00
4.604860310535633516e+02 1.215743217215322147e+03 8.898029939092350071e-01 2.064404922992098363e+02 2.230599365100069953e+00
4.323488096297452330e+02 1.215612518037072505e+03 8.998356015362760640e-01 2.118311730334381764e+02 2.041006540437264594e+00
4.292669874083609329e+02 1.215789080367725091e+03 8.498431777765449446e-01 2.204854833853898697e+02 1.946917233811891190e+00
3.616671429646326033e+02 1.215830993207547181e+03 7.166504616995975629e-01 2.028067663333966379e+02 1.783309055724912939e+00
3.850139284431411966e+02 1.215729877107096627e+03 7.452190834485655779e-01 2.041026406524581773e+02 1.886374067539552613e+00
3.761104650936616167e+02 1.215702046944836411e+03 6.958400546249511320e-01 2.144497915783258577e+02 1.753839266177559475e+00
4.706862092390610428e+02 1.215705682151288556e+03 8.748012169075060074e-01 2.174974374965292441e+02 2.164100021852313205e+00
4.127275413301012463e+02 1.215702801499695852e+03 7.849975869998423450e-01 2.101416897008887190e+02 1.964044078628895518e+00
4.644284423748130166e+02 1.215670544360206122e+03 8.999221817169512638e-01 2.154914214241887862e+02 2.155206176215241243e+00
3.977382835552224378e+02 1.215732160846017223e+03 7.041899355432009733e-01 2.151679797037683102e+02 1.848501269114517287e+00
3.475154281224403690e+02 1.215815027239036226e+03 7.444731285982362223e-01 2.095290189333914554e+02 1.658555124686162507e+00
3.906855928983313220e+02 1.215749602846162588e+03 7.742444132733680151e-01 2.010211342344060768e+02 1.943505066699911854e+00
3.708591342286035228e+02 1.215806652163036688e+03 8.198955703497201597e-01 2.030495989361089073e+02 1.826446031766342681e+00
3.341248398371570829e+02 1.215733775590615778e+03 7.137888753706386202e-01 2.013417357201381890e+02 1.659491206043764766e+00
3.411497485937122747e+02 1.215663585646735100e+03 7.056242401400306674e-01 1.996605384553440672e+02 1.708648845850997189e+00
4.356826147302688241e+02 1.215746870727175292e+03 8.573049328199584540e-01 2.108151068199489657e+02 2.066657467305569540e+00
3.263366515176970779e+02 1.215697804441585504e+03 6.625239183737929860e-01 2.043552468661054604e+02 1.596908601673997730e+00
3.028162394439387413e+02 1.215729680169393532e+03 6.460603144996838187e-01 1.994091193260648254e+02 1.518567658627423267e+00
3.505867135900311382e+02 1.215635592416403824e+03 7.170414421577560038e-01 1.973565434051100169e+02 1.776412920195853173e+00
4.462075187995164924e+02 1.215622170567174635e+03 9.489741305280783301e-01 2.156084471908452542e+02 2.069527073791116667e+00
3.355267059538152807e+02 1.215651309346128983e+03 8.035572508185259144e-01 2.037119098215882502e+02 1.647064750645512055e+00
3.575550341237212706e+02 1.215723819488358231e+03 7.064842986872162944e-01 2.092576351409757649e+02 1.708683336131741726e+00
3.273757645210172313e+02 1.215602483859130189e+03 6.752824132955635994e-01 2.088108402539918416e+02 1.567810196648824483e+00
4.152669264040642929e+02 1.215699244293070251e+03 8.700482666824224109e-01 2.060027066459606715e+02 2.015832379900465376e+00
4.511808227875366129e+02 1.215804651190358300e+03 8.789094666020990099e-01 2.122993235571397008e+02 2.125210835474483861e+00
4.329591956942310276e+02 1.215685208009361759e+03 9.019019735219575562e-01 2.096949008642984325e+02 2.064710176116373308e+00
4.014598879421611741e+02 1.215721689142577816e+03 7.739109910605194154e-01 2.045870343773215154e+02 1.962293892005616991e+00
4.126707052633157105e+02 1.215750853154556353e+03 7.521132875458990119e-01 2.104326522122605070e+02 1.961058328757176339e+00
3.935364472042570014e+02 1.215655187269622047e+03 7.259373031007357868e-01 2.146208224655956656e+02 1.833635910454783691e+00
4.141552127895006379e+02 1.215632957353054053e+03 8.398453479022617296e-01 2.052110546619524598e+02 2.018191531990054521e+00
4.410213038698025230e+02 1.215709298912914619e+03 8.097612535933961242e-01 2.063122752606254267e+02 2.137639669344343574e+00
4.582886558486528088e+02 1.215727996919360749e+03 8.732387670781225353e-01 2.119947423459999811e+02 2.161792555688351047e+00
3.691192416652919519e+02 1.215710600309662368e+03 7.128081854628154357e-01 2.131163011276901216e+02 1.732008484156881023e+00
4.710185676787581883e+02 1.215682023392739893e+03 9.263839584709733233e-01 2.180715042757117885e+02 2.159927172709556586e+00
3.701884871187375552e+02 1.215657819920141037e+03 6.916241686923144671e-01 2.057991832800753400e+02 1.798785015657434538e+00
3.208997895054013725e+02 1.215755078575885364e+03 6.841221057635729075e-01 2.023704921388207083e+02 1.585704447885973201e+00
4.260400362619253087e+02 1.215590970167747628e+03 7.672211461897691098e-01 2.116625733766283020e+02 2.012826497690916039e+00
4.461963834836619753e+02 1.215602231318048553e+03 8.771729067623902365e-01 2.044482238072789642e+02 2.182441965865472344e+00
3.117982042226898898e+02 1.215530988380916142e+03 6.318275702846305464e-01 2.026464477046612274e+02 1.538631482339662959e+00
3.791813242824295003e+02 1.215659539163575346e+03 7.024823317533557265e-01 2.081916377368418409e+02 1.821309099656163166e+00
3.660415424647693499e+02 1.215657730883742033e+03 7.039293415046802282e-01 2.106371816028232615e+02 1.737782188687731377e+00
3.333563174458401477e+02 1.215654051936011228e+03 6.890439795481964058e-01 2.044313219225975331e+02 1.630651870323749142e+00
3.275093252538600268e+02 1.215746909017731241e+03 6.625159714512904863e-01 1.959960164874742645e+02 1.670999906647544275e+00
3.106516541065232104e+02 1.215561049216322090e+03 6.290771438359445966e-01 1.994257256612132210e+02 1.557731095507015606e+00
5.426069320761058634e+02 1.215656556654276073e+03 9.938476841741239465e-01 2.254411961887466305e+02 2.406866807173156708e+00
4.143666103737477329e+02 1.215808633687420752e+03 8.422361438085911312e-01 2.045622843507115931e+02 2.025625650832767022e+00
3.760758485314651125e+02 1.215704849624606823e+03 6.755553982552092718e-01 2.102401104122030233e+02 1.788792099633697896e+00
4.570205476755695599e+02 1.215597259647088777e+03 8.661445668207110593e-01 2.269954147323914810e+02 2.013347045861513696e+00
3.592515459257857060e+02 1.215740040514390557e+03 7.039014104631271529e-01 2.015748552053456706e+02 1.782224005865283845e+00
3.717869957501259250e+02 1.215656681024999216e+03 7.030206860297881777e-01 2.057963694987747374e+02 1.806577038533905943e+00
3.084832370481918815e+02 1.215694031290047178e+03 6.566101959260196574e-01 2.005371901641463523e+02 1.538284428916592006e+00
3.547046593333010378e+02 1.215619744480885629e+03 7.832409341009493042e-01 2.062122205838214484e+02 1.720095241344439030e+00
3.009608130691156020e+02 1.215672578558608393e+03 5.998294474577493540e-01 2.044285167142851662e+02 1.472205629167415042e+00
4.372195475047984701e+02 1.215630313537696793e+03 8.159071615019900525e-01 2.077053239395737023e+02 2.104999232624368055e+00
4.084791801733451280e+02 1.215752949570320652e+03 7.526509604365275719e-01 2.096173534334182591e+02 1.948689712386299622e+00
4.097797490392695181e+02 1.215809691862873024e+03 9.078154178225374960e-01 2.120132982110069690e+02 1.932802104853983183e+00
3.855469238863160513e+02 1.215627530661008223e+03 7.833994192372045751e-01 2.042148789235377535e+02 1.887947273570956375e+00
3.593844662808733119e+02 1.215675924854322830e+03 7.146622650046350333e-01 2.040299671972423994e+02 1.761429809638917821e+00
4.932999831603094663e+02 1.215730962823658501e+03 9.585659162518596066e-01 2.126961117037864994e+02 2.319271279614687487e+00
4.534346417051210096e+02 1.215716684920673742e+03 8.983886202044183422e-01 2.153139128599003698e+02 2.105923559153189295e+00
3.983073205542852975e+02 1.215662819625589464e+03 7.503860091919332120e-01 2.069752352755688776e+02 1.924420184975149217e+00
3.010182715340008599e+02 1.215681200386396085e+03 6.229294187632061774e-01 1.994022257861496428e+02 1.509603367501173521e+00
3.076540442526712695e+02 1.215648835305095417e+03 6.492063279485716931e-01 2.046377910737165280e+02 1.503407765684126485e+00
4.094789111146043297e+02 1.215662957975637937e+03 8.300524111968551333e-01 2.099136767956510425e+02 1.950701437683015405e+00
3.691192416652919519e+02 1.215710600309662368e+03 7.128081854628154357e-01 2.131163011276901216e+02 1.732008484156881023e+00
4.587253824838035143e+02 1.215754144129292854e+03 8.149686615790676658e-01 2.177213452573060692e+02 2.106938031003232847e+00
3.858138638953930126e+02 1.215594895495305536e+03 8.127667600982532159e-01 2.013383806282813566e+02 1.916245986937271439e+00
2.888712016135209524e+02 1.215792392382283424e+03 5.566149608643997659e-01 2.082051164040112781e+02 1.387435652892320403e+00
