m0 p a1 b1 m_100 m_200 m_300 m_400
1.507706993606220358e+01 9.959347763227319206e+01 1.117540832091172831e+00 8.802135369102810358e-01 1.621681544990703117e+01 1.623827049482146379e+01 1.625896179142015541e+01 1.627887573056142401e+01
1.506279168893477305e+01 1.003947589765591886e+02 1.301403869994402385e+00 5.917787241751284455e-01 1.634917945827334762e+01 1.633337820967984300e+01 1.631680145745502131e+01 1.629945931923458602e+01
1.501362634501651527e+01 1.006643790909622282e+02 1.276698023879234256e+00 6.486992301571667952e-01 1.626233381072653117e+01 1.623219622073285962e+01 1.619996341758851699e+01 1.616569082248386380e+01
1.500478551067195632e+01 1.002348835957230762e+02 1.231406197729452145e+00 7.611676562685154579e-01 1.622485152193214120e+01 1.621324684938745619e+01 1.620138020642983889e+01 1.618925416551176610e+01
1.498761122360358122e+01 1.009162909210864996e+02 1.346135275472548187e+00 6.299318760819279106e-01 1.629563867676348110e+01 1.625327484082392004e+01 1.620679283321375053e+01 1.615634389545111915e+01
1.500311186160881860e+01 9.989529971544027376e+01 1.151681327183540660e+00 7.581027410322800364e-01 1.615976059570424184e+01 1.616467784172195721e+01 1.616954471359712997e+01 1.617436100026599632e+01
1.508819954494712690e+01 1.017584555657090561e+02 1.362627902170673977e+00 3.372315447447782333e-01 1.640625930715763303e+01 1.634616765748286937e+01 1.627126023027245338e+01 1.618241925120941715e+01
1.503615587911032847e+01 1.010272730997754991e+02 1.269076394939750330e+00 5.773379070792969969e-01 1.626578253802561491e+01 1.622131538905706094e+01 1.617201227250199480e+01 1.611807436657446857e+01
1.509906125367733409e+01 1.019228223991748337e+02 1.474156808215365544e+00 2.843253442078879090e-01 1.652925006697931565e+01 1.646521056384045778e+01 1.638199829353888504e+01 1.628078107094790994e+01
1.511484643705217579e+01 9.839899193924702558e+01 1.008591227971260551e+00 1.060681417221832845e+00 1.622641754214751231e+01 1.631779029991806951e+01 1.639660181628188340e+01 1.646202913472931328e+01
1.500486551140902591e+01 1.009184463234217901e+02 1.403178314916250002e+00 5.274858926571308615e-01 1.637560384519961332e+01 1.633868299348939601e+01 1.629740196349183634e+01 1.625189570069467138e+01
1.510466230939661614e+01 9.972701095836717400e+01 1.170792125545423445e+00 8.191432909707465626e-01 1.628936931405107202e+01 1.630293374417244934e+01 1.631614371280283393e+01 1.632899531229239543e+01
1.500311186160881860e+01 9.989529971544027376e+01 1.151681327183540660e+00 7.581027410322800364e-01 1.615976059570424184e+01 1.616467784172195721e+01 1.616954471359712997e+01 1.617436100026599632e+01
1.501983114082719339e+01 1.003853639070581494e+02 1.322920825033222059e+00 6.617092044539241158e-01 1.632640816190789579e+01 1.630930425053074018e+01 1.629145018201111128e+01 1.627285634303868633e+01
1.504993053387714674e+01 1.001973451222654319e+02 1.253739877321034868e+00 6.842573901956612303e-01 1.629510684753008931e+01 1.628635259496389764e+01 1.627740899414410691e+01 1.626827741471240429e+01
1.505055703566313952e+01 1.010907690706787321e+02 1.486574317106981624e+00 5.918163633126098944e-01 1.649362455058341581e+01 1.644348760890190775e+01 1.638695088071584394e+01 1.632427412268288336e+01
1.512558051741832621e+01 9.869465083292064378e+01 9.760023999074824985e-01 9.217400818481085167e-01 1.617472529502987655e+01 1.624062645890135670e+01 1.629883155806589912e+01 1.634893886000938323e+01
1.507453181515562690e+01 1.009931661317804412e+02 1.321407159903193573e+00 6.439171808088044457e-01 1.635365574634043995e+01 1.630649055993501406e+01 1.625462342845798958e+01 1.619825231016427480e+01
1.503385820422383290e+01 9.887645623338103462e+01 1.160527370039922346e+00 9.775218145017063875e-01 1.626116132449271845e+01 1.632168360159746712e+01 1.637564402663961616e+01 1.642276765526175097e+01
1.510056654929764974e+01 9.943512147004153690e+01 1.209342434120042498e+00 8.112025422608972747e-01 1.633808758656211069e+01 1.636468967968347954e+01 1.638968137368805955e+01 1.641303083101114879e+01
1.499048646132510854e+01 1.010704700885027734e+02 1.382622471959273014e+00 6.659947113117752338e-01 1.632576115364842195e+01 1.627250224311755034e+01 1.621356797369679370e+01 1.614921924165172129e+01
1.508800677565152526e+01 1.004086458940385285e+02 1.337116689659275437e+00 6.358236550922864438e-01 1.640842913714160645e+01 1.639087143092802279e+01 1.637246182704064168e+01 1.635321236287619584e+01
1.503056018964894314e+01 9.975404252267134098e+01 1.233879768531839005e+00 8.856808409237277857e-01 1.627801237194664452e+01 1.629128539797455488e+01 1.630425585074662820e+01 1.631692061736237065e+01
1.508221587555273047e+01 9.956432359215142469e+01 1.339091900093327681e+00 7.313996621124516651e-01 1.644090835152384500e+01 1.645948191865989330e+01 1.647701443766254314e+01 1.649349265604780612e+01
1.508498420459388001e+01 1.003310754612424489e+02 1.289495875100449496e+00 6.235522992245279283e-01 1.636127546941206745e+01 1.634752223232028356e+01 1.633322628038813562e+01 1.631839375887627952e+01
1.503536612725648069e+01 1.008266656646603394e+02 1.417111692113753207e+00 5.555156176635875909e-01 1.642199309273922836e+01 1.638782934465259444e+01 1.635007721892827348e+01 1.630883688012673716e+01
1.493570328252815038e+01 1.006254274096285002e+02 1.254707378178514077e+00 7.783263672169873360e-01 1.615906612674544363e+01 1.612585608024863504e+01 1.609083116339352060e+01 1.605404478586290651e+01
1.510431933492889200e+01 9.905506281806194124e+01 1.083504482080785536e+00 1.011968362649824371e+00 1.624649767466268102e+01 1.630106933872103170e+01 1.635134281218236652e+01 1.639713753522197237e+01
1.506261026920607193e+01 9.970788910411889105e+01 1.249313100303467650e+00 6.519484221133566848e-01 1.632371186999523616e+01 1.633507306937195835e+01 1.634600311810601880e+01 1.635649831275121002e+01
1.515935949172371267e+01 9.992087686948127612e+01 1.136170523115037412e+00 7.877983423971830490e-01 1.629943553970493042e+01 1.630331284261494318e+01 1.630716182758829191e+01 1.631098239934546257e+01
1.499823962726946291e+01 9.995361759506245392e+01 1.244184889914363268e+00 7.210106508186857610e-01 1.624452143676440841e+01 1.624660776173003995e+01 1.624868347434491156e+01 1.625074855696344400e+01
1.508656987722255849e+01 1.001382015227738975e+02 1.296256128835963750e+00 8.961143568005986992e-01 1.637500673606593082e+01 1.636709058337235945e+01 1.635907814322487397e+01 1.635097001811077178e+01
1.502705462564206940e+01 1.003636963281302172e+02 1.443596536241413375e+00 7.103456355348143347e-01 1.645410458666000153e+01 1.643681822785284652e+01 1.641880104672112139e+01 1.640006238338269995e+01
1.500732564486742504e+01 1.005259797980253893e+02 1.247355977707707453e+00 6.962267778826340958e-01 1.623112302998260859e+01 1.620624188878847249e+01 1.618006508785430242e+01 1.615262091625138652e+01
1.516655877347093195e+01 1.008066377684020551e+02 1.198678772385653346e+00 5.732536070874942880e-01 1.633491354276673135e+01 1.630163682261930802e+01 1.626549148379075049e+01 1.622656887435556428e+01
1.504307576648533740e+01 1.008394002067393842e+02 1.204934418844995747e+00 6.109927863133997050e-01 1.621442090342654296e+01 1.617762813244120679e+01 1.613773249620961892e+01 1.609484310453301603e+01
1.498976202323667373e+01 9.954177587097773028e+01 1.174263704532830133e+00 8.901127720215775696e-01 1.618927626389072216e+01 1.621352338635439594e+01 1.623674681203840109e+01 1.625892711416003067e+01
1.507620724106330101e+01 9.990146567150273427e+01 1.310473278100008798e+00 7.612461982268641236e-01 1.639137292005328206e+01 1.639601481177506415e+01 1.640060601605599544e+01 1.640514635657006792e+01
1.509125244163015012e+01 9.970965630416930026e+01 1.290722396935342076e+00 8.150668950308652683e-01 1.639667040927122343e+01 1.641092901405267312e+01 1.642474588009027769e+01 1.643811638242882722e+01
