weight logl m0 p a1 b1 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -1.460848166164714712e+04 1.637714495006731497e+01 1.364320654175450045e+02 9.673397509063278221e+00 -7.648075684742535074e+00 2.294808014161617038e+01 5.299846755257981101e+00 1.217290887798441190e+01 2.835269122259726515e+01
0.000000000000000000e+00 -1.448663664445368704e+04 1.296170930616411354e+01 1.042182638981352909e+02 -6.389536545050273908e+00 -8.086973330098103929e+00 8.812215565178741272e+00 1.131918550616242669e+01 1.393181512580159520e+01 1.648204012812890085e+01
0.000000000000000000e+00 -1.433333996517160995e+04 1.041640777544113483e+01 1.972974074602222174e+02 8.108513078851803613e+00 -7.996543897543178403e+00 2.659416594854469906e+00 1.780751408259714452e+01 3.404871838303805021e+00 1.703539066484455589e+01
0.000000000000000000e+00 -1.431081661448378873e+04 1.629769419224031779e+01 5.649820859533682693e+01 4.606961051668159612e+00 9.545654097240149127e+00 7.403542767509758704e+00 9.464857766810226281e+00 2.348184073780738146e+01 2.492845535648369903e+01
0.000000000000000000e+00 -1.421450156799158503e+04 1.036799595819269015e+01 1.656798382574112907e+02 -5.705222084289417239e+00 5.252589946793552400e+00 1.172513301299526489e+01 1.391369883253576667e+01 3.368824856195290707e+00 1.795959450449608852e+01
0.000000000000000000e+00 -1.385213005101635645e+04 1.267902205773801327e+01 9.238315326134301131e+01 7.028748323827038291e+00 -6.554808330827157192e+00 1.553975040324514190e+01 1.062102943548682177e+01 6.242358731573829367e+00 3.552771695888965908e+00
0.000000000000000000e+00 -1.380330307390862617e+04 1.404470056153984814e+01 5.346096188468016663e+01 -7.141115249366284168e+00 -9.032878008755357513e+00 1.570346549092887045e+01 2.346476770742973272e+01 2.532802254702953704e+01 2.012661780314816440e+01
0.000000000000000000e+00 -1.364046808117664114e+04 1.249213644571692150e+01 1.533046130305994268e+02 8.468004167343622157e+00 -7.495089176414118981e+00 1.374069585969368745e+01 2.585659522770523466e+00 2.265688824316097438e+01 1.068774213225477254e+01
0.000000000000000000e+00 -1.324930177283983357e+04 1.898310670475500928e+01 1.196657558766922023e+02 9.165223332318397809e+00 6.893234500558172329e+00 1.776263332260284145e+01 8.566625743258539316e+00 9.524362118812607747e+00 1.970226325206643381e+01
0.000000000000000000e+00 -1.324843342844475046e+04 1.309364473895197634e+01 1.223670790983592127e+02 -8.478013316277472455e+00 8.579978616431212401e+00 1.792578043302640367e+00 1.230768348960769920e+01 2.375042490664969819e+01 2.261543094037626389e+01
0.000000000000000000e+00 -1.321472757711529084e+04 1.253545098042371464e+01 1.371342537072465007e+02 -2.975567641852912004e-01 -9.657315644360181750e+00 2.214926302516453660e+01 1.032877861244924489e+01 3.496438318414385904e+00 1.709662734003254059e+01
0.000000000000000000e+00 -1.320988574178029739e+04 1.295219514677086892e+01 1.818536998200723360e+02 -2.776291097132894237e+00 8.899032484266456322e+00 1.284894408225641094e+01 1.592492446470421541e+01 7.399740278545022143e+00 2.054317633892502926e+01
0.000000000000000000e+00 -1.319065681370872517e+04 1.077850401118307921e+01 1.121194059115923380e+02 -5.293517281790767193e+00 4.452692533856909662e+00 3.862700372435373453e+00 5.309751887799620818e+00 9.183918006677574297e+00 1.376578542390937088e+01
0.000000000000000000e+00 -1.313512795851764349e+04 1.473661655837386242e+01 1.165322981685335577e+02 2.107875145108534909e+00 9.757460969825707764e+00 8.470299403721174514e+00 4.754075704322533014e+00 8.458217221434377819e+00 1.682930843966172674e+01
0.000000000000000000e+00 -1.308397091715032730e+04 1.894489930582796333e+01 1.415551487725242623e+02 8.191997872865290020e+00 6.756021004623793402e+00 1.022606235021286736e+01 1.546631592620814111e+01 2.954426291894679224e+01 1.669345305792065659e+01
0.000000000000000000e+00 -1.298826036178852883e+04 1.631588214546725979e+01 6.243601381315647103e+01 4.497438944982290465e+00 9.776792179998270882e+00 6.876967754595133542e+00 2.697579912953259651e+01 8.636709729891594023e+00 1.798746269632659178e+01
0.000000000000000000e+00 -1.286479306510348397e+04 1.911793481150898089e+01 1.096265670497788278e+02 9.625848666029298784e+00 3.243552253913925654e+00 2.561525756611273152e+01 2.055849616139891012e+01 1.507421381767233726e+01 1.079000212454504926e+01
0.000000000000000000e+00 -1.281699876208615751e+04 1.985508287144206818e+01 1.614701947326070410e+02 7.810907058531483926e+00 5.887058192875667118e-01 1.373689638357419085e+01 2.100037328409426252e+01 2.429671910738372631e+01 1.220783778592382518e+01
0.000000000000000000e+00 -1.277917703519701899e+04 1.562801983547458207e+01 1.754327823007788822e+02 -6.327184502793709697e+00 8.159035629304430159e+00 1.787788308118275538e+01 1.788395751584250348e+01 9.295917755780056524e+00 2.483035657263359752e+01
0.000000000000000000e+00 -1.270194508471804511e+04 1.143344340650890878e+01 1.577129438918026949e+02 -7.103131924148398113e+00 5.980209142892210394e+00 1.169963420605695248e+01 1.818216100632261600e+01 2.181809863167277541e+00 1.700262506099961612e+01
0.000000000000000000e+00 -1.266607674801645408e+04 1.795106916514090045e+01 1.599977425077812541e+02 -4.135272546052268794e+00 9.472158178522832372e+00 1.417678801942218314e+01 2.742368553967389033e+01 8.329790045422264200e+00 2.208424227716242427e+01
0.000000000000000000e+00 -1.262572486828249021e+04 1.835557696786868931e+01 9.983832557091672300e+01 -1.090093999098778355e+00 9.812428154405221647e+00 1.736537671408286698e+01 1.746537296960459074e+01 1.756546138325022000e+01 1.766563159339435529e+01
0.000000000000000000e+00 -1.241486647974511652e+04 1.797727910299171583e+01 1.070887436442073977e+02 -7.692240686054527821e+00 -8.388909187539635326e+00 1.433017902116540654e+01 1.899717400238769827e+01 2.349027024405425124e+01 2.704336550014797780e+01
0.000000000000000000e+00 -1.240806570332626325e+04 1.173056425890740506e+01 1.010668042055302465e+02 4.707399913607915209e+00 -8.554168409959233443e+00 1.699452674368124505e+01 1.752794386114992164e+01 1.803587010904322341e+01 1.851607215391959826e+01
0.000000000000000000e+00 -1.235862468083680869e+04 1.206486348765633210e+01 1.148007152297694518e+02 -1.434682789544844184e+00 7.458153051998127836e+00 5.673555125117000664e+00 4.686521226412494912e+00 8.282118042565052463e+00 1.422714849155622296e+01
0.000000000000000000e+00 -1.234121600780694826e+04 1.900425554583581089e+01 6.897316574757105911e+01 9.209530105767708363e+00 -4.323536717315013433e+00 8.908151708476658825e+00 2.899234241083197361e+01 1.010813535362617444e+01 2.593203154508203312e+01
0.000000000000000000e+00 -1.232239845539981980e+04 1.939864284894531465e+01 6.698223941207530174e+01 -3.412535728560611048e+00 -9.523682399387183750e+00 2.238507522939932315e+01 1.684420094128636336e+01 2.151605873767786647e+01 1.772242702019084248e+01
0.000000000000000000e+00 -1.229357564761763751e+04 1.169830400255630209e+01 1.842872186761850344e+02 -1.265219933967644650e+00 7.850153600232875561e+00 1.084071897941042373e+01 1.461753019117380958e+01 6.925638678046901475e+00 1.798401736515840099e+01
0.000000000000000000e+00 -1.225796566718021859e+04 1.795379945770674013e+01 1.201483261175964117e+02 -8.154896788041575917e+00 -4.662791616249791105e+00 1.797516821937197662e+01 2.612982532006049041e+01 2.601674838979777604e+01 1.775028271077689368e+01
