weight logl A lam0 gamma C W
0.000000000000000000e+00 -2.420374896829588124e+03 6.762330307546217227e+02 1.217706345815089207e+03 1.288631698278595472e+00 1.614773448051187756e+02 4.187788891195499907e+00
0.000000000000000000e+00 -2.392236029728657741e+03 4.367617322860523927e+02 1.216967539677140849e+03 2.785753615478051004e-01 2.688220153710546469e+02 1.624724566115579361e+00
0.000000000000000000e+00 -2.382405999063877971e+03 4.418580843832044707e+02 1.210402273917034563e+03 2.716738275788803669e-01 2.316819385056111855e+02 1.907175359604058817e+00
0.000000000000000000e+00 -2.372905032722480428e+03 5.997696047590127364e+02 1.217899461936524631e+03 5.711152823832017500e-01 2.962958928454686429e+02 2.024225172340876622e+00
0.000000000000000000e+00 -2.370700950119431582e+03 7.052832324225114462e+02 1.216019707914727405e+03 6.343079939961810965e-01 1.836214663301443579e+02 3.840962859725993273e+00
0.000000000000000000e+00 -2.369913386363864902e+03 5.445706058561133887e+02 1.216535474307766890e+03 2.721426441560660381e-01 1.890535623646840406e+02 2.880509624069592878e+00
0.000000000000000000e+00 -2.361906774531650171e+03 5.472140384925136232e+02 1.216961920419544413e+03 5.265712157007678140e-01 2.474990148649180242e+02 2.210974612529978955e+00
0.000000000000000000e+00 -2.342012996624440802e+03 6.906170840284437418e+02 1.214916989750965058e+03 4.752762057857523592e-01 2.557766600294773127e+02 2.700078591802913763e+00
0.000000000000000000e+00 -2.319536699624866287e+03 4.705585222286185854e+02 1.216986347612355075e+03 1.548450339580979551e-01 1.626850166617968227e+02 2.892451510804187276e+00
0.000000000000000000e+00 -2.304283163585323564e+03 4.206580102792863158e+02 1.216965508701064891e+03 1.208131727027248609e-01 1.525136309033658790e+02 2.758166649024436090e+00
0.000000000000000000e+00 -2.290919696366437620e+03 3.227181657505942667e+02 1.218511706199572473e+03 1.929211809221793306e-01 2.935875489254869990e+02 1.099222930031343637e+00
0.000000000000000000e+00 -2.204496452848499302e+03 3.159619037061123095e+02 1.211167125521488515e+03 2.165535359244633307e-01 2.217329385268803321e+02 1.424966023565365614e+00
0.000000000000000000e+00 -2.167017548640243149e+03 7.213161279548943412e+02 1.217434452149561366e+03 9.432242673313311343e-01 2.308175449912310739e+02 3.125048955798822359e+00
0.000000000000000000e+00 -2.162270110958466375e+03 1.481639426080362227e+02 1.213874718785161576e+03 1.563638792601174110e-01 1.053583413177470902e+02 1.406285831334350478e+00
0.000000000000000000e+00 -2.148778353131465337e+03 6.869674280292359754e+02 1.215622840365859020e+03 1.317674833803803569e+00 1.387224210100102937e+02 4.952100915104876933e+00
0.000000000000000000e+00 -2.133385463675077972e+03 1.763896382994803389e+02 1.218939093766975930e+03 2.483383329700023234e-01 1.703126648910311474e+02 1.035681277210578122e+00
0.000000000000000000e+00 -2.128889127860844837e+03 3.742981518903639540e+02 1.216647135356870422e+03 2.246602076319700880e-01 2.232408274629171956e+02 1.676656354234930868e+00
0.000000000000000000e+00 -2.126957400696308468e+03 5.693044542224804445e+02 1.216164589329634509e+03 3.346316870622888517e-01 1.718573231039059124e+02 3.312657522765414697e+00
0.000000000000000000e+00 -2.120109692363848808e+03 5.563463471267518798e+02 1.217570627363275889e+03 6.343196078287469675e-01 2.593687779261272226e+02 2.145001227885682926e+00
0.000000000000000000e+00 -2.005009082540239433e+03 5.658008134533948805e+02 1.213533855518254086e+03 1.097944703338008671e-01 2.585881201366149185e+02 2.188038697038658054e+00
0.000000000000000000e+00 -1.971274723481028104e+03 6.269199491641099939e+02 1.216309736051636946e+03 4.962939632747109808e-01 2.798910736932889449e+02 2.239871178782583350e+00
0.000000000000000000e+00 -1.965463880345773759e+03 7.158228877536641903e+02 1.215917901665095087e+03 1.652014483270548562e-01 1.265642226970488196e+02 5.655807561565781683e+00
0.000000000000000000e+00 -1.952096946064104941e+03 1.975906702881093793e+02 1.218062216066836299e+03 1.901326684595882888e-01 1.593662159708898116e+02 1.239852932971701627e+00
0.000000000000000000e+00 -1.912480467441976771e+03 3.779412417195384819e+02 1.210624230268523434e+03 6.693021235845356687e-01 1.621301328345733737e+02 2.331098082212540668e+00
0.000000000000000000e+00 -1.909041540509759670e+03 1.569088747114847990e+02 1.213459752763602182e+03 1.564246780677929216e-01 1.340795352816543584e+02 1.170267143168970181e+00
0.000000000000000000e+00 -1.884745856790161042e+03 3.576284856288723404e+02 1.214313987864969931e+03 2.419180912804111683e-01 1.995613936805764297e+02 1.792072499760662740e+00
0.000000000000000000e+00 -1.875742713314725734e+03 3.404644902923837435e+02 1.211708216618245615e+03 2.755611193471265707e-01 2.136778262287197663e+02 1.593354333022613645e+00
0.000000000000000000e+00 -1.779473483591901868e+03 5.233252958848454455e+02 1.216382875457179352e+03 7.004423706213319667e-01 1.838868383639778585e+02 2.845909476397638471e+00
0.000000000000000000e+00 -1.728887567233755817e+03 3.354933206854755099e+02 1.210671264858016912e+03 5.103214905576841653e-01 1.847547634587790526e+02 1.815884550983866808e+00
0.000000000000000000e+00 -1.522237325652812842e+03 7.526329082985270134e+02 1.218830903249686344e+03 1.021420279136748821e+00 2.338111816919582111e+02 3.218977393861798042e+00
0.000000000000000000e+00 -1.438349702299871751e+03 5.948888985037983730e+02 1.211782683451665207e+03 1.963101187740348363e+00 1.013662675767588013e+02 5.868706747570866966e+00
0.000000000000000000e+00 -1.373469426465384458e+03 6.056156993070021599e+02 1.212113736751263787e+03 1.944757665920632705e+00 1.049196306128330463e+02 5.772186727780257876e+00
0.000000000000000000e+00 -1.365797523498684768e+03 4.943447623885178928e+02 1.214730805531944270e+03 6.712340550688336016e-01 2.159749765197339002e+02 2.288898326808471939e+00
0.000000000000000000e+00 -1.345575388991295995e+03 3.648710382246076733e+02 1.215463938215113558e+03 5.962142879952453400e-01 1.466241165243244495e+02 2.488479022917602812e+00
0.000000000000000000e+00 -1.331797989363061106e+03 1.128666040837680953e+02 1.211942845601190811e+03 1.091836477973848196e-01 2.409834400438890611e+02 4.683583405698428237e-01
0.000000000000000000e+00 -1.274298953721079442e+03 3.380284998044767804e+02 1.215844983862229810e+03 3.049801851534347241e-01 1.254632934668173476e+02 2.694242199961687678e+00
0.000000000000000000e+00 -1.249165276414718846e+03 1.878756679840454353e+02 1.213423089405650217e+03 1.233883020802782893e-01 2.793209316955797021e+02 6.726157858760235531e-01
0.000000000000000000e+00 -1.229703808317945004e+03 3.731482409599976222e+02 1.216200996040230393e+03 2.588573087290133579e-01 1.889087584562730058e+02 1.975282903817139779e+00
0.000000000000000000e+00 -1.213995895047237127e+03 1.793303818093761492e+02 1.219251829893198874e+03 1.112343686054171749e-01 2.487880738733270221e+02 7.208158293820950968e-01
0.000000000000000000e+00 -1.203166017738435130e+03 4.670190710435556412e+02 1.215889092596401497e+03 2.029256955337846724e-01 1.399758122544229479e+02 3.336426940639515948e+00
0.000000000000000000e+00 -1.160576027776498449e+03 2.321200260742826345e+02 1.219435722585920303e+03 3.344971932813305404e-01 1.898711080946025049e+02 1.222513674690463015e+00
0.000000000000000000e+00 -1.154951641294501542e+03 5.855452821709679938e+02 1.211092053623630818e+03 1.620275302068750367e+00 1.188556843866373214e+02 4.926523162882056717e+00
0.000000000000000000e+00 -1.142333283817926940e+03 2.319711665141700223e+02 1.213362046711416724e+03 3.123133359622113359e-01 2.319545784471633567e+02 1.000071514290072239e+00
0.000000000000000000e+00 -1.116682030032655121e+03 2.895991735234975977e+02 1.216294049231820054e+03 2.970591768752438577e-01 2.603045837147709562e+02 1.112539661771097421e+00
0.000000000000000000e+00 -1.114744523933121400e+03 2.536014386811694123e+02 1.212794067258772657e+03 2.617083853716218322e-01 2.452637782116386802e+02 1.033994667008416357e+00
0.000000000000000000e+00 -1.098585506154769519e+03 3.298506800396070275e+02 1.214401781418852124e+03 3.719207201557166442e-01 2.291145003570347001e+02 1.439676142389908486e+00
0.000000000000000000e+00 -1.098272736230982218e+03 6.453245582686433863e+02 1.217175680171741533e+03 1.002359681713477224e+00 2.015170605012904730e+02 3.202332133385355828e+00
0.000000000000000000e+00 -1.091905105247856000e+03 1.113296273665005884e+02 1.218471016059165777e+03 1.165080615972484274e-01 1.917287781602408927e+02 5.806620604104344441e-01
0.000000000000000000e+00 -1.081548288819533354e+03 1.788457217257857508e+02 1.215534209507912237e+03 2.908254621117058458e-01 1.012523807005899954e+02 1.766335966505759636e+00
0.000000000000000000e+00 -1.047290809765517452e+03 7.496777288093367133e+02 1.215470973901343996e+03 9.914336378133856709e-01 2.208885641881566357e+02 3.393918248165841867e+00
0.000000000000000000e+00 -1.014022303872752218e+03 6.353405010559048378e+02 1.215410940725092814e+03 7.964768981615286680e-01 2.329795701068347853e+02 2.727022376960194450e+00
