A w B x0 f sigma_v
4.678999049404109911e+01 4.556494921672078036e+00 6.293962250934092140e+01 6.041585247964071925e-01 2.131983540711830827e+01 4.556494921672077680e+01
5.357101973572015652e+01 4.879876887953038533e+00 6.090599002655441296e+01 6.650594250172083832e-01 2.614199810724168671e+01 4.879876887953038533e+01
5.346987852914523387e+01 5.548154153222331963e+00 6.095726945782728734e+01 5.243236222192741991e-01 2.966591286337706990e+01 5.548154153222331786e+01
5.145816763331315968e+01 5.015957597199854234e+00 6.026649042225389508e+01 1.012265225234754595e+00 2.581119868783007831e+01 5.015957597199854234e+01
5.649615462532845100e+01 4.762384923047436658e+00 5.960086348387388711e+01 3.273474536084108877e-02 2.690564349978209435e+01 4.762384923047436303e+01
6.318256328883252593e+01 4.338438625665585135e+00 5.941839717958501410e+01 5.630421963912617400e-01 2.741136730408314293e+01 4.338438625665585135e+01
5.691206192901019278e+01 4.751248303464866041e+00 5.856029529778597009e+01 5.470623067292645914e-01 2.704033376868970961e+01 4.751248303464866041e+01
4.776949886811744506e+01 5.219247873858160247e+00 6.088101910881373868e+01 2.558008515772076663e-01 2.493208554026917767e+01 5.219247873858159892e+01
4.762843723185348210e+01 4.996084590789834579e+00 6.159355191050018874e+01 8.421221648667476245e-02 2.379557013374640206e+01 4.996084590789834579e+01
5.805349441865188709e+01 5.050425546644287778e+00 5.990561028720765790e+01 4.942285714370875382e-01 2.931948512839310794e+01 5.050425546644287778e+01
5.921188624392678435e+01 4.109397016698260963e+00 6.104165294470635672e+01 1.597374934226820642e-01 2.433251486838695143e+01 4.109397016698260785e+01
4.817984085700251029e+01 5.282224697580764960e+00 5.879362105107129821e+01 3.145456884703463629e-01 2.544967453003694757e+01 5.282224697580765138e+01
5.499436344647159558e+01 5.096451779767549262e+00 5.990120489844140650e+01 6.117066464119140790e-01 2.802761214639536291e+01 5.096451779767549084e+01
5.561554301927480282e+01 4.980923332130698711e+00 5.985045994138454972e+01 -4.417932782855231721e-01 2.770167558538244634e+01 4.980923332130699066e+01
5.784643225372222730e+01 4.768413063462356050e+00 5.972039445133818703e+01 6.335657838854942270e-01 2.758356832333392461e+01 4.768413063462355694e+01
5.163273208287392180e+01 4.438598577372749432e+00 6.218014160329639139e+01 1.906903013632472721e-01 2.291769711689125089e+01 4.438598577372749787e+01
4.725755475765660663e+01 5.165889520949113134e+00 5.938848003849048496e+01 3.127135168458252679e-01 2.441273069082571823e+01 5.165889520949113489e+01
5.482335469676333872e+01 4.750874043256544610e+00 6.115615753044989589e+01 7.423345947615693774e-01 2.604588527930997088e+01 4.750874043256544610e+01
5.065887540528337496e+01 5.063546739648887574e+00 5.931050178651580040e+01 2.586974082381381379e-01 2.565135833927018183e+01 5.063546739648887751e+01
5.964052592331453440e+01 5.007800243687282382e+00 5.764725263161957969e+01 1.090313857292699140e+00 2.986678402524121978e+01 5.007800243687282205e+01
5.016402217892679261e+01 5.169140487784190441e+00 6.032360756336044005e+01 3.881303360436909600e-01 2.593048780751946225e+01 5.169140487784190441e+01
5.405594614001886100e+01 5.111833730988398550e+00 5.815419171571526391e+01 7.694454932868737274e-01 2.763250088390405423e+01 5.111833730988398372e+01
5.495777128728467176e+01 4.005554234352354470e+00 6.371964851796946050e+01 1.022676334863181324e+00 2.201363334903513902e+01 4.005554234352354115e+01
6.585722430224704738e+01 4.868518075976579595e+00 5.861790097905304009e+01 3.805997326401815428e-01 3.206270869491338260e+01 4.868518075976579951e+01
4.844500939941895012e+01 5.727812241274047977e+00 5.945920102023102061e+01 8.285950407544007135e-01 2.774839178666281825e+01 5.727812241274047977e+01
5.113954354607975716e+01 5.419580923552795859e+00 5.944119131452748661e+01 7.764765432473907936e-02 2.771548946415313708e+01 5.419580923552796037e+01
5.112483626946353610e+01 5.306581484087784517e+00 5.879949987309301207e+01 6.874685978912644657e-01 2.712981095245548246e+01 5.306581484087784872e+01
5.960731601459430351e+01 4.409506855656362134e+00 5.811632783460186857e+01 7.352674658011810749e-01 2.628388686136288399e+01 4.409506855656361779e+01
5.762411680151058135e+01 4.896692550756482021e+00 5.639546149148993948e+01 1.901746549863840841e-01 2.821675834858783105e+01 4.896692550756482376e+01
4.817984085700251029e+01 5.282224697580764960e+00 5.879362105107129821e+01 3.145456884703463629e-01 2.544967453003694757e+01 5.282224697580765138e+01
5.207966302057036501e+01 5.302487543368152423e+00 5.987412732230775703e+01 6.980240784672453458e-01 2.761517644293853735e+01 5.302487543368152245e+01
5.634581921266902071e+01 4.015893941285131774e+00 6.066917708416844590e+01 9.529989728572125784e-01 2.262788339929048931e+01 4.015893941285131774e+01
4.980896504694798210e+01 5.463503538839835194e+00 5.745489203409861290e+01 2.101352380084353655e-01 2.721314567999499445e+01 5.463503538839835016e+01
5.920678087684561319e+01 5.734936904382912815e+00 5.893417543736342168e+01 1.820012889429296621e-01 3.395471526403344598e+01 5.734936904382912815e+01
4.948269253113473809e+01 4.965024764937460588e+00 5.960739375152602548e+01 -8.648641536104939576e-02 2.456827938528698851e+01 4.965024764937460588e+01
4.896949881301340923e+01 5.086314804418689661e+00 6.192865878609358532e+01 1.309171736590798218e+00 2.490742867775935565e+01 5.086314804418690017e+01
4.643851313521081181e+01 5.428315301703953821e+00 6.112213372454310445e+01 9.409575877685245615e-01 2.520828914402449072e+01 5.428315301703953821e+01
5.304532663672880943e+01 4.608956891254582189e+00 5.919421244406327531e+01 1.544561478138035682e-01 2.444836237512014776e+01 4.608956891254582189e+01
5.142939936955907143e+01 4.162614985701532433e+00 6.303011157918403740e+01 5.760221022608558172e-01 2.140807885213555295e+01 4.162614985701532078e+01
