weight logl C sigma mu1 mu2 a1 a2 W lam0
1.000000000000000000e+00 -9.999999999999999673e+98 2.422636555653054131e+02 1.570954706118444566e+00 1.212521139231298321e+03 1.211309103762191626e+03 2.579496307723362634e+02 3.859566783816449629e+02 2.657874156366833773e+00 1.211794646607935420e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.900220000188288907e+02 2.599343186374062142e+00 1.214297713347719309e+03 1.219508299693181016e+03 2.555476951547460374e+02 1.167451163627256818e+02 1.959208994119533420e+00 1.215931670519063800e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.399232833922533246e+02 1.190471317908760263e+00 1.210817705044257764e+03 1.211513077622165383e+03 2.078510391033624671e+02 2.342069541992831319e+02 1.842497264343952557e+00 1.211186120718157554e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.845268314593976697e+02 1.014112037226075014e+00 1.212587921464245255e+03 1.219248455162883374e+03 2.640075923310595272e+02 1.127132114194917136e+02 1.324025582467113438e+00 1.214580723920247465e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.144483747489074403e+02 2.102362843119083280e-01 1.219085627550922027e+03 1.214045220708612078e+03 2.687872320842103591e+02 2.987300148990423168e+02 4.958718271258547361e+00 1.216432455653319948e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.722021659859233296e+02 2.169338351464324965e+00 1.218906903122655422e+03 1.213375916603876703e+03 3.909710501918470982e+01 6.794548560556651751e+01 6.216100129280686115e-01 1.215396099033340306e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.696167975132145500e+02 1.789323943575322096e+00 1.218832044658302493e+03 1.217013833803408488e+03 3.280085000970669284e+02 1.247753775236611204e+02 2.669451871861054482e+00 1.218330993368603004e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.529105078995842746e+02 2.850919116366246731e-01 1.216981175585643541e+03 1.216033226278628717e+03 3.857294869676758822e+02 3.617302245130278493e+02 4.888216786066511332e+00 1.216522419199999376e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.835445685679738119e+02 1.419676573154247112e+00 1.216928768064044107e+03 1.214202261035024776e+03 2.089312823396457759e+02 3.221636651422134605e+02 2.893547608766062318e+00 1.215274861353634606e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.711424395080568388e+02 1.619207997061553383e+00 1.210704198613791732e+03 1.213244035512199389e+03 2.779950578439077731e+02 2.657055594834177441e+02 3.176889489773399244e+00 1.211945412551354138e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.968742699187323524e+02 3.440128176482494249e-01 1.210988202617086472e+03 1.214542371929953333e+03 7.695279437283231516e+01 1.828986018829547220e+02 8.752910662379730367e-01 1.213489834732769850e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.263663350817714388e+02 2.063933053998149081e+00 1.212178493128996479e+03 1.213228079182322745e+03 1.474366266145123063e+02 1.422585438572056091e+02 2.292502748332905682e+00 1.212693905875974224e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.419697921476498550e+02 1.174231813307511141e+00 1.219764284161311252e+03 1.213340271870046308e+03 3.598046369174410586e+01 1.124861071420526493e+01 1.951858287216703958e-01 1.218234268712213179e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.983259894239365622e+02 1.043607103699720540e+00 1.216652556460758433e+03 1.216378431677256913e+03 3.247364565266529439e+02 2.182824677273185188e+01 1.161697993421882291e+00 1.216635290814938571e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.295143774723270553e+02 1.110566231304471296e+00 1.218685196482446372e+03 1.214479451437700845e+03 5.965456889765454918e+01 2.358590232720992219e+02 2.281704919076612104e+00 1.215328454374234298e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.888846931489630379e+02 1.332897631809826788e-01 1.213266492804388463e+03 1.217891905775694795e+03 3.541845582326890280e+02 1.045219162516577853e+02 2.428499985028379715e+00 1.214320450082318075e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.498989392268113363e+02 1.355301715025649667e+00 1.214841343988055542e+03 1.216812997033086276e+03 3.012191226633765382e+02 1.978899813427255197e+02 3.329637331528427335e+00 1.215623077643410170e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.121866648095797672e+02 4.068645484505438725e-01 1.218344435731780550e+03 1.210082076176553983e+03 1.824141767837359396e+02 1.576804174181906717e+02 3.031506416374769586e+00 1.214513700619437714e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.624976246044470543e+02 3.235864303215670867e-01 1.212709848274033448e+03 1.213285916907728733e+03 1.097620336421752256e+02 1.694918993176392235e+02 1.718510862171533260e+00 1.213059490500473885e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.858663144865701042e+02 2.810179963147591664e+00 1.219355452786864134e+03 1.212188935936924281e+03 2.508829485450505103e+02 5.319754182472529180e+01 1.636017215974588934e+00 1.218101702244043281e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.913274253276111949e+02 2.623670916803749531e+00 1.218045434042293664e+03 1.219609994106960585e+03 2.872993215636772675e+02 2.769613900328262730e+02 1.936860942501263949e+00 1.218813381768219870e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.606336125855167438e+02 2.185625443722921890e+00 1.217282537846351261e+03 1.214668774049511967e+03 1.231531108758696575e+02 1.722131331552443356e+01 5.385891052150294511e-01 1.216961877971609510e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.445372693693897759e+02 2.721042852374190080e+00 1.213502271301829296e+03 1.218497294936192475e+03 7.643048043744057907e+01 1.504139234452828475e+02 1.569452673849702107e+00 1.216814326127457434e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.345251076775371359e+02 2.151337388172956278e+00 1.212088117631447858e+03 1.217368432269961204e+03 1.753471022500760057e+02 3.352131401015548136e+02 3.795278451480352366e+00 1.215554957984209523e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.985619242400985627e+02 3.656324247866097332e-01 1.212442978202242330e+03 1.217400372518259474e+03 1.813641640564581792e+02 8.234555113213187383e+01 1.328098104396468360e+00 1.213990965794735075e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.541884888415385717e+02 1.707343993867930676e+00 1.215969423341970924e+03 1.215323054031586935e+03 3.106810847447867445e+02 5.631803412912233142e+01 2.380197909917118881e+00 1.215870234414777087e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.827299393479642049e+02 6.723770180774406580e-01 1.210427306695895368e+03 1.216497321586259204e+03 8.276927949194944745e+01 8.900457244549553337e+00 3.242307374588946911e-01 1.211016660499329419e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.091639134747064475e+02 2.060443867823743780e+00 1.219516111049555775e+03 1.218607581131232564e+03 1.252092893531755919e+02 2.983107115426996643e+02 3.879670372883854856e+00 1.218876178565093596e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.669011337752449151e+02 2.255674429885836219e+00 1.211083985038292894e+03 1.214056561597816653e+03 2.488013768745216225e+01 3.078654543751118808e+02 1.993668853745782288e+00 1.213834295350414322e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.776853041497042227e+02 1.656875930496177096e+00 1.214994955786627315e+03 1.211259671130957713e+03 6.870703176551229419e+00 2.899999471792654049e+02 1.069090246834846214e+00 1.211346119663738818e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.002755768038925197e+02 2.886768544604453535e+00 1.210806047010710699e+03 1.213789174174726440e+03 5.173040108320936525e+00 3.453540647964268260e+02 3.495637881896890065e+00 1.213745149515144476e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.826715895172902719e+02 8.432452175466800259e-01 1.217241718624110945e+03 1.216172734148818790e+03 7.458339543899619173e+01 2.260508510243030571e+02 1.063546028720761205e+00 1.216437935112371179e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.213539593991759773e+02 1.544795981932740314e-01 1.210690229322731511e+03 1.215229523736161127e+03 6.123934542050282204e+01 3.619944885456166048e+02 1.912022875556004253e+00 1.214572715616771347e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.416541086572679546e+02 1.238304834301129143e+00 1.216331404372115912e+03 1.215638614145697375e+03 2.117631776414874878e+02 3.046045900304628162e+02 2.136805248382108058e+00 1.215922728432006807e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.206554695249231202e+02 1.391471180544489927e+00 1.213317462618019817e+03 1.210247328263806367e+03 1.621481911501202831e+02 7.022211967234564156e+01 1.925899519826297590e+00 1.212389670503490834e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.881417637684980377e+02 2.808766119836209718e+00 1.215529620421874370e+03 1.218555396624960849e+03 1.145555069984435050e+02 3.348596909916938102e+02 2.388705139083989959e+00 1.217784129145448787e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.031499267682459617e+02 9.602428351348345492e-01 1.217525651526899082e+03 1.214597463404312748e+03 1.791801820977204329e+02 1.891007927558705433e+02 1.812853101708114423e+00 1.216022118265265135e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.964229522267763741e+02 2.440112960567783762e-01 1.212293474676029746e+03 1.215230515579191206e+03 3.995959331929551581e+02 3.392401034932525477e+02 3.761454699210501129e+00 1.213642031068082815e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.592171674285517611e+02 2.168258024241902060e+00 1.219713212054983160e+03 1.216770008165422496e+03 1.342260374202544071e+01 2.753115755658497505e+02 1.113869818778338461e+00 1.216906831106289019e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.365742513395747721e+02 1.941577733600165390e+00 1.211843208976818914e+03 1.217085798486305748e+03 1.598302686244113886e+02 5.763317700979207103e+01 9.192185726165947868e-01 1.213232624509663083e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.126372872710267359e+02 2.049319488655950039e+00 1.215077194114530130e+03 1.216081820462908581e+03 6.301119910570922400e+01 1.385233038537422203e+02 1.789234345412821447e+00 1.215767716873027211e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.299831256964937438e+02 1.982239589836680027e+00 1.213821466287671910e+03 1.211002629352462009e+03 1.256316282775527924e+02 1.217803610442942386e+01 1.060211959387429737e+00 1.213572369839150724e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.060118153582002378e+02 2.739185604693569864e+00 1.217984051851646200e+03 1.216927877712158534e+03 1.852164144537823631e+02 2.695690036683651556e+02 2.207569586877313750e+00 1.217358016365157482e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.013837331155591102e+02 2.987011014695275524e-01 1.218097153083749618e+03 1.215767032716062431e+03 1.896939497514140385e+02 1.795215403973751620e+02 3.641762626041303186e+00 1.216964191957037656e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.829041892283170796e+02 2.113850163063888399e+00 1.216304257987404526e+03 1.210650420131304600e+03 1.750821512849753105e+02 3.402084107579532883e+02 1.821431359671612071e+00 1.212571445214585538e+03
