C sigma mu1 mu2 mu3 a1 a2 a3 W lam0
2.643927293162073511e+02 2.082474739878292791e+00 1.218716114138677767e+03 1.212598081005589393e+03 1.214894798619668563e+03 6.350473789515347534e+01 5.024430296169724031e+00 4.497829424575083834e+01 4.293138571950737004e-01 1.216931069521377367e+03
2.986974526233486813e+02 1.658852508615310084e+00 1.216998217687219949e+03 1.215136276080292873e+03 1.217112416343098175e+03 2.822138706729502928e+02 1.304651143808399638e+02 3.981439106581781289e+02 2.714528994441741450e+00 1.216754698508963884e+03
2.950919620597667858e+02 5.245940981717207574e-01 1.216698009539693203e+03 1.212369791273053806e+03 1.210854341171286706e+03 5.584153318732472115e+01 2.791927939538500141e+02 1.710253698590103397e+02 1.714921997426991140e+00 1.212335237898653986e+03
1.838791516126206034e+02 3.952795866175740080e-01 1.216563482747963690e+03 1.213268429873137620e+03 1.217763633121560360e+03 3.378219175045456382e+02 3.520967196411909867e+02 3.752713079760276287e+02 5.792880464044160682e+00 1.215897127126552277e+03
1.624082596832272429e+02 1.765016465085928354e+00 1.216761954774877040e+03 1.217863970378567274e+03 1.210043831898364942e+03 2.447715926334633139e+02 4.773125032748066587e+01 1.303971238429591892e+02 2.603931398740173542e+00 1.214814867088161463e+03
1.593594486945518156e+02 2.595196546659195302e+00 1.211688429478870830e+03 1.213580275153118009e+03 1.213602918675802130e+03 2.727343221317603366e+02 2.909475338410452423e+02 3.716756169979374818e+02 5.869482359741127198e+00 1.213037642825963758e+03
1.344336314823730163e+02 2.747051600466426269e+00 1.212587000548394371e+03 1.212451710664939128e+03 1.215271607176396174e+03 3.853949879437700474e+02 2.884070550800029764e+02 1.894370251801482539e+02 6.421302903783487892e+00 1.213130934846334640e+03
1.498944219303695888e+02 2.995966435618915291e+00 1.215993008322436935e+03 1.217761561123350020e+03 1.213651219265840155e+03 1.012012824551709116e+02 1.342373263282122196e+02 2.236944172934572634e+02 3.063042774801328694e+00 1.215369138283240773e+03
2.231369122186285665e+02 2.392125689183835391e+00 1.213161854585744777e+03 1.212365027027196447e+03 1.218270361155085538e+03 3.485874952162121758e+02 1.504819282680447827e+02 2.659313294500030338e+02 3.428391767762366094e+00 1.214780942921580390e+03
2.944254032386564859e+02 4.160150388764395357e-01 1.211614813941032480e+03 1.214963737039294756e+03 1.210947536355710099e+03 1.437919918146777718e+02 1.280697087989068450e+02 3.499798574166289313e+02 2.112051308039336384e+00 1.211928980611453881e+03
2.496867124919608329e+02 1.735578959236297736e-01 1.213895860188809820e+03 1.212422843973629824e+03 1.213921674454937147e+03 1.322989576459092120e+02 2.962367658288884513e+02 8.288126970108055502e+01 2.048234718106372476e+00 1.213046803457728174e+03
2.748545463912275295e+02 2.083846951183069507e+00 1.215891174374928141e+03 1.219492896737932142e+03 1.214619075721967647e+03 2.465504946666798105e+02 4.520761003951170665e+01 3.159089835002748714e+02 2.210867879702138605e+00 1.215497797578733753e+03
2.520338605493049045e+02 2.993166402011641747e+00 1.219092384778282167e+03 1.219520692063359320e+03 1.214238231582672370e+03 3.567798983041562906e+02 2.995341703620891849e+02 2.377665288624505422e+02 3.547462216307196048e+00 1.217944991029411312e+03
1.769045627930848923e+02 2.549717850332375857e+00 1.214453380598408785e+03 1.214749737647709253e+03 1.216819284000877587e+03 3.528477000055721646e+02 3.639392773866847506e+02 1.071293273110872377e+02 4.657405618570910733e+00 1.214891912532172000e+03
1.448148614462603234e+02 2.676041346948195621e+00 1.212113827050176496e+03 1.212235986720410892e+03 1.210290338653688650e+03 8.617632528430982575e+01 2.945547243445337244e+02 1.841126318282814509e+02 3.900453833370784107e+00 1.211583158920862388e+03
1.115708913618161944e+02 1.058382705356007536e+00 1.211702531533704132e+03 1.216784650597200198e+03 1.219918933264495536e+03 1.498859487058968512e+02 3.796833714481458628e+02 1.886630010707968097e+00 4.763392527189536096e+00 1.215362472512088743e+03
2.748079643286561122e+02 2.055792690976013137e+00 1.218205590585077516e+03 1.218036993251445438e+03 1.217923296320154350e+03 2.292675975098655101e+02 2.663167833475599267e+00 1.380033883852979670e+02 1.346155140126204630e+00 1.218099067389855691e+03
1.402054146653541977e+02 7.672288612592967905e-01 1.217131572277743317e+03 1.210851693167267058e+03 1.215034317644194516e+03 2.180198303956122459e+02 3.805768639879146065e+01 3.972237692986682873e+02 4.659600969423241423e+00 1.215490557506537698e+03
1.143137505468362605e+02 1.997438520078620439e+00 1.211392484561969013e+03 1.212729896863508657e+03 1.211951214299275762e+03 1.207733806996083388e+02 2.916525388179354081e+02 5.899452181057824873e+01 4.123917193452358632e+00 1.212289818766808366e+03
2.853065105255752769e+02 4.575543785581813738e-01 1.216149792457647209e+03 1.215110671848025959e+03 1.211054653781131719e+03 2.541401861459173404e+02 1.807385232168368105e+01 2.566042648457429891e+02 1.853509414626344443e+00 1.213641907956472551e+03
1.439696473518369544e+02 1.467943239701076763e+00 1.212259389293326876e+03 1.216011438527688824e+03 1.214744067895342823e+03 1.734957779214302889e+02 3.846463762936718354e+02 1.341128638769896781e+02 4.808340027397163929e+00 1.214825552713419029e+03
2.227980274317746421e+02 1.476169360223147153e+00 1.211428476685422993e+03 1.216461851134880817e+03 1.212697106453029846e+03 1.118913644664716287e+02 5.853493646506726833e+01 1.856156438531805577e+02 1.598048011864678042e+00 1.212917362454345721e+03
2.870112342483378711e+02 1.940151871845127829e+00 1.216547438448493040e+03 1.212038409571315242e+03 1.216877506843050696e+03 3.464241595016444535e+02 2.410220112826197578e+02 5.924765111282592756e+00 2.067413623893654684e+00 1.214719206619842453e+03
1.411701379670286656e+02 2.108742760130298544e-01 1.217273543606619569e+03 1.212216869403754117e+03 1.210932690463119798e+03 3.468862438436222533e+02 1.666274518324377709e+02 2.520982146367882706e+02 5.423327633863067376e+00 1.214085115551832359e+03
2.447485129925560159e+02 1.539212132403109390e+00 1.210952798559017538e+03 1.213394908468882022e+03 1.215776526840992801e+03 3.168047790333221769e+02 1.606713672921252964e+02 2.269825862454823948e+02 2.878296272191675609e+00 1.213064035726390102e+03
2.790009275178075541e+02 2.702582726507623878e+00 1.214722437306437087e+03 1.213916758255775449e+03 1.219757149350440386e+03 2.037167151634755271e+02 1.445693178508884458e+01 2.192695044231958548e+02 1.567891387543290271e+00 1.217219473011078207e+03
2.925795927300625863e+02 1.259218826698334848e+00 1.213241205751841790e+03 1.219571686251072151e+03 1.218992591149031341e+03 1.077248384159943839e+02 1.981302081549306706e+02 3.394503607687225895e+02 2.205572170356440598e+00 1.218210278117512189e+03
2.330850775591958666e+02 2.006199438622123576e+00 1.217783115612824759e+03 1.215245153005777183e+03 1.218719303478871097e+03 3.632702756474274679e+02 2.283056159347837308e+02 1.790816378444404222e+01 2.614856608363812729e+00 1.216859931969825766e+03
1.158974030692399282e+02 2.789515482195059182e+00 1.212416069397399497e+03 1.216493607176686282e+03 1.210215768873757497e+03 3.980646560329224712e+02 1.816019040995799116e+02 1.073313405133276000e+01 5.094158096287247695e+00 1.213630284972619165e+03
2.686593449266914604e+02 1.129066571598809521e+00 1.214539102653901637e+03 1.216539956203197789e+03 1.210838283323607811e+03 5.190230642434028141e+01 1.522866226489969961e+02 2.646192403885004296e+02 1.744991113522443849e+00 1.213100124379836416e+03
1.439072375429406350e+02 1.095489163886237405e+00 1.218657967758021641e+03 1.215382713154350313e+03 1.216671860409728879e+03 4.756620156233455532e+01 2.335651961618028736e+02 3.838897436255668367e+02 4.621179258974156490e+00 1.216361150965648221e+03
1.594883377995816431e+02 9.457673476605052976e-01 1.210714939015591426e+03 1.218345778525415426e+03 1.213239228090525103e+03 2.715875751605534560e+02 2.060462324342229863e+02 2.901842577093918294e+02 4.814258370847365853e+00 1.213716710902594286e+03
2.936301453905427934e+02 1.448967306133129407e+00 1.212731884106688995e+03 1.215344929286566639e+03 1.214360130119089263e+03 1.841117166001440637e+02 4.460050221555080441e+01 1.214938069855137286e+02 1.192677357208733024e+00 1.213629541231150824e+03
2.071669076265014553e+02 2.422630489648129881e+00 1.210681218209317194e+03 1.216645162710682143e+03 1.217100212891517458e+03 2.623642839262587927e+02 1.526656312922387144e+02 1.840225380910872275e+02 2.891641624489605711e+00 1.214172947579839274e+03
2.125246582495827852e+02 2.684858722515603979e+00 1.217488747003957315e+03 1.213367892851198576e+03 1.211053693185944439e+03 3.883070629099896678e+02 8.715451336092398549e+01 3.014277197084671798e+02 3.655525445273388740e+00 1.214529696533346851e+03
1.761914623056388791e+02 1.799979077200525523e+00 1.218760340701087671e+03 1.218750748898134816e+03 1.215151630391577555e+03 1.954959012198346500e+02 6.315981463948401142e+01 3.898205584497831637e+02 3.680520416955231244e+00 1.216590091240330139e+03
2.079532319867410592e+02 2.122975560189072741e+00 1.216208978846197624e+03 1.212605113048085286e+03 1.210069663917286789e+03 2.259811940932206937e+02 1.042367779039334437e+02 2.525524039946003256e+02 2.802410765267218551e+00 1.212903810666206027e+03
2.594581578695865574e+02 9.792447794135328287e-01 1.218486828780319001e+03 1.217007380963829746e+03 1.211816938090591975e+03 2.414484467400775003e+01 3.959255493004858408e+02 2.884350341468462489e+02 2.730711702953897202e+00 1.214944750994258129e+03
1.992934763495532309e+02 1.027463660923086941e+00 1.210164096092595173e+03 1.210614069612119238e+03 1.217525348994688102e+03 2.021763839641918992e+02 6.242267837199251090e+01 1.299121911108950940e+02 1.979549259079216750e+00 1.212659348224229234e+03
1.636963705243377944e+02 1.702301484205024584e+00 1.213544835270744898e+03 1.213101388536186732e+03 1.216171342818953008e+03 6.559380893834160986e+01 2.502221833548702534e+02 3.778669649706428686e+02 4.237619655475015179e+00 1.214815603445687657e+03
2.882069480452173593e+02 2.897918578816298218e+00 1.210050243752556071e+03 1.216676074873597372e+03 1.217137741989339020e+03 3.133192100038949661e+02 3.814835196394023455e+02 3.176190739216913244e+02 3.512829272270520775e+00 1.214770381136157084e+03
2.630909765007857573e+02 2.914817954922639842e+00 1.219044646097665918e+03 1.213269380888284331e+03 1.216268558942103937e+03 2.045994886368972345e+02 4.655438322868366186e+01 2.440786239676599223e+02 1.882362148713837557e+00 1.217133528691777201e+03
1.198700559620052388e+02 2.628870624626901353e+00 1.219153688946929606e+03 1.213051145740078027e+03 1.215578260025875579e+03 4.513912393601260220e+01 2.998201489382597629e+02 1.719595018111679252e+01 3.021231784276301457e+00 1.213931761468352988e+03
2.204137329062610320e+02 2.667903990918065293e+00 1.215876359374634148e+03 1.210310172018301500e+03 1.210857650614210797e+03 1.321758531589619849e+02 2.579030959786390440e+02 1.122464413625286426e+02 2.279011311485577451e+00 1.211897127608949859e+03
1.379675179706872541e+02 1.833524797208138990e+00 1.210938493467442640e+03 1.216109520932627674e+03 1.214673774038042666e+03 2.083948669838383694e+02 7.890667984509013877e+01 3.707630913310617302e+02 4.769707013935000184e+00 1.213663047676924634e+03
1.951781304885980433e+02 2.697997846367712338e+00 1.213216618144624817e+03 1.218640410204806585e+03 1.218917957264086454e+03 1.123186737463332179e+02 2.610897043841292771e+02 7.174995253701980857e+01 2.280779765402495496e+00 1.217316658402472058e+03
1.283815324325681217e+02 2.749374510852652165e+00 1.214924661442141087e+03 1.210948145845618001e+03 1.210312963778172161e+03 1.078757356550021456e+02 1.961619772836091897e+02 1.355028852661231440e+02 3.423705807808466339e+00 1.211728279794361015e+03
2.166226730357138308e+02 2.500803466384069473e+00 1.217857365883671719e+03 1.214742719921085381e+03 1.217699055964260424e+03 2.794818640562388623e+02 2.887566418165665141e+02 5.709915210767326954e+01 2.886759955535131539e+00 1.216404688183585222e+03
1.979769690585993658e+02 2.254865233451166961e+00 1.219785747866353631e+03 1.218338491114049475e+03 1.214331152130913779e+03 3.053106871318582876e+02 4.276637998266838991e+01 2.884277446553779782e+02 3.215044733721047709e+00 1.217216795286663682e+03
1.739564813870969715e+02 2.797753732141389449e+00 1.211187581310268342e+03 1.214934589799916466e+03 1.213902490963586843e+03 1.715404996114836820e+02 2.588883070306859508e+02 2.143806633272982083e+02 3.706728630217602571e+00 1.213594619185720376e+03
