A w B x0 k b f sigma_v
5.689100731339390649e+01 4.196440399765580587e+00 4.399762740988649057e+01 -3.577159316846429959e-01 5.348322277092798505e-01 1.503577411376764594e+01 2.387397214732853001e+01 4.196440399765580764e+01
5.326289507158914205e+01 4.706993991325086668e+00 5.712141926646998513e+01 -4.289742955718072182e-01 6.205367331555071697e-01 3.226319706329352499e+00 2.507081270625486624e+01 4.706993991325086313e+01
5.427060034973586511e+01 4.644497976998621880e+00 4.948962211738038519e+01 -6.134781624582945625e-01 7.116856772935062914e-01 1.047437530875988543e+01 2.520596935348489254e+01 4.644497976998621880e+01
5.480206146408715995e+01 4.619161268920619179e+00 5.020527309030670438e+01 -5.385045446756624443e-01 4.888656730568068376e-01 7.509207237531758672e+00 2.531395597719185986e+01 4.619161268920619534e+01
5.093880915046899105e+01 5.133087330569165552e+00 4.230033382042485357e+01 -3.386841607228348039e-01 4.594698944315582789e-01 1.591603737299929477e+01 2.614733558845530226e+01 5.133087330569165374e+01
5.307234305256886842e+01 5.555641156455094709e+00 4.066775847360452900e+01 -1.128655750505329181e+00 6.641698154852646585e-01 1.669359493948846662e+01 2.948508933323552128e+01 5.555641156455094887e+01
5.799858721451415278e+01 4.558590570813345622e+00 6.011964257427758440e+01 -5.505869522559017071e-01 6.450360583441048234e-01 4.592688723128246497e-01 2.643918127965796927e+01 4.558590570813345266e+01
4.622816247343661900e+01 4.823420760266671437e+00 5.989819141352376874e+01 -1.544776976971075300e+00 7.213530585453358235e-01 1.290648821807249824e-01 2.229778785833548937e+01 4.823420760266671437e+01
5.729312564501410066e+01 4.714394021126864232e+00 3.925347666615532916e+01 -3.842769929709071164e-01 5.424542352143015833e-01 1.908133255008398521e+01 2.701023689925246885e+01 4.714394021126864232e+01
5.465336153051878654e+01 4.174230332341492655e+00 4.497667423935791930e+01 -2.274860601118824377e-01 5.275716703142565578e-01 1.467200157090492674e+01 2.281357194651171838e+01 4.174230332341493011e+01
5.223948841773812291e+01 3.951597755037817628e+00 4.614449429428648131e+01 -3.738101862497007488e-01 7.407307108743843571e-01 1.746599955746225419e+01 2.064294451558580334e+01 3.951597755037817450e+01
4.526010941790013931e+01 5.228707285975598751e+00 5.514338973698331614e+01 -3.754889257508207123e-01 6.857052254230617816e-01 5.245734612383894380e+00 2.366518638774272887e+01 5.228707285975598751e+01
5.757998541040463181e+01 4.825622418390571156e+00 4.320404034981240926e+01 -1.276548100035075350e-01 4.811741751403169065e-01 1.746770723768051425e+01 2.778592684470506313e+01 4.825622418390571511e+01
5.380751302088530963e+01 4.276678048859228198e+00 4.602523997022053237e+01 -8.480337734457616961e-01 5.933946857560947752e-01 1.591271486785308831e+01 2.301174098001272839e+01 4.276678048859228198e+01
5.319372465010504669e+01 4.737979131039264935e+00 5.176289191823282465e+01 3.528524064649207759e-01 5.657357843648880280e-01 1.057377077662384579e+01 2.520307572944466301e+01 4.737979131039264757e+01
4.948581649063731902e+01 5.648785043161021591e+00 4.291382908704449051e+01 -9.578351817420358572e-01 6.593485030406009972e-01 1.589050024417031892e+01 2.795347400409231042e+01 5.648785043161021235e+01
5.240043972231526226e+01 4.396473780301257683e+00 4.283059273399822331e+01 -2.500159273591151532e-03 4.983689261360713108e-01 1.939235877701987931e+01 2.303771593154155539e+01 4.396473780301257506e+01
4.974555919245679547e+01 5.565234257780745430e+00 5.451004805884457483e+01 -6.324466580905205859e-01 5.989045302319440101e-01 2.157549217563055954e+00 2.768456901903204681e+01 5.565234257780745253e+01
4.972171957994223845e+01 4.625546668798799388e+00 5.403831930875773537e+01 -6.103529522318336120e-01 4.747447829283588661e-01 8.006127394203177872e+00 2.299901343699498568e+01 4.625546668798799033e+01
5.123959138353477982e+01 4.855868637707761337e+00 5.792040121846653022e+01 4.467302689950969352e-02 4.749278697255949755e-01 3.743570959704993761e+00 2.488127248082673759e+01 4.855868637707761337e+01
4.892660062136187094e+01 5.902322502343706034e+00 5.303824084499490965e+01 -7.969385952520209315e-01 6.554611355193245004e-01 6.043327247726059781e+00 2.887805758106477327e+01 5.902322502343706390e+01
5.064680314768870062e+01 5.587042015057182454e+00 4.476202019089018336e+01 -1.075575107337751746e+00 5.697451129527726366e-01 1.374421822890375111e+01 2.829658171144671286e+01 5.587042015057182454e+01
5.207700657362502028e+01 5.348604578657086606e+00 5.548985003259697635e+01 -1.880514982384244860e-01 5.686455884318888376e-01 1.882639441150242288e+00 2.785393158024459836e+01 5.348604578657086961e+01
5.973202152314315327e+01 4.660412792727839815e+00 4.695791466754550925e+01 -7.449372420807147677e-01 6.189988522719920283e-01 1.081554143816804370e+01 2.783758772419509953e+01 4.660412792727839815e+01
5.420903240097829467e+01 5.102963624718082514e+00 5.628827272094400058e+01 -2.854537078032794994e-01 5.459995824865275793e-01 2.496121728939981743e+00 2.766267204733561513e+01 5.102963624718082514e+01
5.629854517301446037e+01 4.441052680283680942e+00 5.354995392119755593e+01 -2.572014688277768357e-01 7.395279885131964548e-01 6.915133974106648651e+00 2.500248049366877723e+01 4.441052680283681298e+01
4.961931391098131883e+01 4.660498101813143279e+00 5.864610588467093777e+01 -4.958040166102257729e-01 6.305910658991158435e-01 2.211792223523763923e+00 2.312507182953989471e+01 4.660498101813143279e+01
4.804843034993926665e+01 5.171427105316606543e+00 5.445208000473414955e+01 -5.014937772840131203e-01 7.352925889375114821e-01 4.492976091149650131e+00 2.484789550795930069e+01 5.171427105316606543e+01
5.330709169922267421e+01 5.318326145397749727e+00 4.832593845546058731e+01 -8.990886211775617198e-02 6.555369888412965196e-01 1.153494098961002301e+01 2.835044995190913397e+01 5.318326145397749372e+01
6.044578879924730330e+01 4.258659817816393911e+00 5.113175527902460260e+01 -8.171319017529281581e-01 7.080070628337518102e-01 8.416706483206734646e+00 2.574180519155707358e+01 4.258659817816393911e+01
6.020669452043440373e+01 4.360879676464156418e+00 5.728205532505808151e+01 -8.152559566093664500e-02 4.805703879540725865e-01 2.777452313894566149e+00 2.625541505212482818e+01 4.360879676464156773e+01
4.996178875056027380e+01 4.815790291102086229e+00 5.870305966784332696e+01 -1.646446236466587720e-01 5.031462121730103654e-01 1.749878862142881797e+00 2.406054971910415929e+01 4.815790291102086229e+01
5.381853936186443832e+01 5.398909498856092171e+00 5.144918880975346553e+01 -8.585905935994286864e-01 5.242104122361224139e-01 7.036193344656935800e+00 2.905614233753303921e+01 5.398909498856092171e+01
5.232558534610689804e+01 4.999823615574111813e+00 5.455977826968045719e+01 -5.536075777004967335e-01 6.245840072908694918e-01 5.780540191645453518e+00 2.616186973122039561e+01 4.999823615574111813e+01
5.240043972231526226e+01 4.396473780301257683e+00 4.283059273399822331e+01 -2.500159273591151532e-03 4.983689261360713108e-01 1.939235877701987931e+01 2.303771593154155539e+01 4.396473780301257506e+01
5.853269435636884310e+01 4.936522036869487096e+00 5.034141091111424515e+01 -4.572277087549032615e-01 5.977100859413322365e-01 9.006913895604640174e+00 2.889479355675610606e+01 4.936522036869487096e+01
6.096955051767947964e+01 5.436407481830141109e+00 5.138739690066270782e+01 -8.307429936110111157e-02 6.106537926837589669e-01 5.218684862155900106e+00 3.314553205981334827e+01 5.436407481830141109e+01
5.731317563664160986e+01 5.163046651194934888e+00 4.164148576124865286e+01 -2.840870252110327954e-01 7.554266739954165200e-01 1.745304318529195342e+01 2.959105995401096223e+01 5.163046651194935066e+01
6.346025469699135613e+01 4.603495259256305872e+00 4.279621732507606424e+01 2.251792860312029632e-02 5.790205240707457790e-01 1.833181807991462620e+01 2.921389816487974400e+01 4.603495259256305872e+01
5.747378712031365922e+01 4.765200890647785847e+00 5.533626820414637848e+01 -5.635908656355823609e-01 6.201642250242680454e-01 4.890051677690737009e+00 2.738741415746198982e+01 4.765200890647786025e+01
4.915531284101234633e+01 5.224783425524156755e+00 5.141694509787395617e+01 -6.372310585886555856e-01 5.976900005210030731e-01 8.263777913539737341e+00 2.568258638081760381e+01 5.224783425524157110e+01
4.984446031075921013e+01 4.760045333729648220e+00 4.833980986780827749e+01 5.205124504913527517e-02 6.109119783212504373e-01 1.204611302158332009e+01 2.372618907145020017e+01 4.760045333729648576e+01
5.323512434881799749e+01 4.879666895682525762e+00 4.997183475567556599e+01 -1.246000975385044285e-01 6.361819641257449032e-01 9.049871372473068831e+00 2.597696739724699455e+01 4.879666895682525762e+01
4.789961431914331769e+01 5.412193807580626626e+00 4.954463610539781371e+01 -3.838540603355742320e-01 7.220915584227189932e-01 1.120120090726764772e+01 2.592419960035677562e+01 5.412193807580626981e+01
4.993639436743782767e+01 5.290035825694872962e+00 4.382895032105109578e+01 3.174175650835628915e-01 5.198032505908725120e-01 1.613292383845617906e+01 2.641653152097737944e+01 5.290035825694872784e+01
4.838591915707603164e+01 5.778004061576589301e+00 4.188504364481158149e+01 4.384649478194191374e-02 6.719850139397567368e-01 1.669327021831888302e+01 2.795740374127017702e+01 5.778004061576589123e+01
5.596788022192432521e+01 4.367942380118316592e+00 5.705658357189684438e+01 -3.727955807867289195e-01 5.718171329612107279e-01 2.885122195806024692e+00 2.444644759467289674e+01 4.367942380118316237e+01
5.208305954703637042e+01 4.866542234014380242e+00 4.684086424722955400e+01 -1.151929735957200052e-01 6.846793506589441414e-01 1.279954336102266232e+01 2.534644089623383678e+01 4.866542234014380597e+01
4.643056730043803526e+01 5.637364530492323667e+00 5.809497791363453700e+01 -8.463826749415908068e-01 6.068019498177237292e-01 8.313769024113459860e-01 2.617460332301261161e+01 5.637364530492323667e+01
4.760271651208876875e+01 4.902626509261185817e+00 5.021550610680285587e+01 -6.117541400482267022e-01 6.481437869497983506e-01 8.863048938725551551e+00 2.333783398850115631e+01 4.902626509261185817e+01
4.642640754831695915e+01 5.060247618154625648e+00 4.660786169123395695e+01 -2.174656448585938762e-01 6.905761063174999936e-01 1.309442492325711171e+01 2.349291182158468061e+01 5.060247618154625826e+01
4.705267321252424040e+01 5.367444959222912537e+00 4.052599075699024667e+01 -1.070479332276534024e+00 6.676978270613158628e-01 1.924504443916866592e+01 2.525526336525262039e+01 5.367444959222912360e+01
5.046454939169363740e+01 4.736513477581258513e+00 5.401467595778649411e+01 -7.177654358162932624e-02 6.628446810695491909e-01 7.122812538848954489e+00 2.390260183338219946e+01 4.736513477581258513e+01
5.164804736119189243e+01 5.730077667100549554e+00 4.703181183795896203e+01 -1.503115430614727188e+00 6.634591443904667152e-01 1.048822199722842008e+01 2.959473227337171508e+01 5.730077667100549377e+01
5.770545654118056689e+01 5.505698168274111737e+00 5.115106027942548650e+01 -2.672014050699047516e-01 6.673030702703890427e-01 5.347278892169851083e+00 3.177088263781991984e+01 5.505698168274111737e+01
5.414739290007640449e+01 4.723882440074204325e+00 5.040102702081144770e+01 3.666022421847472401e-01 6.424836954316512916e-01 7.571699680960941592e+00 2.557859184964695842e+01 4.723882440074204681e+01
5.564046130346507368e+01 4.575867786676786508e+00 4.972399422739526642e+01 -3.506924276097365123e-01 5.992195310353760629e-01 9.726935969953018457e+00 2.546033945143621224e+01 4.575867786676786864e+01
6.097764925017500559e+01 4.149715356841593206e+00 4.803424832892596896e+01 -5.087671427609983255e-01 6.456271753194644525e-01 1.253957659245531886e+01 2.530398875175514917e+01 4.149715356841593206e+01
