weight logl A w B x0 k b f sigma_v
0.000000000000000000e+00 -1.647579358315864738e+03 5.998924300565609258e+01 1.339173824268170421e+01 9.844357765985287756e+01 3.253108850855506162e+00 5.860888524761853624e-02 1.982237457460973573e+01 8.033602397083706137e+01 1.339173824268170279e+02
0.000000000000000000e+00 -1.625260588520159217e+03 2.783586230213456147e+01 6.408425966814103703e+00 7.878384209766364776e+00 9.084842956540210679e+00 -4.971127424417076668e-02 1.129985881434548212e+01 1.783840627856609373e+01 6.408425966814104413e+01
0.000000000000000000e+00 -1.625253284368349341e+03 3.926847793817832866e+01 1.133591392186321478e+01 1.268577891318556361e+01 -9.880581161345565633e+00 -5.649426186321311327e-01 8.180805424216323729e+00 4.451440857497742343e+01 1.133591392186321514e+02
0.000000000000000000e+00 -1.611704119802496280e+03 4.262140859133567439e+00 8.741296643194459648e+00 1.801766762148255907e+01 8.010844892597063449e+00 5.796184864449092089e-01 7.899444331957655052e+00 3.725663758476620124e+00 8.741296643194459648e+01
0.000000000000000000e+00 -1.607875457065994851e+03 8.418071763106381411e+01 9.350863688514587935e+00 1.133896159145347760e+01 -2.749884747871103485e+00 -9.473348593906734116e-01 1.170673732649911614e+01 7.871624157694142809e+01 9.350863688514587579e+01
0.000000000000000000e+00 -1.579557908841270546e+03 8.020877972279481583e+01 9.973944895078640016e+00 9.930210583196206642e+01 2.976239336715043038e-01 7.344456403369863384e-01 1.585223662931163346e+01 7.999979490566565232e+01 9.973944895078639661e+01
0.000000000000000000e+00 -1.565154910207138528e+03 4.555188846838665739e+01 6.942043930644163474e+00 1.790984132179804789e+01 -4.263743070309637950e+00 -3.259575388369575499e-01 3.628308398589941142e-01 3.162232108713434542e+01 6.942043930644163652e+01
0.000000000000000000e+00 -1.554940098082906843e+03 6.106333504513997923e+01 1.437235035900759783e+01 9.396416653210324910e+01 -6.325545019824028614e+00 -4.390252677175610074e-02 1.654332121390948629e+01 8.776236453582188801e+01 1.437235035900759783e+02
0.000000000000000000e+00 -1.554187445838615531e+03 5.171378135320665592e+01 1.899347729227569559e+01 9.880522482714668797e+01 6.567747309459818439e+00 -4.400866968888565989e-01 1.326251001741035829e+01 9.822245318298408279e+01 1.899347729227569630e+02
0.000000000000000000e+00 -1.551882728049244179e+03 6.969168322121619497e+01 1.091013511514889345e+01 9.685890669050441204e+01 4.170241916176614438e+00 -7.029290614616419131e-01 1.785897287691210167e+01 7.603456803456238333e+01 1.091013511514889274e+02
0.000000000000000000e+00 -1.544491781690967400e+03 9.864229837295867753e+01 1.660348987125527032e+00 1.007654165192828444e+01 5.080840274730316963e+00 1.396618916852490067e-01 1.363034523280576948e+01 1.637806401912759569e+01 1.660348987125527032e+01
0.000000000000000000e+00 -1.528138757465107119e+03 4.680647834170525989e+00 1.559158332913211886e+01 1.905689149560617679e+01 -4.374075689930339017e+00 7.587256267449442593e-01 6.782144327449206145e+00 7.297871074079152365e+00 1.559158332913211780e+02
0.000000000000000000e+00 -1.524035441326994260e+03 9.801623412335612784e+01 9.975782371399159132e+00 2.085378555426863301e+01 -8.917848165290580553e+00 -8.200887298334373909e-01 5.668759139564785166e+00 9.777886204787088786e+01 9.975782371399159842e+01
0.000000000000000000e+00 -1.491219838180666557e+03 9.664708131592554707e+01 9.835922519886088011e+00 8.151248700789733448e+01 -5.386513167625230913e+00 7.503896645074759064e-02 1.966400550569941430e+01 9.506132035965740101e+01 9.835922519886088367e+01
0.000000000000000000e+00 -1.490648023123683743e+03 8.582370700643207329e+01 1.852837734122548596e+01 7.454188928497741529e+01 3.628684280771054205e+00 1.522642937135509911e-01 1.065198909162991647e+01 1.590174028237950949e+02 1.852837734122548454e+02
0.000000000000000000e+00 -1.490065858452497196e+03 7.241795353867571805e+01 1.525261298518370445e+01 8.059881533557383193e+01 -4.350557773606467116e+00 -1.793645939785011301e-01 1.784883047507422305e+01 1.104563018504435377e+02 1.525261298518370552e+02
0.000000000000000000e+00 -1.488595853939783410e+03 4.354275752992935367e+01 2.746383637753071483e+00 1.925802760793396828e+01 1.117766416149470032e+00 -9.548857504180636724e-01 1.224401813250124249e+01 1.195851168228473327e+01 2.746383637753071483e+01
0.000000000000000000e+00 -1.482219666866780244e+03 1.939162365518295417e+01 1.371153039854450029e+01 6.662566769901512309e-01 -8.581665078574483019e+00 5.226175641888584078e-01 1.565387122788585827e+01 2.658888372251756849e+01 1.371153039854449958e+02
0.000000000000000000e+00 -1.479938832540379735e+03 9.209368853192714255e+01 1.051089479823959927e+01 8.786388366546916018e+01 -2.679756292509440918e+00 -8.670086034844444178e-01 1.017374610634601950e+01 9.679870717409308156e+01 1.051089479823959891e+02
0.000000000000000000e+00 -1.465765494835404752e+03 7.497172324360862206e+01 1.179212275210916339e+01 9.722737224801892353e+01 4.840820549346261714e+00 7.139935024651302697e-01 1.041969918025972319e+01 8.840757634257886366e+01 1.179212275210916374e+02
0.000000000000000000e+00 -1.443761916243473024e+03 5.709457654952368699e+01 1.921500841205807575e+01 9.642711192084279048e+01 -5.838007935579645036e+00 -1.437820216225327297e-01 5.406406434200993871e+00 1.097072768681991448e+02 1.921500841205807433e+02
0.000000000000000000e+00 -1.443394675132223711e+03 4.186996676031758113e+01 4.181849504333271739e+00 1.051316393550630934e+01 -6.210450408068981076e+00 9.096161611387620916e-01 1.452790441724990167e+01 1.750938997430846555e+01 4.181849504333271739e+01
0.000000000000000000e+00 -1.425768598321927129e+03 6.777010126889570074e+01 1.774231047064434463e+01 7.793914740989411882e+01 6.544015329413216620e+00 -9.710821676421081960e-01 1.876138441754950392e+01 1.202398177339755847e+02 1.774231047064434392e+02
0.000000000000000000e+00 -1.421967199167418585e+03 8.902492467644769647e+01 2.196529318018036747e+00 7.654836304208945563e+00 7.058377812068368229e-01 8.333551628119133525e-01 1.774349619922647037e+01 1.955458570861647516e+01 2.196529318018036747e+01
0.000000000000000000e+00 -1.421921165137911885e+03 8.407518210890903276e+01 1.589729724347307283e+01 6.405070647765359126e+01 -5.701240770303468430e+00 -9.178163544031967547e-01 1.837335954719832642e+01 1.336568160784456154e+02 1.589729724347307354e+02
0.000000000000000000e+00 -1.402758707836916074e+03 7.339469838741825924e+01 9.438087517048851183e+00 9.488956602047421995e+01 -2.697003591758377894e+00 -5.127330413010129373e-01 1.525338625071953302e+01 6.927055866678577445e+01 9.438087517048850827e+01
0.000000000000000000e+00 -1.383367428247647695e+03 5.601034108293378999e+00 9.550745507789601518e+00 1.934261246185842253e+01 -1.565632923461858894e+00 1.813459280729854406e-01 7.337678252935575074e+00 5.349405134875932610e+00 9.550745507789601163e+01
0.000000000000000000e+00 -1.381615290047144299e+03 5.429343843023378469e+01 1.457984346938222231e+01 9.682249950885861267e+01 -1.452442935074993002e+00 -5.728254748447327849e-01 1.003964305640662680e+01 7.915898337273497987e+01 1.457984346938222302e+02
0.000000000000000000e+00 -1.371968576890933036e+03 5.983033986129940018e+01 1.504899304654397030e+00 1.756231656012835529e+01 5.552150066857777233e+00 8.937062475624635294e-01 1.248805789123182919e+01 9.003863685450571808e+00 1.504899304654396985e+01
0.000000000000000000e+00 -1.350212571369627767e+03 1.265130121583785083e+01 5.823060866803531965e+00 1.693263288504879327e+01 -7.510183462603352567e+00 3.200200660995615731e-01 9.380786560546340525e+00 7.366929702408933522e+00 5.823060866803531610e+01
0.000000000000000000e+00 -1.323763816738706737e+03 7.348288024943290964e+01 1.272591110892269839e+01 9.450452071736384596e+01 1.067097218647912626e+00 -3.130470173410830892e-01 4.039444636887621343e+00 9.351366020818946367e+01 1.272591110892269910e+02
0.000000000000000000e+00 -1.313903649900528762e+03 6.204058624335267780e+01 3.288874325852866765e+00 8.086316682175354487e+00 -5.088836867284729948e+00 -2.195392204897985700e-01 1.748123682969776382e+01 2.040436912566232053e+01 3.288874325852867031e+01
0.000000000000000000e+00 -1.301270879419293124e+03 4.477516395685703543e+01 5.141109806250801384e+00 2.004252410282719765e+01 5.396606488978278549e+00 -2.282323467834932451e-01 1.812549962232794520e+00 2.301940344950851269e+01 5.141109806250801739e+01
0.000000000000000000e+00 -1.278235723625821265e+03 3.988769897488229077e+01 1.904434261451390853e+01 9.352450371209405944e+01 9.749901006858603836e+00 3.462310281843006265e-02 1.794908657358074677e+01 7.596350053822536097e+01 1.904434261451390853e+02
0.000000000000000000e+00 -1.277763091687727865e+03 3.983375768556389573e+01 1.686868903396348429e+01 1.653951161742885745e+01 -6.993017793915791813e+00 -9.481659942644413697e-01 5.445723596872253935e+00 6.719432714520303307e+01 1.686868903396348287e+02
0.000000000000000000e+00 -1.237368142664601692e+03 8.588641942132933593e+01 1.134188808436273277e+01 7.303953584487486239e+01 5.286759822308795265e-02 -9.644830744872683326e-01 1.645969493603599787e+01 9.741141570433551067e+01 1.134188808436273348e+02
0.000000000000000000e+00 -1.234345419997220233e+03 8.968642720986291295e+01 8.515279531059690044e+00 9.221558094498159619e+01 -8.247417636832539145e+00 9.422377567074713411e-01 8.096155586914047575e+00 7.637049978340203893e+01 8.515279531059690044e+01
0.000000000000000000e+00 -1.231113465700447705e+03 4.003297795465049802e+01 1.286343484227142753e+01 8.776954467489272105e+00 -7.011382535402228555e+00 3.218223818483989529e-01 1.095604906338778495e+00 5.149616034617351801e+01 1.286343484227142824e+02
0.000000000000000000e+00 -1.226684758083059933e+03 5.771590503368013714e+01 1.585883835758558824e+01 8.081376108388556645e+01 3.960185458766559918e+00 5.898728101609820307e-01 1.879366249477170925e+01 9.153072085908937083e+01 1.585883835758558860e+02
0.000000000000000000e+00 -1.223850716633580305e+03 9.391982955229471486e+01 9.034135739505002149e+00 9.669182886893467810e+01 -4.723135816813961441e-01 -3.606539254116805093e-01 5.836108777157456018e-04 8.484844888066037072e+01 9.034135739505002505e+01
0.000000000000000000e+00 -1.221415307725068487e+03 4.502281143749415548e+01 4.205617583961637429e+00 1.435247900948297683e+01 7.846787019597513790e+00 -9.488708615112761979e-01 1.858832775751550059e+01 1.893487274609145388e+01 4.205617583961637251e+01
0.000000000000000000e+00 -1.213643905730530605e+03 5.963329514829984745e+00 1.792037015218981111e+01 2.601017290172753604e+01 -9.310638700824174663e+00 2.898241868934103849e-02 2.592194075097824513e+00 1.068650722452317936e+01 1.792037015218980969e+02
0.000000000000000000e+00 -1.197839547331939684e+03 3.751054678043536228e+01 1.959526426232377716e+01 9.712548521875636709e+01 -1.964173141906808695e+00 -7.605961668192777747e-01 7.307385007388873532e+00 7.350290767868892772e+01 1.959526426232377787e+02
0.000000000000000000e+00 -1.197306051287410810e+03 1.988776708373082158e+01 1.115377156514491297e+01 2.431582123182335309e+01 1.636773211554597651e+00 8.608258468732303825e-01 2.846837958046144479e-01 2.218236109927418198e+01 1.115377156514491332e+02
0.000000000000000000e+00 -1.196285852552167853e+03 6.547668388687741015e+01 1.422311031606631815e+01 9.502737437068088155e+00 -8.998377928792889335e+00 -7.403379935295344438e-01 1.155196954671489529e+01 9.312820980532593751e+01 1.422311031606631673e+02
0.000000000000000000e+00 -1.183323738742321439e+03 9.022260645180671190e+01 5.182377083407099683e+00 8.822775509238866221e+00 -9.290218686817555138e+00 7.529818944200452613e-01 1.353074911634904964e+01 4.675675680811006885e+01 5.182377083407099860e+01
0.000000000000000000e+00 -1.162850665081607076e+03 8.683436467636256850e+01 1.883688829507737950e+01 6.056330042774925460e+01 -4.113315363013942516e+00 -4.426352320770174931e-01 6.156849194376643908e+00 1.635689227582654723e+02 1.883688829507738092e+02
0.000000000000000000e+00 -1.162709181669799364e+03 2.349443305025581452e+01 1.047014002847519620e+01 2.763446367864484898e+01 -9.451647015719487399e+00 -4.649019244008325558e-01 1.468834202077273776e+00 2.459900039258139870e+01 1.047014002847519691e+02
0.000000000000000000e+00 -1.162225715828932152e+03 8.228112530166843896e+01 1.308974790603464022e+01 8.387763959655339363e+01 2.118531458382060251e+00 8.263799719695357204e-01 3.562488414149111993e+00 1.077039187623688292e+02 1.308974790603463987e+02
0.000000000000000000e+00 -1.142539601077460247e+03 7.827522622037164091e+00 1.957922912406441895e+01 2.900663757597210690e+01 3.438179970312898348e+00 -6.028511616492857605e-01 2.167930502212960242e+00 1.532568588906631213e+01 1.957922912406442038e+02
0.000000000000000000e+00 -1.141365512883181509e+03 8.731282810504438885e+01 7.068377506981809333e+00 8.614462583068490176e+01 -3.860852980063540940e+00 -2.429535851442081729e-01 1.716089454718854412e+01 6.171600302486649525e+01 7.068377506981809688e+01
