C sigma mu1 mu2 a1 a2 W lam0
1.976114037863616488e+02 6.830717828058929797e-01 1.215677183924147812e+03 1.212975815654655889e+03 3.315072785743111012e+02 2.546090366084992525e+02 2.966004511644797059e+00 1.214503709044156494e+03
2.012823455093314919e+02 6.687407247998324866e-01 1.215705519126906893e+03 1.215138251931313562e+03 3.895357991375597067e+02 2.515742234529151915e+02 3.185127940397300961e+00 1.215482921134061598e+03
1.992937976310502108e+02 6.826684190264756813e-01 1.215710227258184887e+03 1.212670884153624684e+03 1.549177929777831082e+02 2.337412750525588478e+02 1.950181453965069922e+00 1.213882352930738080e+03
1.954547019106169614e+02 6.337642176976600039e-01 1.215655757945102323e+03 1.215184632492683022e+03 1.002132813038293193e+02 2.262776366535265709e+02 1.670417312890548400e+00 1.215329239968407137e+03
2.004679261982371941e+02 6.319734783680763801e-01 1.215821362797368465e+03 1.217255858689025445e+03 1.139780240800106696e+02 2.383204499087566433e+02 1.757380747483710204e+00 1.216791760717124362e+03
2.040070918686208756e+02 7.230590637185764225e-01 1.215671658701136721e+03 1.219754615873716148e+03 1.392912201396580372e+02 2.603615595737791182e+02 1.959014150208124638e+00 1.218331580390879481e+03
1.983186205150890089e+02 6.098697081661738073e-01 1.215705047320669564e+03 1.214483888753535666e+03 3.506830826714643745e+00 2.476516931137653330e+02 1.266439446221191645e+00 1.214500939325582067e+03
2.030617173657035437e+02 5.746920494728473550e-01 1.215821241679117975e+03 1.214578953579970175e+03 1.523488330146487897e+02 2.391099659893758371e+02 1.927782371204060041e+00 1.215062430110973310e+03
1.907679742873797863e+02 4.971987741112369186e-01 1.215750104651260017e+03 1.211061684463770007e+03 2.694982710770802470e+01 1.806943752788214113e+02 1.088464681570328274e+00 1.211670187431871000e+03
1.991614970414776167e+02 6.811829625408237776e-01 1.215655004571168774e+03 1.216629731655895739e+03 2.569016954100858925e+02 2.408352604366610308e+02 2.499162555215618031e+00 1.216126636521634737e+03
1.984038119871520962e+02 5.773932482616537243e-01 1.215619754826821918e+03 1.216530709798942780e+03 1.335871849923300374e+02 2.281514003157258514e+02 1.823244128653540130e+00 1.216194301366658010e+03
1.936822849456218592e+02 7.064040059732398236e-01 1.215618059584969842e+03 1.215051925013788150e+03 1.286536576898270710e+02 2.548093343193440603e+02 1.979855783490121368e+00 1.215241865855133938e+03
1.944908700410878737e+02 6.494150889066827581e-01 1.215580317306601046e+03 1.210289027509026027e+03 2.370407917692926247e+01 2.325737501040622135e+02 1.317685653968489801e+00 1.210778438367006629e+03
2.045579474031934240e+02 6.768624814806474266e-01 1.215756834684129444e+03 1.219662883277780566e+03 9.214975485107251529e+01 2.474849681446526120e+02 1.660335016592090707e+00 1.218603093462515062e+03
1.944194959706924237e+02 7.081440980497127891e-01 1.215699797141693352e+03 1.217669123042924866e+03 1.305268739299917797e+02 2.575624267563608782e+02 1.996143950218113972e+00 1.217006775605924076e+03
2.028432571393822172e+02 6.054962476233877178e-01 1.215734052190774946e+03 1.210807217511889576e+03 3.178026280746162797e+02 2.602337704936816749e+02 2.849670266195265089e+00 1.213515976013805812e+03
2.033838527036801338e+02 7.750164126764884642e-01 1.215779982300929532e+03 1.217557505566773898e+03 2.955216093780379083e+02 2.781663110619629151e+02 2.820715178779875210e+00 1.216641856975417113e+03
1.973496837469697880e+02 6.727968730473898873e-01 1.215733251810445381e+03 1.214121226702423655e+03 2.171112921109194076e+02 2.538475070994867338e+02 2.386417805534676972e+00 1.214864367832188009e+03
1.923073696716800214e+02 5.585026568903290745e-01 1.215789151047189989e+03 1.214943472936236276e+03 3.970826016521219799e+02 2.085140437484571692e+02 3.149107839364108763e+00 1.215497974132714489e+03
1.929934561754774904e+02 6.400787114065766836e-01 1.215695006867595566e+03 1.215078288382155051e+03 3.554431617750472014e+02 2.313261364458901426e+02 3.040358517065070210e+00 1.215451873655029431e+03
1.929837746315735103e+02 6.623365088719080918e-01 1.215635911936247567e+03 1.211972610905283091e+03 2.327249604637096638e+02 2.532197652289006840e+02 2.518060011108863350e+00 1.213727011236273029e+03
1.991060288391960000e+02 6.282055860357864674e-01 1.215691512600709757e+03 1.212987821690373721e+03 4.313760441691760406e+01 2.407963505862371107e+02 1.426043986003398656e+00 1.213398588866685486e+03
2.034309481849176962e+02 6.671152863768919916e-01 1.215601498113875323e+03 1.216824406829498002e+03 6.213649440457079720e+01 2.695563438064497745e+02 1.630493497525821178e+00 1.216595317588453781e+03
