weight logl A T phi m0
0.000000000000000000e+00 -2.479626813718096400e+03 2.119454937012784423e+00 2.583739431456689317e+02 4.380249115318121333e+00 1.184032006191596409e+01
0.000000000000000000e+00 -2.464250278299025922e+03 2.165260705289699494e+00 2.877514997228644802e+02 5.126247664404962379e+00 1.186111614624658905e+01
0.000000000000000000e+00 -2.460715723854326370e+03 2.710601171761945150e+00 2.444919186356624152e+02 7.512930594148302665e-01 1.205989257758596267e+01
0.000000000000000000e+00 -2.453236275197920804e+03 1.700387536774696118e+00 1.602000497413567643e+02 2.901275851569355968e+00 1.181753590380254337e+01
0.000000000000000000e+00 -2.430627873196051041e+03 2.042002738144733431e+00 7.201834371188475359e+01 3.226188884050317007e+00 1.831285879618937074e+01
0.000000000000000000e+00 -2.425371136645567276e+03 7.520157478930626915e-01 2.024375586910159086e+02 5.470958506992563919e+00 1.849192346338458748e+01
0.000000000000000000e+00 -2.416613372592610176e+03 2.498705472946771700e-02 8.519585484193338232e+01 2.188303815583395817e+00 1.849743032340560944e+01
0.000000000000000000e+00 -2.415306317750412745e+03 1.061998117395860364e-01 3.046135779069141236e+01 5.994335003219081415e+00 1.169053521357426995e+01
0.000000000000000000e+00 -2.410641581940932156e+03 9.275173393787202736e-01 2.011957413683832385e+02 3.396909324932553709e+00 1.826856541016043067e+01
0.000000000000000000e+00 -2.409390844436460156e+03 1.971827386286521877e+00 1.838322362976951752e+02 2.780330922169252261e+00 1.155120372035250398e+01
0.000000000000000000e+00 -2.387341003855501185e+03 2.060904408820649181e+00 2.946073462740121158e+02 5.702882323800088749e+00 1.181993076020276057e+01
0.000000000000000000e+00 -2.382585719960188271e+03 2.183836550434097301e+00 6.020836243311541836e+01 2.095512660751729594e+00 1.243582317416651151e+01
0.000000000000000000e+00 -2.365623932676111963e+03 2.599917137626660324e+00 7.622847188105744465e+01 8.382011924410579518e-01 1.750284337163723336e+01
0.000000000000000000e+00 -2.364721170440810965e+03 2.644655597147838932e+00 2.088379662904808853e+01 2.829434789065338851e+00 1.828545697129033343e+01
0.000000000000000000e+00 -2.354789862941534921e+03 2.829540526486509222e+00 9.704546109899008854e+01 5.734399241561095373e+00 1.164474319808091174e+01
0.000000000000000000e+00 -2.344577022867996675e+03 2.244322931964828793e+00 1.696725488458943971e+02 6.062880469371544123e+00 1.249916686774241370e+01
0.000000000000000000e+00 -2.317857052095833751e+03 1.760527789254656694e-01 2.272100144204994479e+02 3.335873629970361076e+00 1.173537939332448055e+01
0.000000000000000000e+00 -2.298939397064766126e+03 2.486742014707141735e+00 2.225308673763541094e+02 4.610734379214554757e+00 1.741142046272871724e+01
0.000000000000000000e+00 -2.295988221858403449e+03 2.203152815767890349e-01 6.372794033953729809e+01 3.632513258591749672e-01 1.173673406069684511e+01
