weight logl A w B x0 f sigma_v
0.000000000000000000e+00 -1.399712012700589185e+03 7.372071735540333126e-01 6.199718689185779175e-01 8.911715224629036536e-01 9.542304888526051965e-01 4.148192784237254571e-01 6.842712884930298722e-01
0.000000000000000000e+00 -1.396432027295077205e+03 1.054619973836705693e-01 6.268658476252793044e-01 1.679453613100234666e-01 6.438070075922310842e-01 4.787221172936242386e-01 5.724458435584878213e-02
0.000000000000000000e+00 -1.384513363608490181e+03 5.221708999905325665e-01 7.433595173029419190e-01 9.704183718088099653e-01 2.537914719129932273e-01 1.252579384930616602e-01 6.355407234435428432e-02
0.000000000000000000e+00 -1.379494742973925895e+03 5.181450367774604882e-01 9.421733318900653575e-01 9.334032121622563016e-01 9.751455738709001730e-01 6.443511832629713609e-01 6.809314201670567668e-01
0.000000000000000000e+00 -1.372965080647822106e+03 6.336108545633279965e-01 2.647363220740635015e-01 1.314593152250201902e-01 8.781689946471405994e-01 4.550977570540732930e-01 3.587702732726509858e-01
0.000000000000000000e+00 -1.368345462981897072e+03 6.303725957326221652e-01 8.711386048235587598e-01 8.490971612322238959e-01 6.127685943673762958e-01 2.651641703014906426e-01 8.139547454152284978e-01
0.000000000000000000e+00 -1.365260263084303006e+03 7.711455108683908932e-01 5.264548629641480071e-01 2.514378088008528689e-02 9.536691607389068404e-01 7.347182093838254824e-01 9.212165874332958193e-01
0.000000000000000000e+00 -1.363379198635762805e+03 9.660309655319936351e-01 5.830873275463902550e-01 7.661696925451649820e-01 6.522773204661842517e-01 6.263996875230148920e-02 2.739030262782237157e-01
0.000000000000000000e+00 -1.352143159727345846e+03 3.848881618083310752e-01 2.399452112909994383e-01 1.509559601728988065e-01 1.898919666918340576e-01 9.411894710986790091e-01 5.848909560162489640e-01
0.000000000000000000e+00 -1.347867202883069695e+03 8.160286535944070163e-01 4.289558008410043755e-01 9.431321047713531192e-01 7.418393968083325518e-01 2.614479226668431355e-01 4.614796412948973803e-01
0.000000000000000000e+00 -1.342221195714182613e+03 7.055096186620384291e-01 9.176068052170311962e-01 7.925364639858948346e-01 9.907133665543854661e-01 4.885416301386376059e-01 6.614471941690046597e-01
0.000000000000000000e+00 -1.335499305178806026e+03 9.442375223116301619e-01 7.232663977004434308e-01 6.819428570621273167e-01 4.801316706607905438e-01 8.202553336295536068e-01 2.648202085670672279e-01
0.000000000000000000e+00 -1.331210271275913328e+03 7.943861148920386972e-01 8.806939067523948950e-01 7.159066371275273344e-01 3.592816476288135386e-01 1.278744547709916857e-01 2.597966152324937550e-01
0.000000000000000000e+00 -1.314037564756032225e+03 6.820270500690192028e-01 4.350607017489851458e-01 9.853925170791946186e-01 1.397057916697191926e-01 2.791055129006573265e-01 7.263911835164875708e-01
0.000000000000000000e+00 -1.309193833293969874e+03 9.492264020429879157e-01 3.722480414038723540e-01 3.341896092771923232e-02 4.315659343354911748e-01 7.342036660911821500e-03 2.706014483086567335e-01
0.000000000000000000e+00 -1.307177280737616456e+03 8.912318407819145305e-01 7.260617667541695575e-01 7.053427808074600458e-01 4.132611050521929341e-01 9.534460656324129646e-01 7.027301209707166318e-01
0.000000000000000000e+00 -1.281842098865241496e+03 2.158127900788398001e-02 3.896730530299546968e-01 2.424087754922502613e-01 1.195943754617717625e-01 1.788855798844790623e-02 7.372575763210537092e-01
0.000000000000000000e+00 -1.277775537155279380e+03 8.627812216936938672e-01 8.397216309319803784e-01 6.663814532488848696e-01 2.498381737766377508e-01 2.283887789771243959e-02 6.576436169166913759e-01
0.000000000000000000e+00 -1.250189542253909167e+03 1.092227352804536755e-01 8.752028933147143475e-01 1.781076528529568215e-01 9.350018066729330890e-01 2.233609546506052368e-01 4.804190581277290040e-01
0.000000000000000000e+00 -1.244099090027430066e+03 7.861859171859638673e-01 9.225229450312094626e-01 6.737587940910120254e-01 6.360103610921689077e-01 2.115990134079748231e-01 9.677645356576174418e-01
0.000000000000000000e+00 -1.244076852127191160e+03 8.926407034973364851e-01 7.815308664928469762e-01 6.518854261108671944e-01 5.978587850065680831e-01 7.891208131749364307e-01 9.626554063609189527e-01
0.000000000000000000e+00 -1.243514723385236721e+03 9.318667060839794791e-01 6.897619238657707319e-01 6.861949004082389392e-01 1.307071759120592702e-03 7.061988680597901524e-01 1.337036372357419678e-01
0.000000000000000000e+00 -1.214666252637987782e+03 5.467367996691533394e-01 8.108306888846262828e-01 8.720716894523983242e-01 8.510755905335228855e-01 5.553085736878353718e-01 1.708897238624449422e-01
0.000000000000000000e+00 -1.213681238975361339e+03 7.671521350077820101e-01 5.526948298720395503e-01 8.295958809485827201e-01 9.709188931594384675e-01 5.876651023804702056e-02 3.057288728906619735e-01
0.000000000000000000e+00 -1.211203763909492409e+03 9.240743951784043952e-01 4.124900620511173788e-01 8.646239795013009877e-01 6.253592409336591329e-01 2.041139240954574774e-01 8.732691263208829380e-01
0.000000000000000000e+00 -1.203734860101312734e+03 6.703230461671740859e-01 6.863265133628730919e-01 8.312568067821307638e-01 1.320574627672771451e-01 8.145264442559869700e-01 2.252431241927377314e-02
0.000000000000000000e+00 -1.193157368062320529e+03 7.898058247024116740e-01 9.502052852419060613e-01 6.419050984720412467e-01 4.437323467152587408e-01 3.160574679796371855e-01 8.195677111353275590e-01
0.000000000000000000e+00 -1.189799600694745095e+03 4.993803619975228925e-01 9.999618615826334489e-01 8.597184706360150308e-01 1.016683900046272404e-01 9.103531411553374975e-01 8.785014847782441905e-01
0.000000000000000000e+00 -1.165899104838366839e+03 9.061082538130824648e-01 8.198917284894331470e-01 5.974598127211427911e-01 3.274518415009768368e-01 5.497563997836966143e-01 7.178773162119245210e-01
0.000000000000000000e+00 -1.162880155366161489e+03 8.417915125171648860e-03 1.923013353472580178e-02 2.690386046130478492e-01 8.529522927454407100e-01 1.104947502303565976e-01 1.852578653318881496e-02
0.000000000000000000e+00 -1.152811151629728556e+03 8.375683967711493594e-01 7.654880177552394471e-01 6.611984461422985015e-01 6.071775859405139641e-01 4.827310458404724391e-01 3.735360113821408756e-01
0.000000000000000000e+00 -1.152540971697604618e+03 2.136892878619713887e-01 6.142605508467761100e-01 1.530075741689840285e-01 3.545656271015396044e-02 5.805808028725877312e-01 8.431387922417994396e-01
0.000000000000000000e+00 -1.131755430910239738e+03 7.366990080873763169e-01 7.666466794350597080e-01 7.232039654966201381e-01 7.998738975299638509e-01 4.259960078553526319e-01 7.522153098501872526e-01
