A w B x0 f sigma_v
5.348025061846524153e+01 5.380504387119108500e+00 4.772627240878317423e+01 -8.568292826574168686e-01 2.877507230768816271e+01 5.380504387119108856e+01
5.385386898966951463e+01 5.433071267470181986e+00 4.809335120542168340e+01 -7.661678845055401865e-01 2.925919082498769086e+01 5.433071267470182164e+01
5.204684093923746957e+01 5.405676632809659488e+00 4.780435070603827086e+01 -4.131313962919183069e-01 2.813483918767971659e+01 5.405676632809659310e+01
5.464657249049577104e+01 5.402500088568695347e+00 4.731316144386286737e+01 -7.485262878825125199e-01 2.952281127198790500e+01 5.402500088568694991e+01
5.049551949601348610e+01 5.313401340492094782e+00 4.950681323013480295e+01 -1.069829823039114558e+00 2.683029609789627301e+01 5.313401340492094960e+01
4.528550631312656805e+01 5.267365710477148077e+00 5.085560696760305888e+01 -5.234345407778171477e-01 2.385353231353592918e+01 5.267365710477147900e+01
5.070051091447206204e+01 5.049558764181546699e+00 4.972823604930658803e+01 -7.424636147570211619e-01 2.560152092366545773e+01 5.049558764181546877e+01
5.572789873325584153e+01 5.008949314777337847e+00 4.986563345028359606e+01 -1.173874432773407861e+00 2.791382201739227042e+01 5.008949314777338202e+01
5.646909020587585815e+01 4.539972618201510990e+00 5.134601853207038147e+01 1.207000671629181454e-01 2.563681233094275314e+01 4.539972618201510812e+01
5.081171531588503143e+01 4.783548878289070494e+00 5.070471883239113708e+01 -1.190858293077322827e+00 2.430603238032454527e+01 4.783548878289070672e+01
4.642304772358231446e+01 5.437658900182037236e+00 4.924627708138006454e+01 -1.500177395915979872e+00 2.524326986277128171e+01 5.437658900182037058e+01
4.775319127201939295e+01 5.069868277229244491e+00 5.052024029711108710e+01 -3.988003724646009829e-01 2.421023895664715297e+01 5.069868277229244313e+01
5.159826314633568956e+01 4.418136155440359758e+00 5.131568769557133436e+01 -2.299358729828746561e-01 2.279681519647515842e+01 4.418136155440359403e+01
5.512458354679372974e+01 4.809000853208651449e+00 5.236263070678847242e+01 -5.444828045600935695e-01 2.650941693093026430e+01 4.809000853208651449e+01
