H0 sigma
7.938343665601064458e+01 1.161921706151627632e+03
7.674895328509575165e+01 1.097793640499638286e+03
7.288424237736225564e+01 1.046512969898394203e+03
7.513871604357967726e+01 8.635553888248442718e+02
7.221613597617908908e+01 1.102122117976052323e+03
7.182350795409963951e+01 9.917848899664048758e+02
7.803633029897011397e+01 9.860360093313686320e+02
7.524697631707232404e+01 1.053847368172972892e+03
7.584034217285899615e+01 1.022761063003573440e+03
7.257448391705447932e+01 1.134700557422451084e+03
7.750693765883139008e+01 1.072886408245460643e+03
7.397309838613797695e+01 9.343874080234975281e+02
7.689856219530352632e+01 1.174029502837628797e+03
7.546073290248941134e+01 1.068523552283138542e+03
7.708205009735929991e+01 1.084338085006881101e+03
7.138112583726353932e+01 9.416101279081236726e+02
7.272463676358475482e+01 9.579322761206445875e+02
7.931352324910173479e+01 1.146089218278488488e+03
7.292040437083090865e+01 1.050414065734010819e+03
7.483690442583404945e+01 9.525914257316118210e+02
7.869160373789284790e+01 1.079819476352060974e+03
7.475092448331123762e+01 1.132675797010880615e+03
7.410025224282304634e+01 1.072755863920964657e+03
7.513264284840946061e+01 1.017643728782762992e+03
7.893884880737169851e+01 1.031539366344352175e+03
7.241878514070393180e+01 9.697664731099720257e+02
7.509053953432979256e+01 9.695526479758285632e+02
7.689540296119552920e+01 1.089882466444743386e+03
7.502785675001197774e+01 1.269659093792844260e+03
7.495442769528706606e+01 1.144159885415660710e+03
7.456765236536072905e+01 1.077280235144293783e+03
7.546857172247449341e+01 1.061535920084977306e+03
7.583022258895731227e+01 9.887408171257693539e+02
7.107641655390739288e+01 1.015216746497017539e+03
7.676687793090846412e+01 9.679233565657997360e+02
7.502436641350234936e+01 9.982345305352041578e+02
6.942081210838640004e+01 1.156441490869538029e+03
7.402586605363507033e+01 1.196610298033776189e+03
7.518948807550852109e+01 9.874913365195792494e+02
7.186513327734829204e+01 1.056151502029089897e+03
7.519036036423577229e+01 1.270585971023716638e+03
7.002079092483026557e+01 1.106835297204731205e+03
7.443602375177121644e+01 1.193895911212487590e+03
7.932658538650960622e+01 1.047531925963442063e+03
7.708205009735929991e+01 1.084338085006881101e+03
7.559947748470719375e+01 9.105375701884580621e+02
7.760046234185523417e+01 1.054878302326674202e+03
7.364425969817317252e+01 1.014514343283151788e+03
7.585047066006559646e+01 1.126903063603979035e+03
7.480650306025778207e+01 1.041847542435937612e+03
7.332945939702688065e+01 1.103859871713170605e+03
7.767564743579610820e+01 1.160319260218891941e+03
7.359221812273605678e+01 1.231432204340820590e+03
7.039693206360013278e+01 1.323871062085663198e+03
7.721324733701271725e+01 9.140576778398008173e+02
7.486478570068069871e+01 1.153456607403254793e+03
7.559520110190106834e+01 9.420287422685962611e+02
7.285008030310399363e+01 9.361666336386473404e+02
7.299423775316464003e+01 1.187032089431920213e+03
7.266475507799896150e+01 9.984340435676092511e+02
7.566412985400573632e+01 1.226132718873617478e+03
7.955339898382203501e+01 1.048227854628233899e+03
7.267966285026592743e+01 8.367578930677956350e+02
7.468573361431390367e+01 8.557300154604132558e+02
7.496345867062939305e+01 9.365667559927904904e+02
7.721615307664407624e+01 1.099170380842881741e+03
7.465105510223294516e+01 1.012254977493209822e+03
7.076633222772947818e+01 1.146316000708611455e+03
7.619377189530894157e+01 1.211787098613926446e+03
7.449727797413812880e+01 9.754176036567880601e+02
7.519257077603883488e+01 8.796589974577572093e+02
7.372824479100039241e+01 1.097326425278336956e+03
7.724365030838907842e+01 1.041647186547717865e+03
7.643320610018579941e+01 9.657385560112247731e+02
7.567799805221376630e+01 8.753273745103306283e+02
7.404927088967178861e+01 1.033071380519179911e+03
7.544847031101248547e+01 1.048008007273303519e+03
7.911138355443627290e+01 1.113038695457649737e+03
7.416511970087006489e+01 1.001545457471214831e+03
7.596959706097953813e+01 8.600038702428893203e+02
7.399494126474702682e+01 9.254834176195778355e+02
7.598167431708014874e+01 9.573061636609402285e+02
7.768078966242970296e+01 1.194702892901935684e+03
7.728252365158127191e+01 9.791637806796054520e+02
7.893884880737169851e+01 1.031539366344352175e+03
7.678728632029111623e+01 9.625859621758335152e+02
7.447964378551296249e+01 9.942139047133618988e+02
7.743154870002116752e+01 9.160670316544599245e+02
7.804755291286551255e+01 1.047470642467172638e+03
7.239106479863542631e+01 8.943877338999684525e+02
7.824168255369571057e+01 9.936984442756750013e+02
7.262614235269275298e+01 1.053001158554774975e+03
7.743154870002116752e+01 9.160670316544599245e+02
7.468933864436125702e+01 9.446682776730535807e+02
7.872490079570691535e+01 1.104687427767762074e+03
7.429829469955389243e+01 1.115205388145951929e+03
7.995531397617644132e+01 1.023647463013455081e+03
7.717266221489953182e+01 1.075967237712309270e+03
7.463612011011942116e+01 9.391536877584464946e+02
7.304898261944917692e+01 9.141387859218031053e+02
7.421110523244880142e+01 1.003778304389179993e+03
7.605127611681697886e+01 1.107410184372044569e+03
7.759631843468237378e+01 1.201691498988672038e+03
7.583782296156519465e+01 1.001263271827983885e+03
7.223209153851443887e+01 9.857593324772375354e+02
7.382270518759375477e+01 9.527265496919727639e+02
7.646368392626611410e+01 1.012316982587261805e+03
7.511873259995368812e+01 9.275193147022004041e+02
7.701313139174084199e+01 1.062285283506470478e+03
7.455424940317742255e+01 9.167168195542055855e+02
7.242159136265888719e+01 1.085783597191310946e+03
7.447072829135055372e+01 1.036281321832196681e+03
7.393370602436768024e+01 9.946188823948267554e+02
7.533933978170318824e+01 1.168854336569896077e+03
7.608129437974244524e+01 9.625671094172122366e+02
7.394916824388143084e+01 1.106277578640778302e+03
7.961000138620738653e+01 1.097088411785712651e+03
7.704352748543895757e+01 1.012075585755464658e+03
7.536236476160308939e+01 9.693807492773267995e+02
7.006809126213600791e+01 9.648743972323335356e+02
7.117463176097942323e+01 9.818018618840167164e+02
7.268706369248039323e+01 1.023946102166468449e+03
7.800178175653802271e+01 8.336647215805827500e+02
7.716447062134018609e+01 9.568403958620463072e+02
7.503744323475734745e+01 8.726746638345769043e+02
7.645776706975625814e+01 1.128071720361436064e+03
7.672803883017802207e+01 1.051681995717962991e+03
7.378664840424664817e+01 1.053117442119450061e+03
7.214041879947089342e+01 9.094978776254883996e+02
8.194798594131719938e+01 1.262356341153480798e+03
7.235102236519942664e+01 1.167187841188053198e+03
7.590257833982445845e+01 1.160866201581329506e+03
7.597840225276347326e+01 9.867659857672964563e+02
7.554343180954907666e+01 1.016400585218928313e+03
7.309561693951265227e+01 9.128490110087776657e+02
7.657752629365265307e+01 1.067593883762106543e+03
7.038519855813522952e+01 1.031056294124453871e+03
8.138317342497126106e+01 1.099150588037273792e+03
7.485088325412299071e+01 9.439956004935028204e+02
7.695332055696913187e+01 1.070285023398320845e+03
7.569650493801252367e+01 1.161245612747863561e+03
7.386409091250240522e+01 1.022819431312444067e+03
7.500838389906169823e+01 1.021600482590338402e+03
7.371548569209033985e+01 1.089757732767525795e+03
7.259732333108728142e+01 1.170651690818061525e+03
7.223209153851443887e+01 9.857593324772375354e+02
7.496470117779709597e+01 9.519918825464942529e+02
7.235102236519942664e+01 1.167187841188053198e+03
7.753289384499797166e+01 9.681415904632676757e+02
7.524377369398607129e+01 9.573613714714052776e+02
7.525069124795332698e+01 1.109762672532966462e+03
7.848648001911999472e+01 1.026232713501552098e+03
7.718787496431554018e+01 1.024548208784045528e+03
7.695062649505211994e+01 1.040047499409608008e+03
7.605906644508428371e+01 1.060598154667903827e+03
7.598649048207693113e+01 1.161634061733039971e+03
7.731640900883920153e+01 1.004313842070516671e+03
7.229728127708463603e+01 8.318663541647306374e+02
7.356239723441717615e+01 9.934823294238495919e+02
7.835573123201669432e+01 9.267535931497534420e+02
7.437043463605985494e+01 1.005967192538888639e+03
8.215579936076737511e+01 9.723793251792689034e+02
7.214041879947089342e+01 9.094978776254883996e+02
7.638140376254014541e+01 1.088503954730248552e+03
7.442691146923726819e+01 1.063537513627582484e+03
7.667366561101762557e+01 1.009291400843640986e+03
7.535161240828915652e+01 9.554671555227041608e+02
7.405024144250627671e+01 1.079975705196040508e+03
7.322058611048272780e+01 1.013281895069425673e+03
7.528424044612116006e+01 9.434849762501462465e+02
7.598649048207693113e+01 1.161634061733039971e+03
7.318396352527962279e+01 1.027067707432941006e+03
7.212974802570570887e+01 1.098616453587009346e+03
7.093414629405174310e+01 1.224932009793658608e+03
7.500212875141890834e+01 1.146772020033225317e+03
7.424068387121546664e+01 1.125763475524714750e+03
7.402586605363507033e+01 1.196610298033776189e+03
7.558521255918762449e+01 9.882078488887271988e+02
7.421054935042918999e+01 1.022943100891195854e+03
7.311475723748633015e+01 1.100463053653013503e+03
7.456391225248356136e+01 1.001888535274121409e+03
7.414557091695854751e+01 9.743958728540003449e+02
7.841500067571439558e+01 9.889112903624311457e+02
7.404927088967178861e+01 1.033071380519179911e+03
7.810740036852817525e+01 1.090590997053236151e+03
7.661125122565138668e+01 9.049421868622455349e+02
7.319495323591519309e+01 1.208938180423070889e+03
7.445300126454561962e+01 1.015283977996921635e+03
7.520463365985040127e+01 9.512462423840714791e+02
7.227856426311754490e+01 1.114271628522618357e+03
7.515243419690844462e+01 1.007286371291466594e+03
7.304258061915169264e+01 1.126969846782701097e+03
7.644806251757817961e+01 1.128582542036355107e+03
7.758715297794891796e+01 1.120322635165571228e+03
7.242601742437190637e+01 1.276889878007392781e+03
7.788149624369521007e+01 9.919717060657443426e+02
7.617580177358193794e+01 8.781534318572045095e+02
7.275018846935005001e+01 1.110800750592882423e+03
7.811797785038633890e+01 1.104001757172573434e+03
7.635739111647302479e+01 1.249537034358837445e+03
7.323130422754680069e+01 9.838777002030852827e+02
7.457691069450108046e+01 1.040577534728686487e+03
7.329984411166499569e+01 1.014765153318149828e+03
7.374664461925868864e+01 8.361923493638915943e+02
7.297418040986281085e+01 1.106015427681640631e+03
7.333470097983445157e+01 1.080999156382740011e+03
7.665275873460139167e+01 1.071705672907616645e+03
7.426594418808852538e+01 1.124345329082141006e+03
7.806251512905495815e+01 8.427715371574162191e+02
7.543981405029536802e+01 1.016312244791812986e+03
7.290114432089649199e+01 9.553565397787408529e+02
7.397967677927769614e+01 9.205751651241879472e+02
7.452067086628491666e+01 1.236248691552481432e+03
7.265131310819609212e+01 9.678620445033342321e+02
7.656498551929459495e+01 9.351245091985067575e+02
7.601481213851369034e+01 8.974929693988315194e+02
7.506971954265739555e+01 1.110884031536812472e+03
7.649365773801460477e+01 9.180132687664350897e+02
7.758715297794891796e+01 1.120322635165571228e+03
7.637265122543357165e+01 1.006696705714246718e+03
7.640424047501821292e+01 9.637272159379307368e+02
7.927595706093464401e+01 1.246492230687096480e+03
7.487706831939826202e+01 8.330384043254729249e+02
7.496642575074446313e+01 1.074154708792120800e+03
7.821368740810304132e+01 9.598086660408658872e+02
7.503275206604092773e+01 9.323231073907495556e+02
7.878340978923968407e+01 1.036155218689220646e+03
7.512272227249306411e+01 1.047864865519268733e+03
7.475608965986184273e+01 1.102888103105583468e+03
