m0 c1 c2 c3 c4 c5 m_100 m_200 m_300 m_400
1.042733469625061637e+01 -3.400089200709986770e+00 9.311823574744284571e+00 -6.141894263835954604e+00 9.950323509166882019e+00 -3.182567784607646111e+00 1.526292746118391008e+01 1.507765746314365174e+01 1.594453278948657093e+01 1.255103260720470360e+01
1.106043872904908909e+01 -4.115163840370385628e+00 8.918999311803730734e+00 -6.094947278592727891e+00 9.889261459140207933e+00 -4.040578195140328788e+00 1.508017183952017604e+01 1.526951860552364160e+01 1.596353319326492226e+01 1.229084004333449442e+01
1.325458187384429110e+01 -5.663080643482571119e+00 9.196619360764660911e+00 -8.177583148812971103e+00 9.913415845167396157e+00 -5.599914948662881642e+00 1.533583979927608532e+01 1.514354028706121547e+01 1.599323865150427437e+01 1.266100750684848997e+01
1.100715963701437161e+01 -2.774689366679884195e+00 7.954167837263614871e+00 -5.371306532417431612e+00 9.281569230883992105e+00 -3.475378550252913534e+00 1.523804704004015775e+01 1.524400136738783118e+01 1.596859867103488817e+01 1.252184212300482358e+01
1.185435295118311139e+01 -4.273060060117309433e+00 8.657852231696217871e+00 -6.718636557738543402e+00 9.662712732824591200e+00 -4.217624153081591665e+00 1.510625657430474611e+01 1.509861159481762272e+01 1.600813173486641716e+01 1.268293834356344973e+01
1.553265864393538287e+01 -7.273145545955333802e+00 8.490680876073700034e+00 -9.128438199377672646e+00 9.312670336181646746e+00 -7.196630301492207948e+00 1.525566164715030659e+01 1.524422758773804709e+01 1.601196576497346413e+01 1.284093173185466874e+01
1.338666471202361308e+01 -4.790142839280373543e+00 8.141613976653964357e+00 -7.763932435697268986e+00 9.764073247627148788e+00 -5.702722480576921882e+00 1.517191922427869599e+01 1.506302566105112284e+01 1.603143282247497581e+01 1.264425627217490700e+01
1.129116821219412969e+01 -3.295841065187819829e+00 7.967029660200079633e+00 -5.921460917589745243e+00 9.896361830283989747e+00 -4.402759350446424413e+00 1.495803831294023212e+01 1.516250965225736280e+01 1.596718064092150513e+01 1.217687321437859538e+01
1.634206633212100002e+01 -7.861553677126202899e+00 7.911809474721593460e+00 -9.370419592536963549e+00 9.007114801707523100e+00 -7.761328905093327180e+00 1.493491554833826029e+01 1.511916580335765303e+01 1.594166341912106688e+01 1.286093532682285634e+01
1.000456058729511710e+01 -3.013682667616998323e+00 9.175037016034487181e+00 -5.818099850713758237e+00 9.933768032640383439e+00 -2.749963440109402413e+00 1.513669070201567379e+01 1.499651219060947582e+01 1.594976278264244662e+01 1.259325231080214280e+01
1.514898707837819103e+01 -5.248584825960286082e+00 6.360150705703844665e+00 -7.780831794600125306e+00 9.649790847065190746e+00 -7.677247314041061976e+00 1.482706778916950618e+01 1.532935454200377734e+01 1.622542529231087371e+01 1.234050688627173997e+01
1.321684680565046222e+01 -6.101631391675217841e+00 8.977984188591300097e+00 -7.642439915069696887e+00 9.757445837442222825e+00 -5.834411186623190915e+00 1.511434259982556405e+01 1.532265192121247388e+01 1.594742428458305028e+01 1.236402343536695092e+01
1.048041683739518604e+01 -3.307994066861159155e+00 9.037611783863006565e+00 -6.045306008552876698e+00 9.905785252031233057e+00 -3.012817625717898906e+00 1.515209822821734598e+01 1.506943308952110883e+01 1.607853164168793114e+01 1.275690756428212325e+01
1.522467613705818934e+01 -8.029500504591366550e+00 9.527013114965416918e+00 -9.631661808899004029e+00 9.987271219954770629e+00 -7.646866732075739748e+00 1.530633398598881278e+01 1.530746047954273692e+01 1.593213136719543144e+01 1.243503388617792638e+01
1.188413596484045520e+01 -4.280523615982994912e+00 8.543742665814711756e+00 -6.642811048914705196e+00 9.858395633357986299e+00 -4.546523193630670256e+00 1.508622270497289541e+01 1.520817511852418136e+01 1.606457482986917995e+01 1.251150171562352931e+01
1.182480753559002373e+01 -4.324692554673099210e+00 8.464272947846701811e+00 -6.341536397067828013e+00 9.516840121144866771e+00 -4.351709459141414271e+00 1.505930672868697151e+01 1.521514418661080370e+01 1.595333797526892106e+01 1.247969857520090642e+01
1.072193079116696346e+01 -2.616650696595109515e+00 8.014401420574390755e+00 -5.525495971432198061e+00 9.551360392642401109e+00 -3.319179142782951786e+00 1.505363393613197331e+01 1.504728070810356222e+01 1.596428747453562025e+01 1.253630417528824736e+01
1.094864536616690742e+01 -2.930311100472801300e+00 7.517610189697375489e+00 -5.151551334465692022e+00 9.420011130663922927e+00 -3.349518747060077573e+00 1.480200828378886690e+01 1.522039811400912157e+01 1.619734194043368802e+01 1.269799562144177152e+01
1.099863657445720122e+01 -3.620553503901325243e+00 8.606401638820571520e+00 -5.918811542905211276e+00 9.936141862099752586e+00 -3.936079067944390886e+00 1.512010552264496077e+01 1.530376716448964558e+01 1.608201422005897641e+01 1.238250207416677817e+01
1.171208535950148466e+01 -3.827567412263763735e+00 8.482173505927026014e+00 -6.442642999347617305e+00 9.810426081525498887e+00 -4.474113969244286615e+00 1.524305524490537245e+01 1.524095445468398680e+01 1.600658055569844862e+01 1.240932310872931588e+01
1.085279576054178818e+01 -3.224707436759710610e+00 8.176211554774475587e+00 -5.410091330315636604e+00 9.658485513113301835e+00 -3.636324073818302693e+00 1.505847508364215415e+01 1.533145536580769352e+01 1.609505961336726187e+01 1.243221077131977381e+01
1.254290624014348765e+01 -4.246836697176687103e+00 8.066950009273167410e+00 -6.816653832239932598e+00 9.635760867212635361e+00 -5.053192137885022639e+00 1.514743257208277250e+01 1.520486727801875837e+01 1.602380647060205376e+01 1.249975578549847022e+01
1.204569639965676942e+01 -3.250442949036171925e+00 7.509058353724327617e+00 -6.275478217766933042e+00 9.623874625716496212e+00 -4.821491451345912616e+00 1.502587937017229613e+01 1.506944979637934523e+01 1.591905007082810464e+01 1.229441405311512625e+01
1.180812821403763024e+01 -2.576019402758187304e+00 6.672449919111102190e+00 -5.399253122902469393e+00 9.498112588772091414e+00 -4.623223620708603043e+00 1.487740120898846996e+01 1.524250544329584400e+01 1.610170228061009823e+01 1.228835170198228255e+01
1.071112299804144641e+01 -1.801075414502443905e+00 7.077817727991021712e+00 -5.062676399608410094e+00 9.924250345459849854e+00 -4.078597056570801627e+00 1.492365692094755758e+01 1.516499502429108404e+01 1.602878104988129593e+01 1.204475256532638205e+01
1.041615888407790713e+01 -2.507577486287879687e+00 7.864524202145048548e+00 -5.098974302978432682e+00 9.782006186557985927e+00 -3.620391440570073449e+00 1.495070787324069528e+01 1.519101588901707700e+01 1.594609335472962997e+01 1.212530875124744689e+01
1.556379597485126709e+01 -7.261224800566198567e+00 8.401498460254796186e+00 -8.928883882246761772e+00 8.811645280648253475e+00 -6.720193458716638979e+00 1.526336903886817531e+01 1.518303232133322744e+01 1.594015030454862369e+01 1.307063885992686458e+01
1.006536741836860038e+01 -3.140579939437876611e+00 9.066798009921125612e+00 -5.605654583737147867e+00 9.792951224099084584e+00 -2.787752002299511922e+00 1.512166873323972816e+01 1.509641649710087563e+01 1.595962919364905019e+01 1.255836721224439856e+01
1.024133287982113671e+01 -2.314797775581815209e+00 8.201344201994679395e+00 -5.340282598576322037e+00 9.956930742727795547e+00 -3.235458396161062566e+00 1.511121747843627006e+01 1.516345527167213980e+01 1.608102993950842574e+01 1.241266177392191850e+01
1.167821989865520038e+01 -4.264651291896576879e+00 8.600267776766440164e+00 -6.540750621303370593e+00 9.983732816548251066e+00 -4.642959502024716301e+00 1.502425281199935547e+01 1.520372138755811520e+01 1.599523331510732049e+01 1.229961582416260768e+01
1.015570686891209462e+01 -1.512999551562387524e+00 6.796905250188544301e+00 -3.992713773683806977e+00 8.949832631536260408e+00 -2.710039400483950978e+00 1.479435049954119030e+01 1.514234623825830894e+01 1.594316738621545504e+01 1.240865955139678434e+01
1.023411796163971843e+01 -2.107791871403281725e+00 7.366882801617105514e+00 -4.027013046773394223e+00 8.607637791352914292e+00 -2.350822965972553469e+00 1.501885530332672580e+01 1.529273352685425635e+01 1.594698638656786827e+01 1.264022586268178117e+01
1.607533876994858701e+01 -5.970927965734821541e+00 6.927100568704084083e+00 -9.197349345072273863e+00 9.888683407829027772e+00 -8.523260598402290000e+00 1.504601699197822029e+01 1.511570285913570366e+01 1.608707903762436331e+01 1.238009207699616709e+01
1.278204753459930210e+01 -4.279762889637568790e+00 7.696452498631231265e+00 -6.766268886711880981e+00 9.711018797261637303e+00 -5.303157170431815004e+00 1.503407381750998084e+01 1.527703649635074434e+01 1.616664709076263762e+01 1.253727024917242261e+01
1.510601296344464828e+01 -6.334390910263437924e+00 7.707393229489856168e+00 -8.728825056726474685e+00 9.948798274303062072e+00 -7.476730148011299093e+00 1.494046833806733865e+01 1.521707740728952807e+01 1.619835866744357844e+01 1.256571243800373239e+01
1.102578743338652778e+01 -4.486911113356794267e+00 9.173538125059394588e+00 -5.982803510612966669e+00 9.469670673862111698e+00 -3.596154718261979077e+00 1.509075353305495426e+01 1.525673765100147961e+01 1.587718455374045590e+01 1.246399752082717427e+01
1.243463687887225610e+01 -4.094246615977496617e+00 8.401486663536502419e+00 -6.915654499239256126e+00 9.766639017888735452e+00 -4.901051660881546645e+00 1.542560604744672759e+01 1.532112639483335315e+01 1.612561591956731633e+01 1.261337778379704844e+01
1.478011466422766418e+01 -7.033117818891109430e+00 8.745394830465109237e+00 -8.583415607343290787e+00 9.123187154619362360e+00 -6.336617241122748823e+00 1.521789883184966996e+01 1.522514499528148946e+01 1.595927405722665071e+01 1.291014437703197970e+01
