weight logl m0 c1 c2 c3 c4 c5 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -2.761217311473616428e+04 1.863138389479303925e+01 6.182609072970571162e+00 -3.168571928428615792e+00 -8.060212446418502097e+00 -7.134965483079341197e+00 -9.724217695473068801e+00 1.325034907833626185e+01 3.842455498759212773e+00 3.494792685384311426e-01 3.455634123160498561e+00
0.000000000000000000e+00 -2.761046809246779230e+04 1.126149447391377834e+01 -4.685784210139409822e+00 -1.291577114962514372e-01 4.380311290658456258e+00 -8.391728594431739907e+00 -9.064804638535173709e+00 9.710660221518867985e+00 8.612687135595802346e+00 -4.105691726199722780e-02 -2.303346894000469547e+00
0.000000000000000000e+00 -2.741519231288506853e+04 1.735241513898970567e+01 6.736319827475057309e+00 6.977029561882677200e+00 6.969311303055615525e+00 2.046251796852144977e+00 -6.084018974086163212e+00 3.285167291302984438e+01 2.988290255808033180e+01 2.095469590172175245e+01 1.353247191715147935e+01
0.000000000000000000e+00 -2.741077107266348321e+04 1.764465941894722079e+01 1.090401753174008448e+00 1.182547303166352037e+00 5.587619033716821448e+00 7.222857403406052867e+00 8.575920340534981534e-01 2.386466551496629762e+01 2.859404640543067444e+01 2.894888858679118471e+01 2.365284062637999796e+01
0.000000000000000000e+00 -2.719429805541029054e+04 1.866131499345477351e+01 3.894089722963942179e+00 -8.196641463286816531e+00 2.470091423799740227e+00 9.536452548808988183e+00 5.328358584619007132e+00 1.567455574348186609e+01 2.319216557268833512e+01 3.186173120583510254e+01 3.001836481621227293e+01
0.000000000000000000e+00 -2.710197084076840110e+04 1.049749680268659979e+01 -7.193032299803476803e-01 -6.319265575607282415e-01 -3.738135791735546221e+00 -3.362928306542690926e+00 -4.979930829643323342e+00 6.651551925438123902e+00 3.565051599079263944e+00 1.753281100116277358e+00 2.964683813266045576e+00
0.000000000000000000e+00 -2.615568282510913559e+04 1.297806347969609853e+01 8.529840423228343127e+00 7.893576014178826483e+00 7.142810895721570574e+00 5.716315617841649654e+00 -1.555615565365419783e+00 3.113392090308368410e+01 2.931954962209920268e+01 2.324622168056403382e+01 1.594679408412367749e+01
0.000000000000000000e+00 -2.614573340573476162e+04 1.171463958816410766e+01 8.183242952348376065e+00 -6.318556728169375525e+00 9.892533076611677245e+00 8.591679178115217752e+00 8.971356382815930175e+00 1.762201532170604779e+01 2.530751368378410504e+01 3.098363003802797166e+01 2.716847392413799867e+01
0.000000000000000000e+00 -2.599300462207716919e+04 1.306008177240522805e+01 5.876766573321315690e+00 4.799299367603367727e+00 -9.381395968472288516e+00 -4.982075160701073813e+00 -4.016271073427319926e+00 1.501484866648846861e+01 3.819617367004484620e+00 6.667103009415615844e-01 4.807682320090899353e+00
0.000000000000000000e+00 -2.553063664041713128e+04 1.145021608279142278e+01 -9.104512457957996574e+00 5.866695709711454043e+00 -6.873467391793226966e+00 -4.658440913971027442e+00 -2.240103494494758429e+00 6.970440410859163549e+00 3.774265456223801607e+00 1.956943934981275390e+00 5.516521569882724130e+00
0.000000000000000000e+00 -2.529953614843321702e+04 1.138639196887499949e+01 -2.526607537847969098e-01 2.752087823988189186e+00 -8.053578599269810567e+00 -5.350831475671602888e+00 1.316143854640642985e+00 8.390955702537572947e+00 1.900522454797307859e+00 2.318747530484978725e+00 8.397647313634109878e+00
0.000000000000000000e+00 -2.509744971548947797e+04 1.181833173733934572e+01 -2.595510443134232403e+00 -8.894443492533046225e+00 -1.596088813997887712e+00 -3.856098615101082316e-01 -5.679047299052384368e+00 2.662796455149809560e-01 3.473766424648694340e+00 5.787563223859896411e+00 5.589714064158201268e+00
