A w B x0 k f sigma_v
4.800777944571375144e+01 5.602097744355362785e+00 5.896803016658373053e+01 -7.220561178335831443e-01 5.481005785148878040e-01 2.689442729443427282e+01 5.602097744355362607e+01
6.121372194422354340e+01 5.131421089419630377e+00 5.600193228472716100e+01 -2.666032030730374203e-01 5.545354552662209446e-01 3.141133837464578704e+01 5.131421089419630732e+01
5.033535432051940006e+01 4.544365456243173007e+00 5.981479428111634888e+01 -6.190039984946871243e-02 5.949403404126958339e-01 2.287422454019289120e+01 4.544365456243173185e+01
5.599793635355077015e+01 4.861747188668582353e+00 6.008130151528902019e+01 -8.352653519732822218e-01 7.146668240490843260e-01 2.722478096381176371e+01 4.861747188668581998e+01
5.719483407839482680e+01 5.187073947297061061e+00 6.022032504454658408e+01 -2.295736434429134221e-01 6.512516930952332306e-01 2.966738337680198967e+01 5.187073947297061238e+01
5.440707093038340503e+01 5.043400650411186348e+00 6.072288401474254016e+01 -8.314892361703840606e-02 7.079104497437953558e-01 2.743966569172632219e+01 5.043400650411186348e+01
5.360941279009428939e+01 4.435313879911685575e+00 6.102347901199194524e+01 -4.959283429703873480e-01 6.449211061130850631e-01 2.377745726418202565e+01 4.435313879911685575e+01
4.893007154857708940e+01 5.573264241365738947e+00 5.879923087525639147e+01 -7.857540968601242071e-01 5.228893711076456619e-01 2.727002180891518179e+01 5.573264241365738769e+01
6.193380995372466913e+01 4.498036013736779637e+00 5.806090308517024567e+01 -7.545282708356815249e-02 5.907666973034877422e-01 2.785805076397829794e+01 4.498036013736779637e+01
5.648511908058303277e+01 4.507751660555969764e+00 6.068866280486676601e+01 -7.849490868904851482e-02 5.824603778054981973e-01 2.546208893321998445e+01 4.507751660555969409e+01
4.670287125445603493e+01 4.447073548410923394e+00 6.184278574203525380e+01 1.804767214643572260e-01 4.110788032290115801e-01 2.076911033905323123e+01 4.447073548410923394e+01
5.384611810357415607e+01 4.932442265539464188e+00 5.956478604385474540e+01 -9.583222272697700106e-01 6.261456570236130226e-01 2.655928687692988888e+01 4.932442265539464188e+01
5.151339094906124672e+01 4.842509099500974301e+00 5.836916518006312060e+01 -8.786708945755954403e-01 6.230921923190033684e-01 2.494540644169802235e+01 4.842509099500973946e+01
5.345717338177754385e+01 4.654793074071520209e+00 6.157088021318664062e+01 -7.003965431606129499e-01 5.465123845265760227e-01 2.488320804169385525e+01 4.654793074071520209e+01
5.555318076070672362e+01 5.130109570163083887e+00 5.874937395524971606e+01 -7.275329488066510919e-01 6.299302402673849777e-01 2.849939042735012507e+01 5.130109570163084243e+01
5.490318451881785933e+01 4.945857237898273695e+00 5.911691625906981784e+01 -2.961281919204576951e-01 6.692478069176972522e-01 2.715433125360597799e+01 4.945857237898273695e+01
4.702469557270842415e+01 5.225927013645965680e+00 6.010446742021470357e+01 2.284161572173495358e-01 6.244845206210607458e-01 2.457476269018948045e+01 5.225927013645965502e+01
5.300696017683408456e+01 5.114011464707261645e+00 5.755310225609524366e+01 -1.275482492037980364e-01 5.862334574986480806e-01 2.710782020536107595e+01 5.114011464707261467e+01
5.884225670074757630e+01 4.226344906000928603e+00 6.165811704943182292e+01 -3.348832272074648841e-01 4.578632938799021002e-01 2.486876718648035123e+01 4.226344906000928603e+01
5.793869204245550719e+01 4.513560515903021653e+00 5.956971016775018057e+01 -1.252255703832577893e+00 6.253021737427799653e-01 2.615097927458917937e+01 4.513560515903022008e+01
4.466437459091389428e+01 5.682102208763759599e+00 5.989251103953289146e+01 1.341304106190648326e-01 5.424212086766644347e-01 2.537875415160837989e+01 5.682102208763759421e+01
5.581368043436367543e+01 5.832130090689526369e+00 5.597522952157331133e+01 -4.982507379329650377e-01 5.568282651022051777e-01 3.255126451333816817e+01 5.832130090689526014e+01
5.183024270070158934e+01 4.775192644956386623e+00 6.216170058398692078e+01 -7.176878891799081117e-01 6.588879217896490559e-01 2.474993937306946634e+01 4.775192644956386800e+01
6.348011469326196021e+01 4.231160849811532287e+00 6.010262321277988207e+01 -3.490290784392566792e-01 6.015346829255756589e-01 2.685945760316757713e+01 4.231160849811531932e+01
6.116018712888200071e+01 4.292699854054760067e+00 5.966768651085921960e+01 -1.915760152707353114e-01 5.686991396794911502e-01 2.625423263621135561e+01 4.292699854054760067e+01
5.652501970746981641e+01 4.515074337736134424e+00 5.868703014610549218e+01 -8.489141201182306418e-01 6.509287123693658916e-01 2.552146659212262492e+01 4.515074337736134424e+01
5.510580279155079353e+01 5.181174898801921280e+00 5.700390631157401344e+01 -6.832851051838808587e-01 6.269942474109491126e-01 2.855128022019118106e+01 5.181174898801921103e+01
4.972972325297980234e+01 5.197784967727601568e+00 6.045589992817832581e+01 -7.533124158327506592e-01 5.389776361348006528e-01 2.584844079735921696e+01 5.197784967727601213e+01
5.387013858352345608e+01 5.190483583205718787e+00 5.994029460217541327e+01 -7.347223516940033505e-01 5.651635334085522988e-01 2.796120699427954648e+01 5.190483583205718787e+01
5.345717338177754385e+01 4.654793074071520209e+00 6.157088021318664062e+01 -7.003965431606129499e-01 5.465123845265760227e-01 2.488320804169385525e+01 4.654793074071520209e+01
4.875337208661786548e+01 5.144921380631150676e+00 6.143227865597057047e+01 -3.916170733746984212e-01 6.682091788420314593e-01 2.508322664263062052e+01 5.144921380631150498e+01
5.709866715465715714e+01 5.152857246608403052e+00 5.713927682303575750e+01 -4.265936333353455012e-01 4.760193125911720280e-01 2.942212808195563412e+01 5.152857246608402875e+01
5.697261661773609376e+01 5.126111563516547953e+00 5.875837161819119814e+01 -5.462655387844073118e-01 6.942446850747330256e-01 2.920479888479720287e+01 5.126111563516548131e+01
5.624321177914207937e+01 4.745437117694292439e+00 6.032187137819088463e+01 -5.360265602557792164e-01 5.472740572706691342e-01 2.668986247950816804e+01 4.745437117694292795e+01
5.376968420868107046e+01 4.641654703509813018e+00 6.132100257626892414e+01 -8.557022327960552843e-01 6.247811936106708597e-01 2.495803076134617982e+01 4.641654703509813373e+01
4.854612754878024106e+01 5.548417535337120121e+00 5.767137473413747983e+01 1.283627083156702042e-02 5.724360610565133456e-01 2.693541853643647599e+01 5.548417535337119944e+01
5.939437074160353092e+01 4.741935545731490897e+00 5.962066189019212459e+01 -5.622110706023857318e-01 5.605034119445648777e-01 2.816442778359642674e+01 4.741935545731490720e+01
4.958276578255567557e+01 5.003472317611759479e+00 5.925022935083524800e+01 6.251383938472780954e-01 4.915748333308218587e-01 2.480859960236448813e+01 5.003472317611759479e+01
5.214348625076006272e+01 5.528553961113623849e+00 5.801098054887571465e+01 -4.172689069988706478e-01 5.717234908022084117e-01 2.882780774579133620e+01 5.528553961113623672e+01
5.167639945696836890e+01 4.929319547769193122e+00 5.800178133559744964e+01 -9.289844860585656505e-01 4.661331820980756380e-01 2.547294860015635010e+01 4.929319547769193122e+01
6.112461179838851422e+01 4.789592668508171336e+00 5.824593365245256393e+01 -2.095153074952804673e-01 5.500581622349371980e-01 2.927619925349696928e+01 4.789592668508171158e+01
5.885669459691893479e+01 4.481655279784488854e+00 6.060157223201004939e+01 -2.265982562235819842e-01 6.099290836372459612e-01 2.637754160909449297e+01 4.481655279784489210e+01
4.973078965801732920e+01 4.666090329229342082e+00 5.932505944403041553e+01 -1.172219068639847706e+00 6.914304196881686515e-01 2.320483566882132465e+01 4.666090329229341904e+01
6.059007399039108321e+01 5.087443932880852060e+00 5.820566382113613457e+01 -3.466186245790972009e-01 5.866091158472981348e-01 3.082486043152170652e+01 5.087443932880852060e+01
5.681866661578934696e+01 4.905167746195242096e+00 5.937359325593737225e+01 -5.291068686766706719e-01 6.780992339808458169e-01 2.787050908655902504e+01 4.905167746195242273e+01
5.405003920212385538e+01 5.528847903246206563e+00 5.805497959163069766e+01 -4.068415178399344967e-01 6.826308065409338877e-01 2.988344459130377828e+01 5.528847903246206386e+01
5.437119153850522935e+01 5.252668968892108659e+00 5.730368140924502285e+01 4.611063755928945795e-02 6.648881721243611320e-01 2.855938705959956181e+01 5.252668968892108836e+01
5.990419640837541948e+01 4.827940821914372904e+00 5.936719535420847649e+01 1.847031212821974577e-01 5.346653964399112891e-01 2.892139152439720462e+01 4.827940821914373259e+01
