weight logl C sigma mu1 a1 W lam0
1.381942862102242988e-94 -4.411675246644418849e+02 2.730118871807638925e+02 6.225063558948141784e-01 1.213978531033229274e+03 1.841111707835627271e+02 6.743705290079947678e-01 1.213978531033229274e+03
1.435788214989447228e-94 -4.411268010674267543e+02 2.729737034932838355e+02 2.934770683877175657e+00 1.215885304203368378e+03 9.877985474929543841e+01 3.618658262140103665e-01 1.215885304203368378e+03
3.772550663077914524e-94 -4.401582637034319418e+02 2.727004706745890985e+02 1.714840999248351538e+00 1.210673775389234606e+03 1.131183384342562732e+02 4.148080058477028320e-01 1.210673775389234379e+03
3.892934807022711327e-94 -4.401243517222955006e+02 1.020331036695389315e+02 2.700128513122354024e-01 1.218524715867864415e+03 1.606833161614533196e+02 1.574815529299868677e+00 1.218524715867864415e+03
3.982203006966456822e-94 -4.400991798590789585e+02 2.729349455214617706e+02 4.100739679594855858e-01 1.215770971738006892e+03 3.756855608371110407e+02 1.376465590067028177e+00 1.215770971738006892e+03
2.235179704062906224e-93 -4.383716083222485622e+02 1.021966761173540732e+02 7.438259726522632453e-01 1.211282468555349851e+03 1.244215348092047719e+02 1.217471443653701080e+00 1.211282468555349851e+03
9.071210479425754740e-93 -4.369683242366680247e+02 2.718561644056442219e+02 6.805182391807661491e-01 1.218650342638684606e+03 1.673990720740067104e+02 6.157633851709386485e-01 1.218650342638684606e+03
6.532291139180742545e-92 -4.349915871132595839e+02 1.025006663416195352e+02 6.744497420708379654e-01 1.215724551842521805e+03 2.505324412975211601e+02 2.444203049983437737e+00 1.215724551842521805e+03
7.146213533381904043e-92 -4.348992622179098362e+02 2.714046626677561562e+02 2.063229833007456104e+00 1.215140118810475997e+03 3.472159705454129153e+02 1.279329423203249272e+00 1.215140118810475997e+03
1.566720115215737790e-90 -4.318091903370410023e+02 2.704983176679871804e+02 1.196561724263167203e+00 1.218598830996427523e+03 3.483112396827224870e+02 1.287665086739074649e+00 1.218598830996427523e+03
2.546736303853747886e-90 -4.313208620140204630e+02 1.030759404573926332e+02 4.213915756459440942e-01 1.216345772599818702e+03 2.158096091319087009e+02 2.093695271411232461e+00 1.216345772599818702e+03
4.560671522175757256e-90 -4.307357047962830165e+02 2.701418282642399049e+02 6.174961531849536556e-01 1.216750528298415929e+03 4.981622543621413257e+01 1.844076711714791039e-01 1.216750528298415929e+03
4.990951427764149391e-90 -4.306430481141267137e+02 1.035196610753979343e+02 1.535125790313116800e+00 1.211243842039356423e+03 3.954929196240031501e+02 3.820461886326581347e+00 1.211243842039356423e+03
5.352807784872567497e-90 -4.305705534297615031e+02 1.032327039000691116e+02 5.340487725617268921e-01 1.214764161576505558e+03 1.780477740471655466e+02 1.724722566789673506e+00 1.214764161576505558e+03
4.295821524170828719e-89 -4.284854467679174945e+02 2.695162222560302325e+02 3.209437563180821407e-01 1.212188259309116575e+03 5.633039998345519450e+01 2.090056008945667121e-01 1.212188259309116575e+03
8.187391900891950669e-89 -4.278379941816783685e+02 1.040581656493990721e+02 3.535355135813459393e-01 1.211357679399078052e+03 3.906662172999182872e+02 3.754306208089248198e+00 1.211357679399078052e+03
1.688210531283767184e-88 -4.271118353758929516e+02 1.037361942770819212e+02 2.203068656711842710e+00 1.215399939034476802e+03 1.149350474375618916e+02 1.107955118640342240e+00 1.215399939034476802e+03
2.180865261917553080e-88 -4.268532827794241484e+02 2.691017820846806217e+02 2.728024715580100734e-01 1.214136063427214822e+03 1.638141094617940325e+02 6.087440528738126133e-01 1.214136063427214822e+03
2.612539966757256213e-88 -4.266701815711597874e+02 2.690937310369002944e+02 2.223395747631127684e+00 1.216594402119120559e+03 2.333202911583931325e+02 8.670595567549598259e-01 1.216594402119120559e+03
8.861281472773139049e-88 -4.254463130967025677e+02 2.686625465060099032e+02 2.034319773380473872e+00 1.216382417626315146e+03 6.806288389827663821e-01 2.533396812597921502e-03 1.216382417626315146e+03
2.233169575190994710e-87 -4.245194974831208583e+02 2.684589916562629810e+02 1.982449066276960048e+00 1.210802832313886256e+03 2.506692695336865881e+02 9.337339307846522773e-01 1.210802832313886256e+03
2.776845723744840089e-87 -4.242991037418457836e+02 2.684518519529082710e+02 2.011608885243544087e+00 1.215631187482700625e+03 2.400701488220064164e+02 8.942763742383100789e-01 1.215631187482700625e+03
3.475780912607208308e-86 -4.217695151238031599e+02 2.676629630059767351e+02 2.455572956295705822e+00 1.219605976339852759e+03 1.128536843851087212e+02 4.216260745144212452e-01 1.219605976339852759e+03
5.769628678350123761e-86 -4.212602265760154978e+02 1.049573750307477980e+02 8.155687290994292349e-01 1.212493997326163026e+03 3.724013833400579188e+02 3.548120208141267273e+00 1.212493997326163026e+03
4.118527746099809916e-85 -4.192922534513123765e+02 2.670474463033884831e+02 1.908242198164910697e+00 1.212363758353173353e+03 3.114484554327412980e+02 1.166266368557254518e+00 1.212363758353173353e+03
4.607295295441000775e-85 -4.191776082266102321e+02 1.049073918296376036e+02 9.800869488596664070e-01 1.215256260586526423e+03 3.578864940703223283e+02 3.411451641572649240e+00 1.215256260586526423e+03
5.857054194232800366e-85 -4.189351024276674593e+02 2.669191303875267067e+02 1.683959513392983887e+00 1.213070544851379509e+03 1.942658012985087339e+02 7.278077109589852212e-01 1.213070544851379509e+03
6.479587275391002864e-85 -4.188315923913654046e+02 2.668251373125558530e+02 1.862785278887246765e+00 1.210196516806171530e+03 2.280837699476223435e+01 8.548061559898971484e-02 1.210196516806171530e+03
8.489574500039450865e-85 -4.185589103263455399e+02 2.668298676125441489e+02 2.653601040018414903e+00 1.211404126556893289e+03 3.400691272042977857e+02 1.274479241199872881e+00 1.211404126556893289e+03
3.807658896172217557e-84 -4.170556495773058714e+02 2.664287237471926915e+02 9.913399091590220369e-01 1.215098175573724802e+03 1.885526840347571067e+02 7.077040395001473749e-01 1.215098175573724802e+03
6.204684383694984270e-84 -4.165648595621105414e+02 1.052332762483068791e+02 2.347985997422675108e+00 1.210229922668958352e+03 1.340127408550798016e+01 1.273482548798208214e-01 1.210229922668958352e+03
6.317758726891142445e-84 -4.165442996011968262e+02 1.052411182904480711e+02 2.017165132349875378e+00 1.217389537282323772e+03 1.767212196274932268e+01 1.679203171708722186e-01 1.217389537282323772e+03
1.269263962923950726e-83 -4.158441418459340184e+02 2.661475588919043958e+02 1.998905765912306842e+00 1.216084728063493685e+03 3.716818013685112305e+02 1.396525306923703358e+00 1.216084728063493685e+03
6.162612218920857629e-83 -4.142615782724739120e+02 2.655402331988684637e+02 1.696551829935472711e+00 1.216214690639799983e+03 1.035523448467343677e+01 3.899685693549192339e-02 1.216214690639799983e+03
6.208148916030206883e-82 -4.119491311582939375e+02 2.649018558213218739e+02 1.025969505370921020e+00 1.219831919385768288e+03 1.656494363634854494e+02 6.253238047347510209e-01 1.219831919385768288e+03
1.251976944805966160e-81 -4.112451849778390738e+02 1.060602025290029644e+02 4.987373486858847071e-01 1.219303072031925240e+03 1.701269180783779689e+01 1.604059902033993235e-01 1.219303072031925240e+03
5.079046904090492524e-81 -4.098422852089726689e+02 1.062595367755834843e+02 1.254814022490829073e+00 1.218693716408635282e+03 4.547932157989720281e+00 4.280022571145588456e-02 1.218693716408635282e+03
1.014839979506018130e-80 -4.091475927982559710e+02 1.067887034962803341e+02 8.633154515824208453e-01 1.212129504622233981e+03 3.653590802999332823e+02 3.421327053686530562e+00 1.212129504622233981e+03
3.274294781080098889e-80 -4.079737212307834966e+02 1.065870955755097640e+02 2.492290073646791004e+00 1.210489120007183146e+03 6.663062892037649476e+01 6.251284788332860387e-01 1.210489120007183146e+03
7.251762915387852631e-80 -4.071760791426107176e+02 2.635184990844554704e+02 6.490307913023120046e-01 1.216799166000689183e+03 7.510358132938765863e-01 2.850030703359371972e-03 1.216799166000689183e+03
1.709567689827045695e-79 -4.063159981240822844e+02 2.633572733891749067e+02 1.324626177805289906e+00 1.218190723438338637e+03 2.885412402075012324e+02 1.095626623461850802e+00 1.218190723438338637e+03
3.444680922163107815e-79 -4.056129073700537901e+02 2.631073335986633310e+02 7.100356817400109710e-01 1.217334875684960480e+03 1.029476031478699980e+02 3.912760687427414563e-01 1.217334875684960480e+03
6.056132542115616765e-79 -4.050461672476894819e+02 2.629779519537227088e+02 5.806677533055271123e-01 1.212207145473528499e+03 2.425429422143545253e+02 9.222938288645421423e-01 1.212207145473528499e+03
