C sigma mu1 a1 W lam0
1.752215248557879477e+02 6.969887479190267632e-01 1.219933522884340164e+03 3.932599861528665031e+01 2.244358884997320336e-01 1.219933522884340164e+03
1.692386746307602721e+02 1.933774685463085952e+00 1.213149299789905172e+03 2.995157286680829429e+02 1.769782996242183604e+00 1.213149299789905172e+03
1.727669657691894827e+02 2.586780153805213756e-01 1.217888257755678296e+03 2.806027070198652495e+02 1.624168751072126105e+00 1.217888257755678296e+03
1.808596909216491895e+02 1.485883001456669072e+00 1.217530622734901726e+03 5.234271996678501182e+01 2.894106458993152553e-01 1.217530622734901726e+03
1.769777101444253731e+02 2.082547972424885874e+00 1.214497987411954227e+03 8.564730845005605886e+01 4.839440423325754304e-01 1.214497987411954227e+03
1.742714331039751698e+02 1.254102207591349050e+00 1.216187595257870726e+03 2.468354725183735070e+02 1.416385164923184004e+00 1.216187595257870726e+03
1.752522535752972885e+02 1.783019712935284051e+00 1.212196437365315205e+03 3.253829470151346186e+02 1.856654852517109155e+00 1.212196437365315205e+03
1.650571677519080538e+02 2.078023495301610346e+00 1.215429631363355156e+03 1.815151072531163834e+02 1.099710541052938195e+00 1.215429631363355156e+03
1.790389109835888917e+02 1.323671602971087102e+00 1.214620066962768760e+03 2.879213234056778674e+02 1.608149434242645670e+00 1.214620066962768760e+03
1.834337553906760263e+02 1.087551781878649315e+00 1.210297197115501604e+03 6.959580229667069773e+01 3.794056450975776262e-01 1.210297197115501604e+03
1.732814158676371790e+02 1.709936490799231157e+00 1.211631780462108736e+03 3.484245646732684918e+02 2.010743985029625147e+00 1.211631780462108736e+03
1.715330774655255368e+02 2.900624212636428556e+00 1.213567959688445171e+03 1.198169639630012568e+02 6.985064672851910572e-01 1.213567959688445171e+03
1.725659802797299562e+02 2.703766610042851237e+00 1.214770035657448716e+03 2.023645014767517694e+02 1.172679001670655641e+00 1.214770035657448716e+03
1.733189339953457306e+02 8.260032358189666191e-01 1.217791927226865027e+03 8.430664534593610426e+01 4.864249012066971245e-01 1.217791927226865027e+03
1.763427943318658606e+02 2.032276266077280291e-01 1.210594533391949881e+03 3.486424033364799584e+02 1.977072012822691516e+00 1.210594533391949881e+03
1.724028770896221090e+02 6.834266476912946864e-01 1.211164828778777974e+03 1.564433495532269092e+02 9.074288793446365631e-01 1.211164828778777974e+03
1.652255229882677554e+02 6.103607806589247398e-01 1.215288444492085318e+03 2.621384208372982130e+02 1.586549197098997777e+00 1.215288444492085318e+03
1.703743598485496875e+02 5.325778767084268228e-01 1.214744004428658627e+03 3.071141589087402508e+02 1.802584374677869583e+00 1.214744004428658627e+03
1.774072876117434419e+02 1.593240101289848054e+00 1.216385728546373912e+03 3.622461239849920389e+02 2.041889760344958837e+00 1.216385728546373912e+03
1.748207516743696033e+02 1.461270589702442280e+00 1.210916686185615617e+03 1.651301059827821973e+02 9.445681041937302735e-01 1.210916686185615617e+03
1.704621152536281556e+02 2.845382291700248700e+00 1.218147569061972490e+03 8.350068951018604935e+01 4.898489578516995735e-01 1.218147569061972490e+03
1.666215563815258633e+02 2.130745433479578121e+00 1.216286393445543354e+03 3.905261162619485731e+02 2.343791072073121651e+00 1.216286393445543354e+03
