H0 sigma
7.115278031704410466e+01 5.352612308398438472e+02
7.276368416024892838e+01 5.334945031082598916e+02
7.215205821367150918e+01 4.885543174351220728e+02
7.352244379487171955e+01 5.566686413217983045e+02
7.417045566592668138e+01 4.722160406179637562e+02
7.265989651778360781e+01 5.251902048805428649e+02
7.099293297101139899e+01 5.138640933639146624e+02
7.245971179896888259e+01 4.299842098139212112e+02
7.272143288195947264e+01 4.178349985568445959e+02
7.264007840522177162e+01 5.077172694221359848e+02
7.416974499823597000e+01 4.449313210602875870e+02
7.189516217207084026e+01 5.457071864196445858e+02
7.096987430089581039e+01 4.490199267099766871e+02
7.636615898518775225e+01 4.677302497467837838e+02
7.523502222124238870e+01 5.677039497783745219e+02
7.448220691288997841e+01 4.972584253474025218e+02
7.326940237576552306e+01 4.814243453756511713e+02
7.175675778235209634e+01 4.859916213827521005e+02
7.289183451466158203e+01 4.554686744417322188e+02
7.298619005755510614e+01 4.977185678365066792e+02
7.304815660047430015e+01 4.803667239348819180e+02
7.366008101020739218e+01 4.698226756586955730e+02
7.353767486003857812e+01 5.627401409767928726e+02
7.426180552957478653e+01 4.230604902440364867e+02
7.319026451501943598e+01 5.128026842883073186e+02
7.187572176793639755e+01 4.632333102174204669e+02
7.342518223912389885e+01 4.847489440400117928e+02
7.281963547289650762e+01 5.193506764410280994e+02
7.561150463986402315e+01 5.148938782049573319e+02
7.256976914568983261e+01 5.131015565390496249e+02
7.208131219182826044e+01 4.833504051852169141e+02
7.256487977030228365e+01 5.426003286630303819e+02
7.387177317135137855e+01 4.835154197509474443e+02
7.250692970516530522e+01 5.485499347126371958e+02
7.416542339600390221e+01 4.746088256157934779e+02
7.244944294113479089e+01 4.871852715906230742e+02
7.319128313149893472e+01 5.014444043126163137e+02
7.268155478895596389e+01 4.405290498303616573e+02
7.293196487485913337e+01 4.338047564463562935e+02
7.320217189412288405e+01 5.362569710902959059e+02
7.359978803554557203e+01 5.622951982284798760e+02
7.357844891505030205e+01 4.720356419375443124e+02
7.292095755158157999e+01 5.046325532209056064e+02
7.080406508754816741e+01 4.648287510749127023e+02
7.325926665873711841e+01 4.557922539456781692e+02
7.251018993221994435e+01 4.796504039392613663e+02
7.260510111095393881e+01 4.655648043717641258e+02
7.426911167069201269e+01 5.188520203070114576e+02
7.066841345094027815e+01 4.614107769514555457e+02
7.457861573408418110e+01 4.335374348882068603e+02
7.219053091457573146e+01 4.654493447110181137e+02
7.351370208994535460e+01 4.663362639500327305e+02
7.303695683079224921e+01 4.564286706311764874e+02
7.295843634531900079e+01 5.059949208502215470e+02
7.462320321081094221e+01 6.072784824504320795e+02
7.261404421162747269e+01 4.532859756557704713e+02
7.289817422059185503e+01 5.578974752079093378e+02
7.427287149641152553e+01 6.000785125517820688e+02
