H0 sigma epsilon tau
7.316314212624692459e+01 4.625502792063037418e+02 1.584053148960398172e-01 3.912034140608560051e+01
7.027852584636339373e+01 4.944820445619349130e+02 9.448236597300023465e-02 4.672294809892238732e+01
7.383252481632109721e+01 4.537640967922924347e+02 2.698279512202109709e-01 2.513259442634364760e+01
7.024024933854765607e+01 6.704167229119137801e+02 9.973609508426428683e-02 4.140259360716614623e+01
7.379468160224027429e+01 4.925222336294820025e+02 1.446145921630187792e-01 4.895627568026969811e+01
7.303557348940610439e+01 3.975003056466526914e+02 2.256645766057515934e-01 3.567539119103197720e+01
7.252867615103889420e+01 5.405665282522965072e+02 3.926025412549897370e-02 3.306448855317671587e+01
7.173322797347094593e+01 5.032308093134833484e+02 1.569735807557354479e-01 3.525970111380403438e+01
7.375668415697589353e+01 4.231102274666246217e+02 1.047262566880991924e-01 4.371891136206868822e+01
7.215469463538360628e+01 3.569090265223388201e+02 2.811388496825957817e-01 3.843976550150654958e+01
7.116230819281014419e+01 3.994792384603209143e+02 1.098900123601645046e-01 2.115762276779683049e+01
7.254449454756739613e+01 4.874123100283386520e+02 1.571294743578817987e-01 3.227505973118425686e+01
7.353624422587401455e+01 4.490132083592120011e+02 8.973759710929075928e-02 2.532925168825367734e+01
7.303021375437599261e+01 5.354243768574256137e+02 9.081936409770963170e-02 4.051083957469839447e+01
7.209144705278707477e+01 4.142254926679190135e+02 2.012821589552139523e-01 3.010966168753063599e+01
7.151223788576371021e+01 4.281603881845139199e+02 2.399085062299733950e-01 2.721887854491563630e+01
7.173273482325222972e+01 5.112923797514155240e+02 1.602240700325176792e-01 3.803441699216726590e+01
7.311607427719985708e+01 4.789284560646042905e+02 7.456254767456904631e-02 3.083650806246595977e+01
7.230546387810441900e+01 3.989066994538057997e+02 1.867119626805885668e-01 3.493885846265239792e+01
7.292116834927776381e+01 4.608071648317122140e+02 1.050806362001609207e-01 3.196009880186966257e+01
7.210684615383117091e+01 4.854246543563548357e+02 6.790175436426615363e-02 3.452500798612600619e+01
7.279513107048376241e+01 4.921447218270050712e+02 1.162888838359373983e-01 3.056624071471600246e+01
7.180894109690370897e+01 4.540929855115915643e+02 4.640510473133811764e-02 4.923114394932213855e+01
7.101208381383705159e+01 5.143323937248239872e+02 1.625593043510604740e-01 4.211353629020459266e+01
7.361668051565523285e+01 4.848416990486681470e+02 1.857896643252905378e-01 2.573948286118439199e+01
7.235985666954351814e+01 4.089586433463321669e+02 1.152275903948380420e-01 3.639262323868684490e+01
7.049789405598173175e+01 5.933249586980944059e+02 4.470998466450367553e-02 4.055504569247271007e+01
7.402416403165346992e+01 5.592300625602814534e+02 2.402742337858357335e-01 2.881533279024584004e+01
7.252040320084196878e+01 5.268382990394093213e+02 1.697981347957160658e-01 3.863879873712434687e+01
7.175193686247146729e+01 4.639666846225979953e+02 1.042522409968767300e-01 2.934744391070902125e+01
7.199615615356293574e+01 4.076036083833027988e+02 2.241294830605790322e-01 3.467941787619280092e+01
7.171831186657757939e+01 5.571016445961287218e+02 1.025458367133580684e-01 2.839735112158012953e+01
7.156642232872196985e+01 3.861879332315527336e+02 2.735265237507045200e-01 4.879802301357128158e+01
7.458774932089414733e+01 5.312913419520607476e+02 1.479813486709377346e-01 2.370025977697123309e+01
7.301753248214407677e+01 4.820042652599254325e+02 9.539442694894544050e-02 4.418922835014952710e+01
7.371991408409067503e+01 4.466931760762201975e+02 1.318078905850207927e-01 4.578718027387316170e+01
7.290534750670985886e+01 5.658740828219515606e+02 8.192264888871488016e-02 2.338403711126275653e+01
7.053112914781149811e+01 4.822701064419096042e+02 2.504219292836836752e-01 4.108309598473176294e+01
7.337385276499810516e+01 6.631253376459227411e+02 1.443511647851603019e-01 4.023835933471119830e+01
7.200694346599821927e+01 4.874552344732035749e+02 1.964295810125178954e-01 2.501461855119852018e+01
7.291042191575488118e+01 4.796687374311539998e+02 6.391760773884606894e-02 2.988862140947050605e+01
7.245389388038628908e+01 5.453537998329330776e+02 9.778197204241333151e-02 2.523909907141786491e+01
6.967490621624666858e+01 5.795552028190754754e+02 7.396631105006996887e-02 3.938997265285672000e+01
7.205662086737490313e+01 4.033222529248432693e+02 1.038187919484935134e-01 2.045574240314568115e+01
7.295093517785927872e+01 3.968911427206358553e+02 1.224422932478622661e-01 3.429481696134629942e+01
7.395600600392646129e+01 5.538706019526723594e+02 9.396287971287729801e-02 4.121490917085787231e+01
7.169501276705896942e+01 4.241010105919430657e+02 1.724531193140989849e-01 2.833690247429967002e+01
7.333050796017326434e+01 5.027330575814589224e+02 2.578892676671962758e-01 2.654824733506925227e+01
6.979350383936242963e+01 5.060344854029681869e+02 6.964938302816975346e-02 3.403090153970092757e+01
7.177311089468892646e+01 3.952460418845316212e+02 1.519481982126442976e-01 2.115657317272458116e+01
7.303991144791123702e+01 4.185995037189121035e+02 2.149129754424856931e-01 2.423809282586513092e+01
7.120793507262172284e+01 4.288595990804769258e+02 1.112185725987452217e-01 3.685215628522357889e+01
7.308897242131443761e+01 4.773673734183639112e+02 1.273930049332135939e-01 2.424259728664857505e+01
7.068499227597257573e+01 4.165701915133655007e+02 1.890847480527469149e-01 2.837054455234144967e+01
7.146863250061431927e+01 3.991017021979295123e+02 2.810307951946929839e-01 2.908235931399029184e+01
7.151817128064089957e+01 5.857632260095060701e+02 2.389600155757845013e-01 3.503638899597623890e+01
7.304519753390111703e+01 5.319507363831501152e+02 1.294683686513184440e-01 2.552430493225015340e+01
7.349498757580271047e+01 5.632477783425001689e+02 6.605693637415541164e-02 2.982801235854666189e+01
7.291989944026254022e+01 5.555214130054114321e+02 4.415541349842314750e-02 4.118422902649944461e+01
7.411015828760704949e+01 4.512326594828393240e+02 1.438762228348157979e-01 4.609532140848175175e+01
7.240785387187023048e+01 4.672369984545277362e+02 5.761474329826952318e-02 3.119261645974486896e+01
7.126948337810111411e+01 3.393014179982262135e+02 3.453060304416880610e-01 2.165526963244476377e+01
7.495320954288042969e+01 4.107151986384129145e+02 7.775079282133544323e-02 3.415649348576793187e+01
6.895122891154390743e+01 5.833769945725234720e+02 1.956651215684853673e-01 2.876021033874164345e+01
7.259640538768319118e+01 3.955531170495102060e+02 2.106863682646349933e-01 3.351566347512673616e+01
7.299372289023878579e+01 3.942519344708929339e+02 1.406573752641554209e-01 2.962477509396080322e+01
7.207045708502575110e+01 3.971706528570506407e+02 8.733044951042427673e-02 2.265353843922768107e+01
7.244466746835435345e+01 3.796880070243533964e+02 2.218323349958883917e-01 2.429647123775633233e+01
7.349649357853118659e+01 5.471635022864028315e+02 1.310492021241468630e-01 3.679233776326367433e+01
7.380008232267778112e+01 4.702832036483011962e+02 1.434865229879368487e-01 2.832950407195864528e+01
7.163407560105186178e+01 4.578659932904683387e+02 1.505263463316618144e-01 3.637355929686474099e+01
7.215077492421718830e+01 4.106809175360197628e+02 2.206374914315139824e-01 3.990277208621984784e+01
7.154232046379277676e+01 5.307933531184754656e+02 2.103056556923815212e-01 2.282854415315102159e+01
7.216803274502441923e+01 4.472775524985160018e+02 2.256449912491929055e-01 2.677757244204863696e+01
7.146220094199783546e+01 5.156512726204687169e+02 9.488353190359796741e-02 2.839735411582223890e+01
7.229251462395401973e+01 4.468985572546902745e+02 2.002499526422170661e-01 2.892099580027246830e+01
7.313529854925819507e+01 4.881159903671547795e+02 6.622209022170576220e-02 2.856280387010595589e+01
7.302226457714024832e+01 4.103589786745681067e+02 9.764223324853686659e-02 3.803751666921468910e+01
7.250388868721960023e+01 5.241674459771829788e+02 1.639839453263361446e-01 3.326715781200338284e+01
7.376166802157659674e+01 4.861429444545565275e+02 7.052277719677414736e-02 4.747278502361681518e+01
7.165325207131851926e+01 4.559868665817131728e+02 1.256700265731693356e-01 3.564615046323618230e+01
7.138715954525039820e+01 5.297256273718678585e+02 1.639226271605159213e-01 2.938579222953462278e+01
7.170316919270503320e+01 5.649164036141057750e+02 7.586412698673282440e-02 3.802242606633040367e+01
7.189476022707562208e+01 4.532151437227151405e+02 1.494940401711370159e-01 3.160959009730929381e+01
