weight logl H0 sigma epsilon tau
2.032514349604717663e-36 -4.827552232806581287e+02 1.744665156626215019e-01 1.938260548146286677e-01 3.923729172158160194e-01 9.421180094877994460e-01
4.093255823121538891e-36 -4.820526562049970494e+02 3.813976270410979197e-02 5.305719344802232174e-01 9.984684963128622748e-01 1.089333691274210203e-01
4.474185488515188863e-36 -4.819611725817284764e+02 9.396772881470035754e-01 5.277007636725575823e-01 9.673356259684097180e-01 4.921894414500416204e-03
7.243083393115515357e-36 -4.814769499043869700e+02 1.908863471995326799e-01 1.947204796570939367e-01 2.716091972471277316e-01 8.474839246215746247e-01
7.360409117231938035e-36 -4.814583813853727747e+02 4.873106783367329164e-01 2.397365289160979795e-02 1.417842893476357613e-01 7.598468500671465842e-01
1.878533562763412891e-35 -4.805189203574936414e+02 5.978937670658713843e-01 3.670548637840820305e-02 6.050927869092121991e-01 4.803650344660604921e-01
4.514277240046066905e-35 -4.796396667158242622e+02 1.276076563768023808e-01 3.972247887133644184e-01 6.882109575934947099e-02 3.100066510032013500e-01
6.203044893909820741e-35 -4.793193715267390758e+02 8.903243148210069347e-01 4.485122161082470971e-01 2.772894653468592763e-01 3.112185542083997225e-01
6.339518422265603262e-35 -4.792951090032241268e+02 6.856925153948459917e-01 2.954363514508001609e-01 5.460545577370810033e-01 4.612449606518720380e-02
6.404844676138471129e-35 -4.792823571255081561e+02 8.009302357945771167e-01 3.868422930898330891e-01 6.122885558712715115e-01 4.712651855797178602e-02
2.527522720332352666e-34 -4.779070870560377671e+02 9.561556340110599628e-01 4.275098007967448321e-01 8.372850000417926264e-01 5.215914160456123216e-01
2.958016102963736427e-34 -4.777473079090185024e+02 6.396951598571529729e-01 3.877839830077745020e-02 7.680792261555677847e-01 4.494446732565459124e-01
6.884145069722716162e-34 -4.769001057655702880e+02 6.015078492188470349e-01 9.237593394483178955e-02 3.701808436681887082e-01 9.510185552048837643e-01
4.167723151975429670e-33 -4.750968717441927538e+02 7.026646027345556655e-01 1.938000997373350298e-01 3.971629088004818842e-01 4.547707611028564134e-01
6.984675263188378196e-33 -4.745780231231345851e+02 9.449762037255501346e-01 5.488710982914863923e-01 2.718260958714129316e-01 7.988827881338295134e-01
1.065851277847765901e-32 -4.741528827293764152e+02 4.975965885745925465e-02 4.316709054657943412e-01 3.062374763618267437e-01 7.651051114254454610e-01
