m0 c1 c2 c3 m_100 m_200 m_300 m_400
1.015196660199592138e+01 1.890159539635279273e+00 2.077293486588745353e+00 3.417960284750979127e+00 1.476288084856575722e+01 1.544879750750337166e+01 1.561515599236306073e+01 1.508567435224325592e+01
1.134424085143098893e+01 -1.015401978049865761e-01 3.375005360489469197e+00 1.375600136260622719e+00 1.467965569655411784e+01 1.549200262690539276e+01 1.550367021196085560e+01 1.475314324409312405e+01
1.189562373386669947e+01 -3.729636231089870080e-01 3.061572983199923215e+00 1.318437366506826081e+00 1.469634711050078835e+01 1.553065553039068725e+01 1.563988574029413314e+01 1.502052384406174212e+01
1.181799149210282351e+01 2.257881773497434352e-01 2.736018948659943106e+00 1.476378096608774726e+00 1.491108689867721715e+01 1.558642647384742119e+01 1.560872152588590822e+01 1.498440607356168641e+01
1.148775722639739527e+01 1.412108219364291983e+00 1.531611554317182211e+00 2.515771720247869325e+00 1.490233230503715411e+01 1.540174839175956123e+01 1.551800484736737396e+01 1.512360637893717197e+01
1.031831605324269852e+01 9.191905839153040603e-01 3.044215789817744877e+00 2.583675000401147059e+00 1.465480636547847482e+01 1.548712721680058024e+01 1.558332973473590854e+01 1.487280018297222384e+01
1.099896587740654930e+01 2.115876633422821840e-01 3.207141250490991524e+00 1.769176605582014616e+00 1.459035110483568332e+01 1.540750138666340696e+01 1.545924342863405165e+01 1.474200725778826637e+01
1.574294820004134721e+01 -3.534601798187782862e+00 3.157203564497098824e+00 -2.051762854411550485e+00 1.474378555464950047e+01 1.551185032640203687e+01 1.557097900777183597e+01 1.512776977096491571e+01
1.014221972821308881e+01 1.381244704681032331e+00 2.918005841734705896e+00 2.676183584440519070e+00 1.480512462265263451e+01 1.552118022688539156e+01 1.552749907068457347e+01 1.477519446421335658e+01
1.017965793152865217e+01 4.046680607123231965e-01 3.895780431260734034e+00 2.105403721240804771e+00 1.465831491830574862e+01 1.559787385662348314e+01 1.560706084232239377e+01 1.470273779445091122e+01
1.227179431214067407e+01 -1.595579473837492657e+00 3.993986562673995877e+00 3.750154963697838184e-01 1.451013084536989162e+01 1.552547140033970408e+01 1.560941628358484934e+01 1.485334691323418710e+01
1.081175945305523456e+01 1.684433386467054206e+00 1.837923634930149319e+00 2.904959128568822990e+00 1.486333076290039834e+01 1.543329035781031600e+01 1.554419425618225503e+01 1.505943888587040647e+01
1.132628701155690365e+01 5.150548979986169229e-01 2.666314107660806343e+00 1.912421818529947970e+00 1.475470776704566944e+01 1.546494017353083805e+01 1.553422112763330709e+01 1.492561518531050879e+01
1.097686888090541579e+01 9.118560818792342815e-01 2.490439397118951348e+00 2.414444494700685340e+00 1.476323946530324882e+01 1.548481156113989954e+01 1.560145004983113282e+01 1.502524752722714574e+01
1.139728855905632443e+01 1.167265493760734074e-01 3.205854841758757345e+00 1.452956164777512882e+00 1.480116214917657302e+01 1.555520409297017359e+01 1.554657040431277260e+01 1.481049119656976032e+01
