weight logl m0 c1 c2 c3 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -3.055850217224176595e+04 1.084697836422439110e+01 -7.743325251222366035e-01 -7.598310320211099089e+00 -1.629093207390745590e+00 2.929257857434515167e+00 1.790916648901873742e+00 2.452434367380838864e+00 4.504482474007957649e+00
0.000000000000000000e+00 -3.030251668881157093e+04 1.160475268084213241e+01 -9.271058158639347013e+00 1.376813164544913093e+00 -7.946479946354354951e+00 2.058261603912256987e+00 2.538601099937810801e+00 2.797170188657370105e+00 3.238650849677677357e+00
0.000000000000000000e+00 -2.996279306655413166e+04 1.193412207194353414e+01 -1.001890468913703813e+00 -6.126744261152450299e+00 -4.751851184346687518e+00 4.100423791485331648e+00 2.317557090023001365e+00 2.008529074064011155e+00 3.330621518606960763e+00
0.000000000000000000e+00 -2.895255320914104959e+04 1.639968766945101208e+01 -7.079656696007559979e+00 -8.714764105246416648e+00 -2.893588312263888795e+00 1.521749649130921256e+00 1.635844689861986723e+00 3.856924602478850161e+00 7.262200391019870693e+00
0.000000000000000000e+00 -2.872495750896816753e+04 1.965777549690969650e+01 3.506198336747090138e+00 5.815086832362197811e+00 1.380035647523998321e+00 2.833181276476751265e+01 2.843651305126212492e+01 2.714574474019874373e+01 2.503935194213999438e+01
0.000000000000000000e+00 -2.825076763149975159e+04 1.754187896834642402e+01 4.359591372651792085e+00 9.643503035922517341e+00 -1.546936261834419568e+00 2.939734973626227088e+01 2.889134356417711302e+01 2.610242616385409775e+01 2.243402949804459467e+01
0.000000000000000000e+00 -2.783985542607597017e+04 1.023077158417248889e+01 1.754015532860456972e+00 -7.704820321191611754e+00 -1.624938158950516964e+00 4.451664607976645982e+00 2.604240647732447123e+00 2.566734094112715248e+00 4.170003861783407650e+00
0.000000000000000000e+00 -2.753594510492594782e+04 1.803151434069813419e+01 -9.775030060777504914e+00 -4.293903022041325457e+00 -8.652840546957982326e+00 2.806558439212290423e+00 2.560542801847958572e+00 3.432565614765756834e+00 5.451383499117628872e+00
0.000000000000000000e+00 -2.685857842125114257e+04 1.229588870162219116e+01 2.602015246555744454e-01 9.327905796702612662e+00 9.362568802970187676e+00 2.379694477706605582e+01 2.746029973340281316e+01 2.887464971065932673e+01 2.735133280824157254e+01
0.000000000000000000e+00 -2.684617274575964257e+04 1.002415140064099219e+01 4.560615716419910370e+00 -7.032473079208820366e+00 -3.809205292214090655e+00 6.606077037557064102e+00 3.447431781740677437e+00 1.937018964050864156e+00 2.566747791998077233e+00
0.000000000000000000e+00 -2.671885178496165463e+04 1.010947720793160975e+01 -8.477916468052150378e+00 -8.618621993499678169e+00 9.130103559906210364e+00 -2.014054381345479428e+00 1.886426681510238623e+00 7.808481606603374203e+00 1.286476105784646684e+01
0.000000000000000000e+00 -2.631335433303449827e+04 1.702781108457698167e+01 4.994170738285710343e+00 2.780724989813343484e+00 7.361884250939247920e+00 2.627918636901660321e+01 2.730286225845051717e+01 2.760000217626036800e+01 2.675217780946502444e+01
0.000000000000000000e+00 -2.618881923771625225e+04 1.302591414492926347e+01 1.447429356060027317e+00 -8.061485101828543165e+00 -4.387308749217815773e+00 5.764679825270262015e+00 3.181302055293150133e+00 2.509803642238487953e+00 3.944955780503185849e+00
0.000000000000000000e+00 -2.596854479868464477e+04 1.943568135555993948e+01 -3.684584151820120113e+00 3.257117097730590771e+00 9.289944416873630928e+00 2.207444638092891864e+01 2.609262131278041608e+01 2.931221494265867378e+01 3.020251291468569121e+01
0.000000000000000000e+00 -2.531712667203219826e+04 1.169287480188273953e+01 3.597509310382029923e-01 -4.441404813198959189e+00 -6.030959477390764434e+00 6.132862018580347296e+00 3.811708127696636694e+00 2.567839780095800606e+00 3.016754127238234773e+00
0.000000000000000000e+00 -2.503232651287972112e+04 1.656367062593305661e+01 8.166045859161350506e+00 1.523637690060741789e-01 8.612918452300284855e+00 2.670084658391623122e+01 2.689299068806468895e+01 2.695013197325391019e+01 2.637415650483766782e+01
0.000000000000000000e+00 -2.498914426206552889e+04 1.690549010583664824e+01 9.490424645781033064e+00 6.320690260194261612e+00 -1.714673718646951173e+00 3.030207698329572708e+01 2.794241170562666809e+01 2.405137521453686844e+01 2.030889812801704508e+01
0.000000000000000000e+00 -2.458362355041007322e+04 1.390830702522419493e+01 5.695039625816299633e+00 8.774029750353079748e+00 2.835051457970402922e+00 2.759762238389327393e+01 2.785609854803527696e+01 2.600219389964753702e+01 2.283581633681810530e+01
0.000000000000000000e+00 -2.447637955435922049e+04 1.826847733199528534e+01 1.191205186528774718e+00 3.582035857365529097e+00 6.740266941292524905e+00 2.466909206166620550e+01 2.666119421154063218e+01 2.776460528228794900e+01 2.734257093628182744e+01
0.000000000000000000e+00 -2.384132735832399339e+04 1.377283625490394670e+01 -9.957294261862124074e+00 2.915817090493266761e-01 -7.035758575637629519e+00 2.958698484455185351e+00 3.757610415892909117e+00 4.588460909330409621e+00 5.566357686416733230e+00
0.000000000000000000e+00 -2.355038960068732922e+04 1.661352674532593099e+01 -4.438310101228521987e+00 -5.823578044682429677e+00 -7.270607175007855361e+00 5.197021683330317998e+00 3.688131380567201134e+00 3.617040521814935516e+00 5.210080982347152556e+00
