m0 p a1 a2 b1 b2 m_100 m_200 m_300 m_400
1.505000368398061106e+01 1.955963934966469537e+02 -1.230488968140246442e-01 8.901315935313860450e-01 2.292674735777033845e-02 1.139740934902086167e+00 1.621305351773063919e+01 1.610432765007936595e+01 1.644592732818624370e+01 1.630068092341911523e+01
1.508974449390520256e+01 1.995380178444078751e+02 -1.008693410739454066e-01 1.148089805488121229e+00 -1.055738675891504386e-02 6.939373974996563277e-01 1.634875077412007727e+01 1.615652301477380703e+01 1.636809175955007234e+01 1.617511400054112514e+01
1.507085523576935060e+01 1.987064191929991068e+02 -1.236794377867038719e-01 1.234506685873977716e+00 3.696389277084932701e-02 8.599254543055749878e-01 1.646239122290237233e+01 1.624943850804686107e+01 1.652251673487796424e+01 1.630869910548712554e+01
1.506658442698468292e+01 1.006730677328616963e+02 1.282291059236644770e+00 4.283422815309378962e-02 6.295090011015229692e-01 -5.605706245852637437e-02 1.636869526855546297e+01 1.634313275591513204e+01 1.631504496106283497e+01 1.628446104989417620e+01
1.508149282517773315e+01 1.016511468810372634e+02 1.416434197850023224e+00 5.286449955191940830e-02 3.705346124191102319e-01 6.040847374734426012e-02 1.649232755391851413e+01 1.641795124592607280e+01 1.632890282111315727e+01 1.622660689525464051e+01
1.508590810306973395e+01 1.976914403794569921e+02 -1.607498885091906971e-01 1.181325094449041657e+00 -6.348621404544729785e-02 8.789001703044867497e-01 1.649145427891409810e+01 1.621807704022763730e+01 1.659738312506046043e+01 1.630267587491102788e+01
1.497348599205020037e+01 1.980856290465497409e+02 -1.856572535354175102e-01 1.183357059050889504e+00 -1.357423603813341373e-01 9.052928361214558350e-01 1.639929272472175725e+01 1.606424842169014156e+01 1.649850229128312407e+01 1.613910526769390330e+01
1.503328510730734635e+01 1.966804481262127808e+02 -1.167231070705270213e-01 1.123852309001449612e+00 -8.546455103630279382e-02 1.024237906042980484e+00 1.638032633305256880e+01 1.622245035930852453e+01 1.654991090629425798e+01 1.634699212906920351e+01
1.510814645911500875e+01 1.980074111203416578e+02 -8.621261967603999210e-02 1.231781726683307099e+00 -1.009119270427376591e-01 9.913624871264108407e-01 1.648946709421589674e+01 1.636270736425080230e+01 1.660013857838955076e+01 1.645055685991209060e+01
1.497803021784545763e+01 9.939753379694937507e+01 1.210606876095006612e+00 5.602438735964199168e-02 9.724452143776840529e-01 -1.447853513812979998e-02 1.627954470460792180e+01 1.631230237868060584e+01 1.634289387690308004e+01 1.637128305489126845e+01
1.503995766022903879e+01 1.978820127868196721e+02 -1.625393552493807903e-01 1.183671636117558990e+00 -8.681935242132254871e-02 9.617090821416454105e-01 1.645094677059388744e+01 1.617389412604111598e+01 1.656279032572798471e+01 1.626394037855057917e+01
1.496981581533647265e+01 1.991979817356961746e+02 -5.971641112540382323e-02 1.234116872032686274e+00 -1.366554401077344494e-01 8.612399405215498405e-01 1.628676289879817318e+01 1.618275545011105976e+01 1.633053723669545931e+01 1.621806909786078776e+01
1.496400710731831474e+01 1.983262769306879534e+02 -2.171631867550800621e-01 1.267822855290795303e+00 -4.948465643543897841e-02 9.024135422373547044e-01 1.649627504170885217e+01 1.610074876515318465e+01 1.657917852958691185e+01 1.617220893884664790e+01
1.509583631301726925e+01 1.017000982784541776e+02 1.287239108801912835e+00 2.348460062101747070e-01 4.671751323333452888e-01 -1.568611342640302553e-02 1.655995621736597201e+01 1.647817862017813795e+01 1.637388975606681996e+01 1.624895872291297039e+01
1.508356753309850973e+01 1.963032312804024571e+02 -5.639459443313299403e-02 1.111814900391536298e+00 -1.843837392013920606e-01 1.017045453403193633e+00 1.637486733265095751e+01 1.632507119138973906e+01 1.656761984096647211e+01 1.643870345460429405e+01
1.514968321097931891e+01 1.973767642076862217e+02 -2.364813159423615474e-01 1.166377235498597287e+00 4.884860894776110740e-02 9.615467909227763954e-01 1.662643451759140234e+01 1.622809387341328602e+01 1.674655106322646247e+01 1.634176720030304608e+01
1.502327995886960466e+01 1.994581095885399407e+02 -9.200785152243717846e-02 1.452452009418660595e+00 -2.582096377030396184e-01 7.341328737182895026e-01 1.658225989594405192e+01 1.640354242894074588e+01 1.660999539244535583e+01 1.642166783915721240e+01
1.497558183623818806e+01 1.977701226111227584e+02 1.241335648369101818e-02 1.103928730848709350e+00 -2.598128140370903338e-02 9.822414200841684817e-01 1.613478331878246763e+01 1.621769714953943620e+01 1.625227315921352300e+01 1.631873473470756153e+01
1.505408072206419234e+01 1.966961851952600000e+02 -1.011757913240511897e-01 1.111495460719357453e+00 -1.506647061809651689e-02 1.062395918318578936e+00 1.637313448511553204e+01 1.626128895132745455e+01 1.654338843404265802e+01 1.640119530812324911e+01
1.501581213494232259e+01 9.990521375773987245e+01 1.270590385976856140e+00 -5.296894842127741754e-02 8.323922722414636155e-01 -4.033250091660356418e-02 1.623789597399293783e+01 1.624232064485800464e+01 1.624670747790784731e+01 1.625105636648481067e+01
1.500699883641155274e+01 1.001768163594173586e+02 1.398766290956332980e+00 8.482206517708590354e-02 8.312126494416354205e-01 1.550223834654733679e-01 1.647782413546222458e+01 1.646485016425952708e+01 1.645166816556340450e+01 1.643828106571793768e+01
1.497771247947263618e+01 1.986030048521116100e+02 -1.433189383361366254e-02 1.321086037860277784e+00 -9.177704562720556680e-02 9.392387793396128615e-01 1.635536246504817015e+01 1.635818227023073845e+01 1.643175238242588065e+01 1.642101125175817344e+01
1.500453775759866026e+01 1.996457313750596541e+02 -5.172532497707571508e-02 1.235759287218032298e+00 6.938811117116472360e-02 8.834981346125392321e-01 1.630140823506386383e+01 1.620874069785868343e+01 1.631970950504979712e+01 1.622829192501162865e+01
1.510890431961836455e+01 1.996084228043675637e+02 -1.987647161282062314e-01 1.076951204722593758e+00 -4.805073736500276027e-02 7.925988035347213412e-01 1.639460003046175629e+01 1.600572343026065880e+01 1.641404020624567650e+01 1.602372022259264739e+01
1.493417270008952258e+01 1.027203595048364662e+02 1.521070278756077698e+00 1.522006135917859382e-01 3.186966614371318229e-01 -4.396531995596575371e-02 1.653965981209109515e+01 1.641453401640870524e+01 1.623645468141315362e+01 1.601259641388431021e+01
1.501617406319120462e+01 1.989460303346277215e+02 -1.082006165766653538e-01 1.196849184395617272e+00 -1.049715182979653605e-01 7.507381034779587736e-01 1.634727797387573389e+01 1.614868027379226234e+01 1.639521006981109252e+01 1.618714953175445714e+01
1.513941289002453416e+01 1.971968024853831309e+02 7.866174654981961112e-03 1.115910801671804009e+00 -7.835003631177883676e-02 9.248351905289240449e-01 1.632900869032985369e+01 1.640274236309315370e+01 1.646302839566497056e+01 1.650210922986539330e+01
1.505527026185556849e+01 1.995462006888307371e+02 -7.454339670707454957e-02 1.244474667014065616e+00 -6.145615633824696999e-02 6.941890002926349723e-01 1.638451734129790438e+01 1.624365864383379687e+01 1.640419366910530030e+01 1.626109908068751508e+01
1.500866041934754591e+01 1.989476430020670819e+02 -6.971084849573294662e-02 1.004172954108726756e+00 -6.061468499811795141e-02 9.603208500175384188e-01 1.611489828779702549e+01 1.600271598269632989e+01 1.617608295427526954e+01 1.605768144168724021e+01
1.493909028573963127e+01 1.983041622545648295e+02 -1.061021483712956126e-01 1.049177726026393032e+00 -1.022822881600173872e-01 8.568942883677408417e-01 1.614158568733275700e+01 1.596268144582941417e+01 1.622618938351092766e+01 1.603042340245564645e+01
1.513291206111367693e+01 9.975880460727067600e+01 1.233787086760786522e+00 4.270194944337113441e-02 9.642204280329593757e-01 3.899695851192497287e-02 1.642507096995711535e+01 1.644041227819824869e+01 1.645542070324048822e+01 1.647009203185309545e+01
1.508032282080937847e+01 1.978427557057661375e+02 -7.629507844436211883e-02 1.267136386037602591e+00 -8.170000217743478288e-02 8.816987558122608704e-01 1.648389365437396847e+01 1.637430765734537275e+01 1.658500737591470298e+01 1.645204640015624520e+01
1.509275228436137084e+01 1.002532954980585487e+02 1.032474462750354149e+00 1.442781522228546720e-01 8.711540914825981474e-01 1.881423391026686431e-01 1.624950081662797174e+01 1.622910073090394434e+01 1.620831445824115491e+01 1.618715201265517933e+01
1.520106771593960460e+01 9.924220112604359656e+01 1.059649698011575936e+00 -4.598338600493967476e-02 8.396088337989642270e-01 9.199700196244897654e-02 1.626280711354170450e+01 1.630869168331920349e+01 1.635221752649910698e+01 1.639321810933754975e+01
1.504911121375780780e+01 1.970860120759977008e+02 -1.756852303219105238e-01 9.049002926606739550e-01 -4.180866584473186265e-02 1.005374769392640033e+00 1.622081078213843597e+01 1.594535534050061898e+01 1.637546720465513062e+01 1.607692124659572386e+01
1.514982289306610319e+01 1.960720617753335091e+02 -1.127197697535109455e-03 1.057908480459946787e+00 -1.606806487124270433e-01 1.109117541465220569e+00 1.634983108227209314e+01 1.642936911485697138e+01 1.657340031409273706e+01 1.657046496298105609e+01
1.503687712408506627e+01 1.986690777555162128e+02 -6.991444134862234705e-02 1.176199153639700512e+00 -1.195534398708204549e-01 7.502219734594905987e-01 1.631601858732108923e+01 1.619711006137150378e+01 1.637551357797322638e+01 1.624244279892785059e+01
1.505398347968002604e+01 1.989904729416058728e+02 -7.641239837600188878e-02 1.256785596878721378e+00 -1.304603258978449531e-01 7.841396268468301400e-01 1.641360362048226307e+01 1.627764129898037382e+01 1.646245924909754521e+01 1.631570885343099420e+01
1.510557697620848217e+01 1.996942157068351946e+02 -7.451912765593249333e-02 1.272915766999130227e+00 -9.091568172295971806e-02 8.031850898584202980e-01 1.646111694203267817e+01 1.631832097135853843e+01 1.647696555238425731e+01 1.633219836238488654e+01
1.508757834681899190e+01 1.981385440012566050e+02 -1.627800776050243314e-01 1.236107597951329851e+00 -2.570350704209207748e-01 9.699630667697363151e-01 1.654904981493639937e+01 1.625166717572078312e+01 1.666009683153234633e+01 1.632436831966469626e+01
1.497506908260703185e+01 1.995530772428182047e+02 -1.162742683711783798e-01 1.158738787364942624e+00 5.409730667791379233e-02 7.973419126350442809e-01 1.626080368749411775e+01 1.604028479659010031e+01 1.628153249657878732e+01 1.606212370463421735e+01
1.511619611477550151e+01 1.973509067190449855e+02 -8.829718042166767589e-02 1.140894913435804625e+00 -6.374846119001986722e-02 9.638901595908588860e-01 1.642514078006603384e+01 1.630936538070434239e+01 1.655769208341478205e+01 1.641408119400146859e+01
1.507203883400550559e+01 1.008419527425255069e+02 1.325026377799130017e+00 1.315513618149886099e-01 5.944942406395306023e-01 1.332127004741696652e-01 1.648094662526544951e+01 1.642843637422278391e+01 1.637136191135214247e+01 1.631002103829218441e+01
1.499479530950086748e+01 1.993618030942929238e+02 -1.108969292640331616e-01 1.170717467695343572e+00 -4.586342995018100055e-02 8.114768796807343421e-01 1.629294925308412445e+01 1.608540357863252979e+01 1.632454784630436961e+01 1.611429100860829067e+01
1.498848197758926304e+01 1.989412053882437021e+02 -6.920805679067498772e-02 1.255394945842201793e+00 -4.763693189559603525e-02 9.125721360954592853e-01 1.634368067682284220e+01 1.623129567983257715e+01 1.640047034617144917e+01 1.628212825034218980e+01
1.494753960000451265e+01 1.009169757762190045e+02 1.353969752129533077e+00 1.356459864800285686e-01 5.746226587039622302e-01 1.564319986545861241e-01 1.638345444182449739e+01 1.632393256437668683e+01 1.625898120685653581e+01 1.618902186170136659e+01
1.505978950534317740e+01 1.983303632638792067e+02 -1.981204167906920333e-01 1.012164656643046001e+00 -2.937466106391539711e-02 9.287247651930350401e-01 1.631846824051124045e+01 1.596496548619626665e+01 1.640581902177644480e+01 1.604430476790433602e+01
1.504361417388772892e+01 1.983055952040067780e+02 -1.905580587291737515e-01 1.140375366999275997e+00 -5.778012363486340064e-02 9.538602806159168779e-01 1.642557122765330746e+01 1.608625970930284410e+01 1.651678327782869715e+01 1.616540892069517810e+01
1.505384649310044765e+01 1.991709119348987258e+02 -1.823975214574478088e-01 1.192636221887237724e+00 1.250831627863782103e-01 8.663874346040358887e-01 1.644947877787958745e+01 1.611108744981996566e+01 1.648807565501529737e+01 1.615483002104817345e+01
1.509958770731542188e+01 1.990423579115453094e+02 -9.625168904654124447e-02 1.366555281678184741e+00 1.900648605867161223e-02 8.329535803986587439e-01 1.658664836468064863e+01 1.641834249319606442e+01 1.663125527165743378e+01 1.646171249199014497e+01
1.499825153226413121e+01 1.005560557606768270e+02 1.183053247969388266e+00 6.153010167917472018e-03 7.451261735630083649e-01 2.387048193297367504e-01 1.614427069667734216e+01 1.609973804151964671e+01 1.605397344574716456e+01 1.600709154592361827e+01
1.512949285267111854e+01 1.995822089084061872e+02 -1.501804227600072039e-01 1.208329847792544598e+00 2.823004422992703155e-02 8.523273803433788487e-01 1.649891985175174369e+01 1.621002685947021149e+01 1.652009911086194194e+01 1.623158603839914704e+01
1.506395321889697314e+01 1.997987242651420274e+02 -7.859464081821521120e-02 1.435506067699314769e+00 -2.642288818850246912e-02 6.917148010854567985e-01 1.658248667320819791e+01 1.642934031941527451e+01 1.659117656821520370e+01 1.643758771680018071e+01
1.508996254384456748e+01 9.871228483157560163e+01 1.039952618547182794e+00 -2.791544160910319761e-02 9.781317903367430233e-01 7.966975753028293639e-02 1.619196727243717149e+01 1.627482762924915249e+01 1.634974775159354010e+01 1.641594749777607731e+01
1.501756053334114682e+01 1.011502446169688625e+02 1.221234348820384952e+00 2.515155005279652300e-01 5.969607677060135842e-01 1.417724052338087404e-02 1.643999506621289086e+01 1.637864730551289938e+01 1.630672712444106054e+01 1.622482243372584065e+01
1.519127244987986813e+01 9.932133596161062883e+01 1.102525977366743959e+00 2.886738631402607780e-02 9.174428611806479950e-01 -1.694377624512455327e-02 1.635946694758197495e+01 1.639396424745738656e+01 1.642610386445402781e+01 1.645583733511499247e+01
1.511081991069010755e+01 1.957081278364479431e+02 -9.980545519587735726e-02 1.094809872513916815e+00 -1.152658910734931652e-01 9.641457901769676653e-01 1.643518647529452181e+01 1.631197715415453331e+01 1.662204743633741089e+01 1.642100360299969353e+01
1.508835996137920787e+01 1.995719091253319277e+02 -3.171814215491153277e-02 1.176150677908706754e+00 -7.562527958092246649e-02 9.493024101135709714e-01 1.630942490857069416e+01 1.625693465054492037e+01 1.633516264032741816e+01 1.628020993677662887e+01
1.503668995062803404e+01 1.976788384644735572e+02 -1.268046637379143249e-01 1.130095782835788043e+00 -3.833919374343786046e-02 9.458645474733007319e-01 1.636156426495789518e+01 1.616428125527455251e+01 1.647712696593362480e+01 1.626196898995199547e+01
1.513749900533782444e+01 1.970308272246144554e+02 -9.610317409320678905e-02 1.095264106493834433e+00 -1.586355590100652080e-02 9.639858602637119134e-01 1.641574202994756604e+01 1.629747147775476179e+01 1.655641096868009399e+01 1.641420564038822505e+01
1.499912693675567255e+01 9.992341907945262847e+01 1.276894095565383580e+00 -1.550033224490476869e-02 7.622730408663276336e-01 1.934555330597387268e-01 1.626604036284510002e+01 1.627153159688423401e+01 1.627699414511940645e+01 1.628242775106569340e+01
1.509224003402940539e+01 1.997105926492164372e+02 -8.783737970709104559e-02 1.169418919047302552e+00 -6.012047045029333958e-03 8.116086425648241232e-01 1.635686405535049914e+01 1.618835544178532260e+01 1.637130076309842153e+01 1.620250397163984957e+01
1.502178093304852702e+01 1.977560350394680313e+02 -1.188403720764181770e-01 1.168490153897284500e+00 -1.040743441735951791e-01 9.601046244845594657e-01 1.637817048253545238e+01 1.618889981911757658e+01 1.649670813562002181e+01 1.628076193721075526e+01
1.506459479137478752e+01 1.987482606846072315e+02 -1.847049385710555214e-01 1.200084381124357336e+00 -2.150695105600952672e-02 7.957232193312471225e-01 1.648031426580622849e+01 1.613842271551702723e+01 1.653613169059679322e+01 1.618927794654852903e+01
1.504225032713311450e+01 1.029558520732210809e+02 1.327769338530142562e+00 1.358583210050472445e-01 3.287891086549166175e-01 -1.017524179577957710e-01 1.645251709083956726e+01 1.633768935951844625e+01 1.616452591563014352e+01 1.594014918618004373e+01
1.504242896022219789e+01 1.957721133403836689e+02 -1.344966977786725693e-01 1.004020889268373296e+00 -1.091577829802581334e-02 1.190872046764361869e+00 1.633324391379867180e+01 1.619419659748224305e+01 1.656982649202909386e+01 1.638474780416641607e+01
1.506719825496884191e+01 1.968122336034275008e+02 -1.336376255969788929e-01 1.093442983214618636e+00 -7.490325819323118139e-02 9.230334324132165591e-01 1.638603207183037469e+01 1.618409153279317181e+01 1.653099852356375266e+01 1.629072055813622200e+01
1.512398882353064522e+01 9.827779108519342799e+01 1.044884754665549309e+00 -6.128334033076043852e-02 1.161584147861011829e+00 -3.004052216407515630e-02 1.622381981240047821e+01 1.632913080633070280e+01 1.642231570535597740e+01 1.650219458703964648e+01
1.500763827277797091e+01 1.980645439435472781e+02 -5.064937559204985007e-02 1.107040588306878348e+00 -2.165604087941090938e-01 8.042127393131437429e-01 1.621921185878036198e+01 1.614100738822043368e+01 1.631359909962067789e+01 1.620019579642679375e+01
1.511000001612883281e+01 1.968700688118156847e+02 -4.194998585688480830e-02 1.103202395042455208e+00 6.874867240737714269e-03 9.297225015286549876e-01 1.634197558426474828e+01 1.633471576031525174e+01 1.647895440389599386e+01 1.644823372720895449e+01
1.503318079484346725e+01 1.990182919386281810e+02 -1.290020875443538273e-01 1.129548396608397454e+00 5.007301408337383464e-02 8.804094922598331152e-01 1.631767989635710592e+01 1.608771019590860973e+01 1.636612845079147149e+01 1.613727574217961802e+01
1.499649903925235961e+01 1.985651178043041512e+02 1.308013693258835985e-02 1.227259266013920325e+00 -8.068120746408524724e-02 8.743913823023063969e-01 1.625093535292492675e+01 1.630739890823198124e+01 1.632356602508149024e+01 1.636721515965085061e+01
1.501463119078176867e+01 1.007764821672615483e+02 1.330012634951657446e+00 2.020977967829757915e-01 7.180558436476474071e-01 7.669232909611700677e-02 1.650207384556286172e+01 1.645255974877770200e+01 1.639838683153443810e+01 1.633976558838396897e+01
1.508095990117633001e+01 1.996652166596700795e+02 -1.400754519054245861e-01 1.234054163115319014e+00 -1.242230042639711485e-01 6.630504994478965131e-01 1.646265865806719120e+01 1.618733343342061914e+01 1.647737125589000939e+01 1.619919001669114422e+01
1.509017652814942423e+01 1.003006042939856997e+02 1.307323226832306062e+00 8.626190969400937547e-02 5.969933354496532729e-01 -1.754375078637870899e-02 1.647288801588885931e+01 1.646143167696023824e+01 1.644939620370238131e+01 1.643678548903539749e+01
1.513071783396286563e+01 1.996962145702461839e+02 -2.749728200574601544e-01 1.130108547410365816e+00 -1.211402477255703047e-01 6.566823973741264808e-01 1.654259999743842613e+01 1.599705443214518574e+01 1.655587069436699466e+01 1.600786304492553924e+01
1.513467828437925711e+01 1.996454868083561394e+02 -1.526231954490473441e-01 1.310301437449307826e+00 -6.413606253205372809e-02 7.805024105564726256e-01 1.660658476633662062e+01 1.630873916165660020e+01 1.662404057583531625e+01 1.632447996767737308e+01
1.519024398184660996e+01 9.996812024792653517e+01 1.090070877718382292e+00 1.856825612225083688e-01 8.117716511317656369e-01 9.412480052590943558e-02 1.646799748476166769e+01 1.646999017781156027e+01 1.647197548744770401e+01 1.647395340124632668e+01
1.506716196915422046e+01 1.010412292521164090e+02 1.344214124185064918e+00 1.212105181333260617e-01 5.829453825781882870e-01 -9.595482983758074624e-02 1.650342782778445638e+01 1.646658522045589734e+01 1.642209823885888298e+01 1.637006816959008049e+01
1.501245511755863582e+01 1.001124604018121147e+02 1.335342728314227401e+00 -1.939018898566047255e-02 8.193041681309605195e-01 5.085179585582189077e-02 1.632187578089962088e+01 1.631528167784497185e+01 1.630862578261412921e+01 1.630190853255631822e+01
1.499165031640980494e+01 1.982409367892784076e+02 -8.054738979909892294e-02 1.244802600333105858e+00 -1.850854580860623599e-01 9.297014247012995725e-01 1.637200047092890642e+01 1.624143883697436408e+01 1.646958471413540792e+01 1.631060387106994369e+01
