weight logl m0 p a1 a2 b1 b2 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -2.415094621554718469e+04 1.108161743425502799e+01 1.835283214974221835e+02 8.315038775827439110e+00 -7.182354537212232160e+00 6.667287630768846896e+00 -8.980299001996600694e+00 -9.630437307324145380e+00 1.048082932929440148e+01 -7.470782769281568036e+00 1.825749002055586345e+01
0.000000000000000000e+00 -2.412657211669205572e+04 1.895913954753068964e+01 1.551067657461481133e+02 6.222757528457144360e+00 -9.610271353614606937e+00 7.488479333362793255e+00 -4.277944720478618734e+00 7.437125010921628032e+00 3.518127649279006164e+01 1.829213050825861586e+01 1.080754958047087655e+00
0.000000000000000000e+00 -2.404411248728788632e+04 1.070608879763776322e+01 7.641559003757461710e+01 -8.518503138515185924e+00 -8.627427572213843376e+00 2.816220768113142370e+00 -7.605528386972453703e+00 2.790108285397580090e+01 6.716018731079516968e+00 2.782264242338496452e+00 1.967866638806899715e+01
0.000000000000000000e+00 -2.379329320261403700e+04 1.454514486820878005e+01 7.621458855456887704e+01 -4.048579793506323909e-01 -9.151618274994099522e+00 9.646711682215087791e+00 -4.608839681620489515e+00 3.336784392846712421e+01 3.343249182864845181e+00 7.351522983110479359e+00 3.324054079725894439e+01
0.000000000000000000e+00 -2.357830894597137376e+04 1.538650162250977438e+01 1.655886703303684726e+02 -9.010253835816946832e+00 -9.839665632782448768e+00 -7.018769230444288354e+00 5.071206127333988789e+00 2.912369917630182670e+01 1.730566870881222030e+01 2.195221144338250241e+01 1.037839629975901801e+01
0.000000000000000000e+00 -2.351099567695751466e+04 1.593367805457566533e+01 5.255137405113335092e+01 -2.817669343112516600e+00 9.651687578391655364e+00 9.767880323016932209e+00 2.673062744150342951e+00 8.832375198477752321e+00 -3.306794295115132343e+00 1.609897368872541534e-01 1.603789020698810219e+01
0.000000000000000000e+00 -2.343497185600153171e+04 1.933025303864368638e+01 7.367996637299529539e+01 9.428354498435311370e+00 -2.033336313789404493e+00 8.646059319869827675e+00 6.050391752364074449e+00 1.475575954226143693e+01 1.325826105269839239e+01 3.506013886226318732e+01 8.574122123888095359e+00
0.000000000000000000e+00 -2.325768553660109319e+04 1.414226141246752988e+01 1.196538647861222273e+02 6.676954109330033305e+00 9.270630522340589152e+00 6.576075653331908910e+00 9.311844269740596758e+00 -6.682858075939268616e-01 7.843074793234066533e+00 1.725095497492656094e+01 3.746487439599118119e+00
0.000000000000000000e+00 -2.306156608485610195e+04 1.027170226412332710e+01 5.014616370674876578e+01 -4.333943863419045250e+00 -7.412196315605939390e+00 6.019961874631277965e+00 8.156092690554949343e+00 -2.269047006292453261e+00 -3.014696055159959087e+00 -3.708235911538674046e+00 -4.346771238412216576e+00
0.000000000000000000e+00 -2.303588630091137384e+04 1.802717334028741902e+01 1.474330215292995945e+02 6.373852946055183821e+00 9.867890742395388770e+00 1.208443288017196693e+00 9.352399363402533083e+00 1.537322627306817679e+01 3.649645111824078469e+00 3.741261446541660973e+01 1.074400532388878560e+01
